facturadora,facturada,total
Q6750581222,Q6934466760,2402
Q55555,Q4451605077,59922
Q0563962909,Q0482332301,89717
Q0021942248,Q8435135992,65713
Q5369760002,Q3281523098,16272
Q9453657809,Q0978988285,18097
Q5572688534,Q5473512807,89599
Q5572688534,Q7570562411,13091
Q1728417125,Q1521208856,64483
Q1033745652,Q1710658261,50551
Q3967623915,Q8620606089,35263
Q7089122617,Q3040648240,60596
Q4451605077,Q1033745652,74378
Q5986013964,Q1799660712,93023
Q7570562411,Q5899441084,44007
Q5997385515,Q6454390516,39930
Q5997385515,Q4451605077,52960
Q7089122617,Q8206014259,70772
Q5572688534,Q0944953579,46162
Q8449780869,Q9855629498,10161
Q3618140647,Q6750581222,42380
Q8620606089,Q2535484805,51821
Q3281523098,Q5572688534,81157
Q0850183150,Q9388385657,43208
Q1851779074,Q1088565265,30667
Q5899441084,Q8792393276,47681
Q5236930570,Q3164435093,78077
Q3565078655,Q2641727394,94153
Q8374347050,Q3967623915,278
Q8435135992,Q5256483984,27656
Q0199943111,Q6750581222,26803
Q5633742877,Q8654262468,2049
Q33,Q1710658261,52233
Q9004955745,Q8435135992,72626
Q9388385657,Q3281523098,36060
Q2274080112,Q5572688534,89403
Q4451605077,Q1821647255,18057
Q1509499132,Q4451605077,17063
Q1521208856,Q1821647255,17864
Q2201628128,Q8654262468,53839
Q8225522581,Q6934466760,6944
Q8888,Q6750581222,12505
Q6454390516,Q1820827878,37501
Q5572688534,Q1322352860,38015
Q6905707917,Q0000001,23396
Q8202147355,Q5473512807,35325
Q6364730892,Q1521208856,40083
Q1088565265,Q2641727394,63053
Q6798126526,Q1033745652,52953
Q6454390516,Q5184356482,80087
Q6364730892,Q5236930570,12109
Q3618140647,Q6236124536,11243
Q3611449843,Q2535484805,89111
Q8044157700,Q1911467279,68786
Q5986013964,Q7570562411,94491
Q0978988285,Q0482332301,12836
Q2903404864,Q1911467279,38955
Q4115702114,Q9815722414,93239
Q2641727394,Q0301971354,27138
Q0482332301,Q6798126526,39988
Q9016400742,Q1820827878,9459
Q0978988285,Q9855629498,184
Q55555,Q7135753287,89957
Q9336212340,Q7976453880,80731
Q0199943111,Q1710658261,5840
Q1521208856,Q0482332301,38430
Q5369760002,Q8206014259,24450
Q4195375468,Q7089122617,39962
Q5236930570,Q0000001,13826
Q5256483984,Q3040648240,79638
Q7239794431,Q1821647255,61316
Q5184356482,Q1799660712,63867
Q0000001,Q3611449843,50982
Q2641727394,Q1773186700,84182
Q0850183150,Q8620606089,6042
Q1911467279,Q7009715042,5272
Q5071998992,Q9336212340,53722
Q2903404864,Q3967623915,32168
Q272727,Q1820827878,72898
Q9855629498,Q8654262468,97399
Q6723378937,Q3281523098,67283
Q7239794431,Q5572688534,56023
Q272727,Q9815722414,88905
Q6236124536,Q1911467279,83633
Q9453657809,Q8792393276,57007
Q0850183150,Q3618140647,35469
Q4725404460,Q8044157700,15634
Q4725404460,Q8449780869,50801
Q1710658261,Q6934466760,60754
Q8225522581,Q8435135992,85733
Q9004955745,Q3611449843,87316
Q5369760002,Q1820827878,69780
Q1088565265,Q55555,99246
Q1821647255,Q1033745652,70249
Q2280162501,Q8435135992,38373
Q1728417125,Q7933062949,58857
Q2274080112,Q33,82510
Q1527100770,Q0851389296,39620
Q4678003580,Q0000001,37448
Q3164435093,Q55555,83582
Q0978988285,Q8374347050,78456
Q5572688534,Q9671059268,57074
Q0021942248,Q0000001,8916
Q0199943111,Q6798126526,70405
Q55555,Q1322352860,72160
Q8044157700,Q1728417125,29561
Q0482332301,Q1955927015,46717
Q7400418425,Q272727,98345
Q3967623915,Q8396980208,10845
Q3164435093,Q3611449843,15568
Q5825436105,Q4195375468,81155
Q2274080112,Q3611449843,10989
Q9855629498,Q1527100770,68947
Q1710658261,Q9453657809,10869
Q3164435093,Q5572688534,26063
Q1006027194,Q3618140647,94126
Q8206014259,Q4444,90017
Q2280162501,Q7089122617,15317
Q0021942248,Q8374347050,82648
Q0000001,Q1006027194,23737
Q1509499132,Q4678003580,96626
Q5132628476,Q8888,60434
Q3164435093,Q7933062949,29998
Q1322352860,Q1088565265,27526
Q9336212340,Q5825436105,537
Q8449780869,Q1088565265,59344
Q8435135992,Q0021942248,6133
Q2280162501,Q4242605006,58575
Q9954990406,Q3536657242,20070
Q0199943111,Q7135753287,86024
Q5236930570,Q5132628476,59390
Q5184356482,Q8435135992,91153
Q4451605077,Q5899441084,1125
Q8044157700,Q9276934764,1284
Q3611449843,Q0851389296,91052
Q5899441084,Q2274080112,16753
Q8202147355,Q4725404460,97336
Q0563962909,Q2280162501,39497
Q1911467279,Q0000001,9940
Q3164435093,Q6364730892,30039
Q272727,Q7976453880,88581
Q5633742877,Q0482332301,32661
Q8396980208,Q4242605006,97942
Q1820827878,Q2903404864,6830
Q3536657242,Q5825436105,10845
Q5369760002,Q7976453880,77534
Q6798126526,Q6750581222,10888
Q8044157700,Q1521208856,20284
Q1821647255,Q6905707917,54004
Q6666,Q1821647255,66809
Q0301971354,Q5184356482,78063
Q6236124536,Q5071998992,89411
Q9453657809,Q5071998992,65689
Q0000001,Q1820827878,13819
Q8202147355,Q6666,991
Q9815722414,Q1728417125,79842
Q9671059268,Q3040648240,4148
Q3536657242,Q4242605006,95265
Q3040648240,Q5986013964,82700
Q1851779074,Q0301971354,20529
Q6934466760,Q3611449843,34815
Q272727,Q0850183150,16657
Q9388385657,Q5899441084,6727
Q1710658261,Q6750581222,19863
Q3040648240,Q0199943111,68070
Q7933062949,Q272727,46125
Q4725404460,Q8202147355,98852
Q9671059268,Q5825436105,73513
Q8202147355,Q0482332301,67594
Q0177372821,Q6454390516,60598
Q7089122617,Q4451605077,11373
Q8792393276,Q5369760002,19858
Q8044157700,Q8888,68866
Q5184356482,Q8396980208,85834
Q8449780869,Q2280162501,13446
Q6364730892,Q5473512807,99777
Q3611449843,Q1033745652,53592
Q1527100770,Q8396980208,21905
Q9336212340,Q8620606089,24362
Q2156262190,Q3164435093,48132
Q1728417125,Q3611449843,5772
Q8620606089,Q1033745652,20895
Q1111111,Q3967623915,77274
Q9004955745,Q3536657242,71173
Q4444,Q6454390516,14149
Q0482332301,Q9564636321,3251
Q4444,Q1521208856,56420
Q3618140647,Q6454390516,56285
Q1521208856,Q5369760002,86669
Q8449780869,Q1527100770,14589
Q33,Q4242605006,68866
Q5256483984,Q7239794431,4854
Q3536657242,Q1773186700,27126
Q8225522581,Q8435135992,378
Q3967623915,Q4242605006,45620
Q7009715042,Q3164435093,65457
Q7135753287,Q3281523098,22692
Q3536657242,Q55555,27906
Q1799660712,Q9276934764,94290
Q4451605077,Q0851389296,65412
Q2535484805,Q6723378937,34425
Q8654262468,Q8202147355,66187
Q7933062949,Q6750581222,97037
Q4451605077,Q6750581222,99233
Q5633742877,Q1322352860,1379
Q1322352860,Q1911467279,60439
Q2201628128,Q1527100770,20659
Q7570562411,Q1911467279,58309
Q9671059268,Q5899441084,43030
Q55555,Q1322352860,76139
Q9855629498,Q5184356482,65707
Q4115702114,Q2641727394,43331
Q0199943111,Q5572688534,71438
Q8202147355,Q7976453880,97260
Q7570562411,Q9276934764,81514
Q1799660712,Q5132628476,76886
Q3536657242,Q8202147355,31942
Q33,Q6934466760,11141
Q2274080112,Q4725404460,22688
Q1773186700,Q9954990406,31260
Q6934466760,Q5997385515,82550
Q6934466760,Q1468063108,62692
Q9004955745,Q8654262468,7490
Q8449780869,Q4195375468,75971
Q5899441084,Q0000001,73352
Q9276934764,Q2641727394,36144
Q4115702114,Q3536657242,15930
Q1111111,Q3967623915,31591
Q6723378937,Q7135753287,69010
Q0000001,Q0301971354,76430
Q1710658261,Q8225522581,32696
Q5825436105,Q6750581222,43008
Q8202147355,Q9276934764,35349
Q9564636321,Q4725404460,41615
Q5132628476,Q0850183150,31623
Q3611449843,Q5633742877,23878
Q5071998992,Q7400418425,69396
Q2201628128,Q8374347050,93651
Q8374347050,Q0482332301,97610
Q8044157700,Q2280162501,51650
Q8202147355,Q2641727394,3651
Q5184356482,Q5997385515,52842
Q4725404460,Q8888,5914
Q5184356482,Q5132628476,85201
Q4725404460,Q8225522581,40142
Q8792393276,Q0851389296,55462
Q2903404864,Q3611449843,84387
Q5132628476,Q8792393276,42670
Q8792393276,Q5236930570,75213
Q0850183150,Q3565078655,7629
Q4451605077,Q3618140647,13804
Q5256483984,Q9815722414,62661
Q1111111,Q6798126526,50572
Q6905707917,Q272727,53001
Q3967623915,Q5236930570,50428
Q9388385657,Q272727,85228
Q9815722414,Q5572688534,74274
Q55555,Q1851779074,88880
Q6798126526,Q9016400742,4802
Q8206014259,Q0021942248,48984
Q1710658261,Q0177372821,61772
Q1728417125,Q3040648240,44173
Q5899441084,Q0177372821,86622
Q3164435093,Q33,41389
Q3164435093,Q8620606089,43899
Q5899441084,Q9564636321,14530
Q1955927015,Q5132628476,13081
Q0978988285,Q5132628476,39402
Q4444,Q1509499132,6266
Q2535484805,Q5899441084,71763
Q1955927015,Q3164435093,62107
Q1799660712,Q2274080112,25957
Q2641727394,Q5184356482,5214
Q8202147355,Q5633742877,73798
Q55555,Q0978988285,60982
Q1851779074,Q5825436105,12244
Q0944953579,Q3536657242,82742
Q7089122617,Q0850183150,11269
Q3040648240,Q3565078655,67843
Q8225522581,Q1955927015,15822
Q1322352860,Q5369760002,56451
Q0978988285,Q8044157700,49009
Q6798126526,Q9276934764,54397
Q2535484805,Q4195375468,38240
Q1521208856,Q4451605077,21801
Q7933062949,Q1509499132,55859
Q1509499132,Q6236124536,11193
Q1033745652,Q9453657809,15549
Q2903404864,Q6723378937,39533
Q0851389296,Q6934466760,29986
Q7239794431,Q0850183150,71620
Q1527100770,Q1820827878,10136
Q6798126526,Q0301971354,76518
Q9004955745,Q5184356482,53848
Q4444,Q1509499132,97871
Q9276934764,Q3565078655,10052
Q1521208856,Q5256483984,6871
Q6723378937,Q4678003580,93094
Q7976453880,Q1773186700,18426
Q5184356482,Q3611449843,95874
Q1468063108,Q1955927015,65098
Q2274080112,Q55555,63892
Q5473512807,Q2903404864,59931
Q0482332301,Q0944953579,87254
Q2201628128,Q3164435093,36144
Q5572688534,Q5473512807,70423
Q4242605006,Q1710658261,77093
Q6750581222,Q5256483984,50928
Q9336212340,Q5825436105,72120
Q55555,Q1820827878,88790
Q0177372821,Q1710658261,30605
Q1033745652,Q5572688534,65652
Q2280162501,Q4444,40907
Q1773186700,Q1851779074,22893
Q5256483984,Q3040648240,16577
Q1509499132,Q0944953579,2264
Q9388385657,Q3164435093,24652
Q2641727394,Q1773186700,64250
Q5473512807,Q3040648240,70413
Q8888,Q55555,79973
Q3611449843,Q5256483984,64020
Q0021942248,Q5184356482,78326
Q9954990406,Q2535484805,53437
Q6750581222,Q5572688534,23689
Q5572688534,Q0851389296,15357
Q7135753287,Q7933062949,73718
Q9016400742,Q6750581222,1604
Q6723378937,Q9336212340,45137
Q1322352860,Q5899441084,34638
Q8225522581,Q1710658261,46670
Q9453657809,Q5132628476,77126
Q9016400742,Q0944953579,42842
Q1006027194,Q1710658261,56508
Q8374347050,Q7135753287,74406
Q5572688534,Q6364730892,37358
Q3536657242,Q7089122617,63946
Q1955927015,Q0563962909,77395
Q2641727394,Q1955927015,78957
Q3618140647,Q1527100770,91784
Q7976453880,Q3565078655,3580
Q3611449843,Q1710658261,86777
Q1710658261,Q1088565265,33184
Q0177372821,Q1521208856,59677
Q5825436105,Q0177372821,40448
Q7239794431,Q5236930570,1284
Q9954990406,Q1006027194,37122
Q1509499132,Q7135753287,52284
Q4195375468,Q1710658261,40759
Q1851779074,Q0000001,47749
Q2903404864,Q3040648240,58194
Q9276934764,Q6750581222,15604
Q8888,Q5899441084,44515
Q55555,Q3565078655,1505
Q3040648240,Q9276934764,12695
Q6934466760,Q3618140647,61759
Q8044157700,Q5473512807,14377
Q0000001,Q0482332301,32246
Q5899441084,Q6364730892,97720
Q1728417125,Q6905707917,14894
Q1006027194,Q9004955745,21624
Q7135753287,Q4115702114,48224
Q1820827878,Q9453657809,32773
Q0944953579,Q8888,41971
Q1799660712,Q9564636321,56931
Q5633742877,Q2280162501,67086
Q8435135992,Q4678003580,81198
Q8044157700,Q4725404460,5209
Q9954990406,Q5132628476,30655
Q0301971354,Q6364730892,25049
Q0850183150,Q9388385657,30308
Q8202147355,Q272727,77801
Q5256483984,Q4115702114,47123
Q7976453880,Q0851389296,57618
Q0177372821,Q5899441084,85109
Q9671059268,Q1088565265,37687
Q1527100770,Q4451605077,52204
Q3565078655,Q1710658261,17122
Q4451605077,Q9016400742,96796
Q272727,Q9004955745,78778
Q6905707917,Q3536657242,4996
Q9004955745,Q8206014259,54077
Q9815722414,Q4195375468,99511
Q0851389296,Q4115702114,25045
Q4063404034,Q1088565265,21181
Q1322352860,Q2903404864,57178
Q1955927015,Q1710658261,76789
Q1820827878,Q1728417125,43233
Q5369760002,Q5236930570,96459
Q7009715042,Q0482332301,53696
Q3164435093,Q1799660712,40105
Q5986013964,Q7570562411,64069
Q0000001,Q9453657809,19305
Q8620606089,Q6666,76010
Q9855629498,Q4115702114,72282
Q8374347050,Q1821647255,53998
Q0944953579,Q2535484805,232
Q1521208856,Q9453657809,70260
Q1728417125,Q4678003580,53071
Q4242605006,Q272727,63242
Q9004955745,Q1911467279,86485
Q6364730892,Q8206014259,49757
Q0944953579,Q2274080112,76862
Q6750581222,Q1821647255,61588
Q0021942248,Q8044157700,47793
Q2903404864,Q4195375468,91232
Q8202147355,Q1322352860,42944
Q1509499132,Q1710658261,32487
Q6364730892,Q1521208856,42914
Q5473512807,Q8449780869,8322
Q0944953579,Q9564636321,42168
Q0850183150,Q1773186700,18846
Q6798126526,Q5997385515,71985
Q3536657242,Q3611449843,99891
Q0177372821,Q0199943111,92819
Q5369760002,Q0851389296,1281
Q1509499132,Q1820827878,30273
Q5256483984,Q8435135992,26634
Q7976453880,Q9336212340,39356
Q6798126526,Q1006027194,66188
Q8202147355,Q0000001,44184
Q2274080112,Q33,64251
Q4451605077,Q0851389296,62905
Q7009715042,Q1111111,5787
Q5997385515,Q1955927015,72779
Q8206014259,Q7976453880,36243
Q1851779074,Q6666,59178
Q9453657809,Q2156262190,58285
Q0944953579,Q1728417125,89009
Q8620606089,Q0000001,58154
Q0851389296,Q5369760002,59636
Q1710658261,Q55555,66912
Q4451605077,Q8044157700,49695
Q6364730892,Q3611449843,99148
Q0021942248,Q1955927015,78845
Q3536657242,Q1799660712,42909
Q9954990406,Q6723378937,50265
Q9564636321,Q2903404864,62560
Q1955927015,Q5184356482,47883
Q2274080112,Q6905707917,49545
Q0851389296,Q5899441084,10242
Q1911467279,Q0482332301,64069
Q8449780869,Q1710658261,65968
Q1322352860,Q1509499132,81933
Q7089122617,Q0199943111,90094
Q0199943111,Q1911467279,86218
Q1799660712,Q1728417125,73099
Q0301971354,Q6236124536,94954
Q8206014259,Q7135753287,49136
Q2274080112,Q4115702114,89232
Q7239794431,Q1821647255,84694
Q9855629498,Q1820827878,90161
Q5986013964,Q4242605006,94887
Q4115702114,Q9004955745,46593
Q4678003580,Q1521208856,74632
Q6236124536,Q2535484805,97628
Q4725404460,Q5369760002,68854
Q7089122617,Q2156262190,88499
Q4451605077,Q7400418425,44384
Q4451605077,Q8202147355,45765
Q9336212340,Q1468063108,7096
Q6666,Q1527100770,47390
Q1509499132,Q0851389296,80101
Q9815722414,Q5633742877,7731
Q3536657242,Q8620606089,62627
Q9453657809,Q8435135992,5045
Q6750581222,Q5997385515,80289
Q8225522581,Q5633742877,6297
Q1710658261,Q4678003580,6621
Q5132628476,Q6236124536,93661
Q7933062949,Q0199943111,69127
Q9004955745,Q9671059268,37515
Q1033745652,Q4451605077,16469
Q1006027194,Q9388385657,32123
Q1111111,Q9815722414,37009
Q6750581222,Q8792393276,77043
Q8888,Q5184356482,82202
Q6236124536,Q7570562411,68876
Q1006027194,Q5899441084,71196
Q3164435093,Q6666,7523
Q0021942248,Q5071998992,79392
Q8435135992,Q0199943111,41226
Q6666,Q5899441084,53368
Q1820827878,Q9276934764,93785
Q9671059268,Q3536657242,17665
Q3611449843,Q5986013964,35850
Q2201628128,Q5997385515,54433
Q9388385657,Q0850183150,35577
Q7239794431,Q6723378937,92421
Q3618140647,Q2535484805,93996
Q1728417125,Q5369760002,34511
Q9336212340,Q9453657809,3587
Q6905707917,Q55555,92509
Q6723378937,Q7009715042,9682
Q6798126526,Q5899441084,75039
Q3967623915,Q6364730892,24499
Q9671059268,Q0563962909,56720
Q7089122617,Q1851779074,49053
Q6798126526,Q0301971354,28000
Q0978988285,Q1006027194,35015
Q0851389296,Q9016400742,57077
Q7089122617,Q5825436105,48585
Q0978988285,Q272727,20626
Q5572688534,Q1033745652,46701
Q9564636321,Q8044157700,14220
Q0944953579,Q8654262468,95675
Q4451605077,Q2641727394,97312
Q9336212340,Q6905707917,1781
Q0978988285,Q9336212340,82752
Q1322352860,Q9336212340,58590
Q5986013964,Q1521208856,1709
Q5236930570,Q5473512807,45858
Q8888,Q6934466760,65116
Q1521208856,Q1006027194,65594
Q7009715042,Q0177372821,77493
Q8044157700,Q9671059268,47237
Q0482332301,Q7570562411,15484
Q3536657242,Q8888,23413
Q5071998992,Q3281523098,57996
Q1728417125,Q2280162501,91740
Q4063404034,Q0301971354,17093
Q5256483984,Q3164435093,92175
Q2156262190,Q2280162501,71139
Q0177372821,Q1821647255,14804
Q1006027194,Q8044157700,53058
Q3281523098,Q1033745652,25783
Q4242605006,Q1820827878,18406
Q5825436105,Q1033745652,10588
Q9815722414,Q1322352860,45133
Q1710658261,Q0563962909,47709
Q8206014259,Q1033745652,93517
Q3536657242,Q55555,74742
Q9564636321,Q4115702114,16934
Q0944953579,Q2156262190,98918
Q6666,Q1509499132,71474
Q4115702114,Q4451605077,66623
Q3967623915,Q9004955745,74795
Q3536657242,Q4242605006,1898
Q9815722414,Q9453657809,42291
Q4451605077,Q7009715042,51694
Q9855629498,Q5997385515,18063
Q9564636321,Q9016400742,44942
Q6905707917,Q0301971354,15333
Q3618140647,Q3565078655,87427
Q9564636321,Q5473512807,76900
Q3536657242,Q8449780869,2187
Q0021942248,Q7400418425,2404
Q5236930570,Q8435135992,76446
Q4678003580,Q3611449843,19019
Q0978988285,Q5825436105,22491
Q9954990406,Q6934466760,53311
Q1111111,Q0482332301,44729
Q1521208856,Q8449780869,25322
Q5825436105,Q4242605006,31733
Q3164435093,Q9276934764,11092
Q3536657242,Q0301971354,99846
Q9388385657,Q8792393276,10240
Q9016400742,Q7009715042,91138
Q5369760002,Q7400418425,9990
Q1710658261,Q3967623915,15889
Q1111111,Q4678003580,90316
Q1911467279,Q9564636321,96127
Q55555,Q1820827878,37900
Q6666,Q1111111,17003
Q5132628476,Q0000001,98960
Q4725404460,Q0563962909,34709
Q7009715042,Q9815722414,447
Q5184356482,Q1820827878,70840
Q5071998992,Q1820827878,33017
Q2641727394,Q7239794431,91370
Q9671059268,Q1851779074,99428
Q1773186700,Q8792393276,12386
Q8202147355,Q5132628476,49921
Q5572688534,Q6364730892,47470
Q2201628128,Q3967623915,8303
Q5184356482,Q55555,14971
Q4451605077,Q5633742877,72343
Q6905707917,Q2156262190,97759
Q8396980208,Q3967623915,11536
Q1821647255,Q1509499132,83107
Q1509499132,Q0944953579,38029
Q7009715042,Q5369760002,10057
Q1773186700,Q7400418425,91499
Q3040648240,Q33,47300
Q1851779074,Q8620606089,82036
Q9016400742,Q1033745652,46192
Q0177372821,Q7570562411,40511
Q5369760002,Q5256483984,55039
Q5369760002,Q8396980208,83463
Q2903404864,Q7089122617,34305
Q9336212340,Q8202147355,76468
Q1006027194,Q5997385515,85072
Q5473512807,Q9855629498,78458
Q8202147355,Q9815722414,97610
Q2535484805,Q5184356482,2233
Q3040648240,Q55555,63836
Q5986013964,Q3967623915,82115
Q0199943111,Q7089122617,33775
Q6905707917,Q1521208856,65624
Q9954990406,Q5473512807,11665
Q8396980208,Q3618140647,40578
Q5236930570,Q8435135992,95964
Q5132628476,Q0177372821,90172
Q5236930570,Q0563962909,16765
Q7976453880,Q6666,4339
Q6934466760,Q9388385657,87998
Q5899441084,Q1527100770,95801
Q1773186700,Q5132628476,27978
Q3618140647,Q8449780869,48677
Q1521208856,Q7570562411,95175
Q6723378937,Q3164435093,12608
Q5899441084,Q5256483984,84031
Q6750581222,Q5369760002,32055
Q2535484805,Q4678003580,38384
Q6934466760,Q3967623915,36051
Q8044157700,Q9336212340,79425
Q2903404864,Q8044157700,13339
Q6905707917,Q1322352860,73659
Q8449780869,Q3164435093,43844
Q0851389296,Q1955927015,41257
Q3281523098,Q4115702114,35667
Q7089122617,Q9855629498,70823
Q3565078655,Q2903404864,48040
Q0851389296,Q4725404460,33695
Q6905707917,Q8620606089,88625
Q7135753287,Q8044157700,45668
Q8449780869,Q1509499132,51936
Q5997385515,Q9016400742,61272
Q8654262468,Q6666,69117
Q8620606089,Q2156262190,18195
Q1111111,Q0563962909,69427
Q1799660712,Q9276934764,39273
Q8374347050,Q4242605006,1130
Q1799660712,Q9004955745,19472
Q7089122617,Q4063404034,2617
Q7135753287,Q3164435093,94190
Q5369760002,Q4678003580,63465
Q2201628128,Q7135753287,81177
Q1509499132,Q4115702114,79088
Q5572688534,Q1851779074,78819
Q55555,Q1521208856,65682
Q1509499132,Q8435135992,2442
Q6723378937,Q1006027194,70123
Q8654262468,Q5236930570,41803
Q3565078655,Q4725404460,81749
Q7933062949,Q2641727394,62230
Q7239794431,Q9388385657,30867
Q5473512807,Q1033745652,48830
Q5899441084,Q4725404460,45367
Q2274080112,Q5184356482,82488
Q0978988285,Q1710658261,91035
Q3967623915,Q7400418425,24711
Q8654262468,Q0482332301,68296
Q6905707917,Q2641727394,57615
