Año,Editorial,Genero,Nombre,Plataforma,Región,Unidades Vendidas
2008,Activision,Action,007: Quantum of Solace,PS3,Otros,0.2
2008,Activision,Action,007: Quantum of Solace,Wii,Europa,0.29
2008,Activision,Action,007: Quantum of Solace,Wii,Japón,0.01
2008,Activision,Action,007: Quantum of Solace,Wii,Norteamérica,0.3
2008,Activision,Action,007: Quantum of Solace,Wii,Otros,0.07
2008,Activision,Action,007: Quantum of Solace,X360,Europa,0.52
2008,Activision,Action,007: Quantum of Solace,X360,Japón,0.01
2008,Activision,Action,007: Quantum of Solace,X360,Norteamérica,0.82
2008,Activision,Action,007: Quantum of Solace,X360,Otros,0.14
2000,Electronic Arts,Action,007: The World is not Enough,N64,Europa,0.38
2000,Electronic Arts,Action,007: The World is not Enough,N64,Japón,0.02
2000,Electronic Arts,Action,007: The World is not Enough,N64,Norteamérica,1.13
2000,Electronic Arts,Action,007: The World is not Enough,N64,Otros,0.03
2000,Electronic Arts,Action,007: The World is not Enough,PS,Europa,0.35
2000,Electronic Arts,Action,007: The World is not Enough,PS,Japón,0
2000,Electronic Arts,Action,007: The World is not Enough,PS,Norteamérica,0.51
2000,Electronic Arts,Action,007: The World is not Enough,PS,Otros,0.06
1999,Electronic Arts,Shooter,007: Tomorrow Never Dies,PS,Europa,1.33
1999,Electronic Arts,Shooter,007: Tomorrow Never Dies,PS,Japón,0
1999,Electronic Arts,Shooter,007: Tomorrow Never Dies,PS,Norteamérica,1.72
1999,Electronic Arts,Shooter,007: Tomorrow Never Dies,PS,Otros,0.16
2008,DSI Games,Misc,1 vs. 100,DS,Europa,0
2008,DSI Games,Misc,1 vs. 100,DS,Japón,0
2008,DSI Games,Misc,1 vs. 100,DS,Norteamérica,0.08
2008,DSI Games,Misc,1 vs. 100,DS,Otros,0.01
2013,Kaga Create,Adventure,1/2 Summer +,PSP,Europa,0
2013,Kaga Create,Adventure,1/2 Summer +,PSP,Japón,0.01
2013,Kaga Create,Adventure,1/2 Summer +,PSP,Norteamérica,0
2013,Kaga Create,Adventure,1/2 Summer +,PSP,Otros,0
2010,Activision,Sports,10 Minute Solution,Wii,Europa,0.01
2010,Activision,Sports,10 Minute Solution,Wii,Japón,0
2010,Activision,Sports,10 Minute Solution,Wii,Norteamérica,0.06
2010,Activision,Sports,10 Minute Solution,Wii,Otros,0.01
2009,Ubisoft,Puzzle,100 All-Time Favorites,DS,Europa,0.12
2009,Ubisoft,Puzzle,100 All-Time Favorites,DS,Japón,0
2009,Ubisoft,Puzzle,100 All-Time Favorites,DS,Norteamérica,0.35
2009,Ubisoft,Puzzle,100 All-Time Favorites,DS,Otros,0.04
2008,Nintendo,Misc,100 Classic Books,DS,Europa,0.52
2008,Nintendo,Misc,100 Classic Books,DS,Japón,0
2008,Nintendo,Misc,100 Classic Books,DS,Norteamérica,0.13
2008,Nintendo,Misc,100 Classic Books,DS,Otros,0.02
2011,Rondomedia,Misc,100 Classic Games,DS,Europa,0.03
2011,Rondomedia,Misc,100 Classic Games,DS,Japón,0
2011,Rondomedia,Misc,100 Classic Games,DS,Norteamérica,0
2011,Rondomedia,Misc,100 Classic Games,DS,Otros,0
2010,Nintendo,Misc,1000 Cooking Recipes from ELLE Ã  table,DS,Europa,0.02
2010,Nintendo,Misc,1000 Cooking Recipes from ELLE Ã  table,DS,Japón,0
2010,Nintendo,Misc,1000 Cooking Recipes from ELLE Ã  table,DS,Norteamérica,0
2010,Nintendo,Misc,1000 Cooking Recipes from ELLE Ã  table,DS,Otros,0
2011,Avanquest,Action,1001 Touch Games,DS,Europa,0.17
2011,Avanquest,Action,1001 Touch Games,DS,Japón,0
2011,Avanquest,Action,1001 Touch Games,DS,Norteamérica,0.12
2011,Avanquest,Action,1001 Touch Games,DS,Otros,0.04
2008,Nordcurrent,Puzzle,101-in-1 Explosive Megamix,DS,Europa,0.13
2008,Nordcurrent,Puzzle,101-in-1 Explosive Megamix,DS,Japón,0
2008,Nordcurrent,Puzzle,101-in-1 Explosive Megamix,DS,Norteamérica,0.05
2008,Nordcurrent,Puzzle,101-in-1 Explosive Megamix,DS,Otros,0.02
2009,Nordcurrent,Misc,101-in-1 Party Megamix Wii,Wii,Europa,0.01
2009,Nordcurrent,Misc,101-in-1 Party Megamix Wii,Wii,Japón,0
2009,Nordcurrent,Misc,101-in-1 Party Megamix Wii,Wii,Norteamérica,0.19
2009,Nordcurrent,Misc,101-in-1 Party Megamix Wii,Wii,Otros,0.02
2010,Nordcurrent,Sports,101-in-1 Sports Megamix,DS,Europa,0
2010,Nordcurrent,Sports,101-in-1 Sports Megamix,DS,Japón,0
2010,Nordcurrent,Sports,101-in-1 Sports Megamix,DS,Norteamérica,0.08
2010,Nordcurrent,Sports,101-in-1 Sports Megamix,DS,Otros,0.01
2010,Nordcurrent,Sports,101-in-1 Sports Party Megamix,Wii,Europa,0
2010,Nordcurrent,Sports,101-in-1 Sports Party Megamix,Wii,Japón,0
2010,Nordcurrent,Sports,101-in-1 Sports Party Megamix,Wii,Norteamérica,0.02
2010,Nordcurrent,Sports,101-in-1 Sports Party Megamix,Wii,Otros,0
1998,Nintendo,Sports,1080Â°: TenEighty Snowboarding,N64,Europa,0.61
1998,Nintendo,Sports,1080Â°: TenEighty Snowboarding,N64,Japón,0.13
1998,Nintendo,Sports,1080Â°: TenEighty Snowboarding,N64,Norteamérica,1.25
1998,Nintendo,Sports,1080Â°: TenEighty Snowboarding,N64,Otros,0.05
2009,5pb,Adventure,11eyes: CrossOver,X360,Europa,0
2009,5pb,Adventure,11eyes: CrossOver,X360,Japón,0.02
2009,5pb,Adventure,11eyes: CrossOver,X360,Norteamérica,0
2009,5pb,Adventure,11eyes: CrossOver,X360,Otros,0
2010,5pb,Adventure,11eyes: CrossOver,PSP,Europa,0
2010,5pb,Adventure,11eyes: CrossOver,PSP,Japón,0.02
2010,5pb,Adventure,11eyes: CrossOver,PSP,Norteamérica,0
2010,5pb,Adventure,11eyes: CrossOver,PSP,Otros,0
2008,CyberFront,Adventure,12Riven: The Psi-Climinal of Integral,PS2,Europa,0
2008,CyberFront,Adventure,12Riven: The Psi-Climinal of Integral,PS2,Japón,0.04
2008,CyberFront,Adventure,12Riven: The Psi-Climinal of Integral,PS2,Norteamérica,0
2008,CyberFront,Adventure,12Riven: The Psi-Climinal of Integral,PS2,Otros,0
2014,Happinet,Adventure,12-Sai. Honto no Kimochi,3DS,Europa,0
2014,Happinet,Adventure,12-Sai. Honto no Kimochi,3DS,Japón,0.07
2014,Happinet,Adventure,12-Sai. Honto no Kimochi,3DS,Norteamérica,0
2014,Happinet,Adventure,12-Sai. Honto no Kimochi,3DS,Otros,0
2016,Happinet,Adventure,12-Sai. Koisuru Diary,3DS,Europa,0
2016,Happinet,Adventure,12-Sai. Koisuru Diary,3DS,Japón,0.04
2016,Happinet,Adventure,12-Sai. Koisuru Diary,3DS,Norteamérica,0
2016,Happinet,Adventure,12-Sai. Koisuru Diary,3DS,Otros,0
2009,DTP Entertainment,Adventure,15 Days,PC,Europa,0.01
2009,DTP Entertainment,Adventure,15 Days,PC,Japón,0
2009,DTP Entertainment,Adventure,15 Days,PC,Norteamérica,0
2009,DTP Entertainment,Adventure,15 Days,PC,Otros,0
2006,Deep Silver,Simulation,1701 A.D.,PC,Europa,0.25
2006,Deep Silver,Simulation,1701 A.D.,PC,Japón,0
2006,Deep Silver,Simulation,1701 A.D.,PC,Norteamérica,0
2006,Deep Silver,Simulation,1701 A.D.,PC,Otros,0.05
2001,Acclaim Entertainment,Racing,18 Wheeler: American Pro Trucker,PS2,Europa,0.15
2001,Acclaim Entertainment,Racing,18 Wheeler: American Pro Trucker,PS2,Japón,0
2001,Acclaim Entertainment,Racing,18 Wheeler: American Pro Trucker,PS2,Norteamérica,0.2
2001,Acclaim Entertainment,Racing,18 Wheeler: American Pro Trucker,PS2,Otros,0.05
2002,Acclaim Entertainment,Racing,18 Wheeler: American Pro Trucker,GC,Europa,0.02
2002,Acclaim Entertainment,Racing,18 Wheeler: American Pro Trucker,GC,Japón,0
2002,Acclaim Entertainment,Racing,18 Wheeler: American Pro Trucker,GC,Norteamérica,0.09
2002,Acclaim Entertainment,Racing,18 Wheeler: American Pro Trucker,GC,Otros,0
2009,Rondomedia,Racing,18 Wheels of Steel: Extreme Trucker,PC,Europa,0.02
2009,Rondomedia,Racing,18 Wheels of Steel: Extreme Trucker,PC,Japón,0
2009,Rondomedia,Racing,18 Wheels of Steel: Extreme Trucker,PC,Norteamérica,0
2009,Rondomedia,Racing,18 Wheels of Steel: Extreme Trucker,PC,Otros,0
2011,Rondomedia,Racing,18 Wheels of Steel: Extreme Trucker 2,PC,Europa,0.02
2011,Rondomedia,Racing,18 Wheels of Steel: Extreme Trucker 2,PC,Japón,0
2011,Rondomedia,Racing,18 Wheels of Steel: Extreme Trucker 2,PC,Norteamérica,0.08
2011,Rondomedia,Racing,18 Wheels of Steel: Extreme Trucker 2,PC,Otros,0.01
2005,Ubisoft,Racing,187: Ride or Die,PS2,Europa,0.06
2005,Ubisoft,Racing,187: Ride or Die,PS2,Japón,0
2005,Ubisoft,Racing,187: Ride or Die,PS2,Norteamérica,0.07
2005,Ubisoft,Racing,187: Ride or Die,PS2,Otros,0.02
2005,Ubisoft,Racing,187: Ride or Die,XB,Europa,0.01
2005,Ubisoft,Racing,187: Ride or Die,XB,Japón,0
2005,Ubisoft,Racing,187: Ride or Die,XB,Norteamérica,0.05
2005,Ubisoft,Racing,187: Ride or Die,XB,Otros,0
1985,Capcom,Shooter,1942,NES,Europa,0.14
1985,Capcom,Shooter,1942,NES,Japón,0.21
1985,Capcom,Shooter,1942,NES,Norteamérica,0.65
1985,Capcom,Shooter,1942,NES,Otros,0
2005,THQ,Racing,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,Europa,0.03
2005,THQ,Racing,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,Japón,0
2005,THQ,Racing,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,Norteamérica,0.09
2005,THQ,Racing,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,Otros,0
2007,THQ,Action,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,Europa,0.47
2007,THQ,Action,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,Japón,0
2007,THQ,Action,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,Norteamérica,1.26
2007,THQ,Action,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,Otros,0.03
2004,THQ,Misc,2 Games in 1: Disney Princess & The Lion King,GBA,Europa,0.46
2004,THQ,Misc,2 Games in 1: Disney Princess & The Lion King,GBA,Japón,0
2004,THQ,Misc,2 Games in 1: Disney Princess & The Lion King,GBA,Norteamérica,1.25
2004,THQ,Misc,2 Games in 1: Disney Princess & The Lion King,GBA,Otros,0.03
2005,THQ,Action,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,Europa,0.08
2005,THQ,Action,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,Japón,0
2005,THQ,Action,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,Norteamérica,0.22
2005,THQ,Action,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,Otros,0.01
2005,THQ,Misc,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,Europa,0.49
2005,THQ,Misc,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,Japón,0
2005,THQ,Misc,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,Norteamérica,1.31
2005,THQ,Misc,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,Otros,0.03
2005,THQ,Misc,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,Europa,0.16
2005,THQ,Misc,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,Japón,0
2005,THQ,Misc,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,Norteamérica,0.44
2005,THQ,Misc,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,Otros,0.01
2005,Sega,Misc,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,Europa,0.02
2005,Sega,Misc,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,Japón,0
2005,Sega,Misc,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,Norteamérica,0.04
2005,Sega,Misc,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,Otros,0
2005,THQ,Platform,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,Europa,0.12
2005,THQ,Platform,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,Japón,0
2005,THQ,Platform,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,Norteamérica,0.33
2005,THQ,Platform,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,Otros,0.01
2004,Sega,Misc,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,Europa,0.11
2004,Sega,Misc,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,Japón,0
2004,Sega,Misc,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,Norteamérica,0.4
2004,Sega,Misc,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,Otros,0.02
2013,Ubisoft,Misc,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,Europa,0.01
2013,Ubisoft,Misc,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,Japón,0
2013,Ubisoft,Misc,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,Norteamérica,0.09
2013,Ubisoft,Misc,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,Otros,0.01
2002,Electronic Arts,Sports,2002 FIFA World Cup,GC,Europa,0.01
2002,Electronic Arts,Sports,2002 FIFA World Cup,GC,Japón,0
2002,Electronic Arts,Sports,2002 FIFA World Cup,GC,Norteamérica,0.04
2002,Electronic Arts,Sports,2002 FIFA World Cup,GC,Otros,0
2002,Electronic Arts,Sports,2002 FIFA World Cup,PS2,Europa,0.17
2002,Electronic Arts,Sports,2002 FIFA World Cup,PS2,Japón,0.16
2002,Electronic Arts,Sports,2002 FIFA World Cup,PS2,Norteamérica,0.21
2002,Electronic Arts,Sports,2002 FIFA World Cup,PS2,Otros,0.06
2002,Electronic Arts,Sports,2002 FIFA World Cup,XB,Europa,0.04
2002,Electronic Arts,Sports,2002 FIFA World Cup,XB,Japón,0
2002,Electronic Arts,Sports,2002 FIFA World Cup,XB,Norteamérica,0.14
2002,Electronic Arts,Sports,2002 FIFA World Cup,XB,Otros,0.01
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,PS3,Europa,0.64
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,PS3,Japón,0.07
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,PS3,Norteamérica,0.3
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,PS3,Otros,0.22
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,PSP,Europa,0.24
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,PSP,Japón,0.03
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,PSP,Norteamérica,0.09
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,PSP,Otros,0.12
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,Wii,Europa,0.15
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,Wii,Japón,0.01
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,Wii,Norteamérica,0.23
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,Wii,Otros,0.04
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,X360,Europa,0.43
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,X360,Japón,0.02
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,X360,Norteamérica,0.32
2010,Electronic Arts,Sports,2010 FIFA World Cup South Africa,X360,Otros,0.09
2014,Electronic Arts,Sports,2014 FIFA World Cup Brazil,PS3,Europa,0.39
2014,Electronic Arts,Sports,2014 FIFA World Cup Brazil,PS3,Japón,0.01
2014,Electronic Arts,Sports,2014 FIFA World Cup Brazil,PS3,Norteamérica,0.15
2014,Electronic Arts,Sports,2014 FIFA World Cup Brazil,PS3,Otros,0.16
2014,Electronic Arts,Sports,2014 FIFA World Cup Brazil,X360,Europa,0.28
2014,Electronic Arts,Sports,2014 FIFA World Cup Brazil,X360,Japón,0
2014,Electronic Arts,Sports,2014 FIFA World Cup Brazil,X360,Norteamérica,0.14
2014,Electronic Arts,Sports,2014 FIFA World Cup Brazil,X360,Otros,0.04
2006,Sony Computer Entertainment,Adventure,24: The Game,PS2,Europa,0.12
2006,Sony Computer Entertainment,Adventure,24: The Game,PS2,Japón,0
2006,Sony Computer Entertainment,Adventure,24: The Game,PS2,Norteamérica,0.15
2006,Sony Computer Entertainment,Adventure,24: The Game,PS2,Otros,0.04
2006,Eidos Interactive,Shooter,25 to Life,PS2,Europa,0.01
2006,Eidos Interactive,Shooter,25 to Life,PS2,Japón,0
2006,Eidos Interactive,Shooter,25 to Life,PS2,Norteamérica,0.35
2006,Eidos Interactive,Shooter,25 to Life,PS2,Otros,0.06
2006,Eidos Interactive,Shooter,25 to Life,XB,Europa,0.04
2006,Eidos Interactive,Shooter,25 to Life,XB,Japón,0
2006,Eidos Interactive,Shooter,25 to Life,XB,Norteamérica,0.12
2006,Eidos Interactive,Shooter,25 to Life,XB,Otros,0.01
2005,Activision,Platform,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,Europa,0.02
2005,Activision,Platform,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,Japón,0
2005,Activision,Platform,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,Norteamérica,0.06
2005,Activision,Platform,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,Otros,0
1996,Sony Computer Entertainment,Sports,2Xtreme,PS,Europa,0.2
1996,Sony Computer Entertainment,Sports,2Xtreme,PS,Japón,0
1996,Sony Computer Entertainment,Sports,2Xtreme,PS,Norteamérica,1.15
1996,Sony Computer Entertainment,Sports,2Xtreme,PS,Otros,0.05
2010,Deep Silver,Misc,"3 in 1: Solitaire, Mahjong & Tangram",DS,Europa,0.07
2010,Deep Silver,Misc,"3 in 1: Solitaire, Mahjong & Tangram",DS,Japón,0
2010,Deep Silver,Misc,"3 in 1: Solitaire, Mahjong & Tangram",DS,Norteamérica,0
2010,Deep Silver,Misc,"3 in 1: Solitaire, Mahjong & Tangram",DS,Otros,0.01
2007,Warner Bros. Interactive Entertainment,Action,300: March to Glory,PSP,Europa,0.08
2007,Warner Bros. Interactive Entertainment,Action,300: March to Glory,PSP,Japón,0
2007,Warner Bros. Interactive Entertainment,Action,300: March to Glory,PSP,Norteamérica,0.27
2007,Warner Bros. Interactive Entertainment,Action,300: March to Glory,PSP,Otros,0.06
1996,BMG Interactive Entertainment,Sports,3D Baseball,PS,Europa,0.01
1996,BMG Interactive Entertainment,Sports,3D Baseball,PS,Japón,0
1996,BMG Interactive Entertainment,Sports,3D Baseball,PS,Norteamérica,0.02
1996,BMG Interactive Entertainment,Sports,3D Baseball,PS,Otros,0
2009,SouthPeak Games,Role-Playing,3D Dot Game Heroes,PS3,Europa,0.12
2009,SouthPeak Games,Role-Playing,3D Dot Game Heroes,PS3,Japón,0.03
2009,SouthPeak Games,Role-Playing,3D Dot Game Heroes,PS3,Norteamérica,0.36
2009,SouthPeak Games,Role-Playing,3D Dot Game Heroes,PS3,Otros,0.07
1995,Psygnosis,Puzzle,3D Lemmings,PS,Europa,0.02
1995,Psygnosis,Puzzle,3D Lemmings,PS,Japón,0
1995,Psygnosis,Puzzle,3D Lemmings,PS,Norteamérica,0.03
1995,Psygnosis,Puzzle,3D Lemmings,PS,Otros,0
1999,Avalon Interactive,Simulation,3D Tank Warfare Simulator Panzer Front,PS,Europa,0.04
1999,Avalon Interactive,Simulation,3D Tank Warfare Simulator Panzer Front,PS,Japón,0
1999,Avalon Interactive,Simulation,3D Tank Warfare Simulator Panzer Front,PS,Norteamérica,0.06
1999,Avalon Interactive,Simulation,3D Tank Warfare Simulator Panzer Front,PS,Otros,0.01
2016,Sega,Misc,3DS Classic Collection,3DS,Europa,0
2016,Sega,Misc,3DS Classic Collection,3DS,Japón,0
2016,Sega,Misc,3DS Classic Collection,3DS,Norteamérica,0.02
2016,Sega,Misc,3DS Classic Collection,3DS,Otros,0
2014,Namco Bandai Games,Role-Playing,3rd Super Robot Wars Z Jigoku Hen,PS3,Europa,0
2014,Namco Bandai Games,Role-Playing,3rd Super Robot Wars Z Jigoku Hen,PS3,Japón,0.23
2014,Namco Bandai Games,Role-Playing,3rd Super Robot Wars Z Jigoku Hen,PS3,Norteamérica,0
2014,Namco Bandai Games,Role-Playing,3rd Super Robot Wars Z Jigoku Hen,PS3,Otros,0
2014,Namco Bandai Games,Role-Playing,3rd Super Robot Wars Z Jigoku Hen,PSV,Europa,0
2014,Namco Bandai Games,Role-Playing,3rd Super Robot Wars Z Jigoku Hen,PSV,Japón,0.19
