year,month,day,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,contaminante,fecha,day-of-week
2020,12,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.3,1.4,0.9,,,0.6,0.5,0.3,0.2,0.3,0.4,0.7,0.4,0.7,0.6,0.7,0.6,CO,2020-12-01,Tuesday
2020,9,1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,CO,2020-09-01,Tuesday
2020,2,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,CO,2020-02-01,Saturday
2020,8,1,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,CO,2020-08-01,Saturday
2020,5,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,CO,2020-05-01,Friday
2020,6,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,CO,2020-06-01,Monday
2020,7,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,CO,2020-07-01,Wednesday
2020,10,1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,CO,2020-10-01,Thursday
2017,12,1,0.5,0.7,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,CO,2017-12-01,Friday
2019,1,1,0.7,0.8,0.8,0.7,0.6,0.6,0.6,0.8,0.7,0.8,0.8,0.8,0.7,0.6,0.5,0.5,0.5,1.2,1.3,1.3,1.4,1.4,1.1,0.8,CO,2019-01-01,Tuesday
2021,10,1,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.4,0.5,0.7,0.6,0.4,,,,,,,,,,,,,CO,2021-10-01,Friday
2021,1,1,10.0,16.0,7.0,5.0,6.0,8.0,14.0,21.0,13.0,13.0,7.0,6.0,4.0,5.0,6.0,5.0,6.0,8.0,14.0,18.0,9.0,8.0,13.0,13.0,NO2,2021-01-01,Friday
2021,2,1,,,,,,,,,,,,,,,,,,,,16.0,12.0,11.0,7.0,6.0,NO2,2021-02-01,Monday
2021,3,1,8.0,7.0,8.0,7.0,7.0,8.0,13.0,25.0,54.0,60.0,60.0,70.0,62.0,58.0,52.0,57.0,64.0,67.0,66.0,60.0,52.0,37.0,18.0,13.0,NO2,2021-03-01,Monday
2021,4,1,10.0,9.0,11.0,8.0,9.0,10.0,12.0,15.0,23.0,20.0,19.0,20.0,23.0,13.0,8.0,6.0,6.0,7.0,8.0,11.0,16.0,24.0,27.0,28.0,NO2,2021-04-01,Thursday
2021,5,1,13.0,14.0,9.0,11.0,10.0,10.0,16.0,32.0,38.0,38.0,26.0,20.0,13.0,13.0,6.0,5.0,6.0,10.0,8.0,10.0,14.0,19.0,20.0,24.0,NO2,2021-05-01,Saturday
2021,6,1,17.0,25.0,10.0,14.0,8.0,9.0,14.0,23.0,41.0,45.0,38.0,40.0,28.0,21.0,17.0,18.0,14.0,13.0,13.0,9.0,8.0,10.0,11.0,14.0,NO2,2021-06-01,Tuesday
2021,7,1,24.0,57.0,59.0,59.0,51.0,46.0,44.0,62.0,67.0,50.0,49.0,36.0,46.0,30.0,26.0,39.0,28.0,31.0,31.0,24.0,29.0,18.0,21.0,20.0,NO2,2021-07-01,Thursday
2021,8,1,13.0,9.0,7.0,8.0,8.0,5.0,5.0,6.0,6.0,5.0,8.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,9.0,11.0,13.0,14.0,NO2,2021-08-01,Sunday
2021,9,1,8.0,7.0,6.0,5.0,5.0,5.0,7.0,13.0,19.0,23.0,21.0,23.0,19.0,17.0,13.0,21.0,38.0,39.0,23.0,16.0,19.0,20.0,19.0,28.0,NO2,2021-09-01,Wednesday
2021,10,1,70.0,59.0,46.0,43.0,35.0,35.0,34.0,,,,,,,,,,,,,,,,,,NO2,2021-10-01,Friday
2020,1,1,48.0,51.0,60.0,53.0,43.0,37.0,34.0,34.0,33.0,34.0,36.0,48.0,54.0,58.0,64.0,67.0,70.0,75.0,86.0,97.0,95.0,86.0,75.0,61.0,NO2,2020-01-01,Wednesday
2020,2,1,21.0,12.0,9.0,7.0,6.0,5.0,5.0,7.0,14.0,12.0,10.0,7.0,6.0,7.0,12.0,9.0,8.0,9.0,10.0,23.0,19.0,39.0,33.0,19.0,NO2,2020-02-01,Saturday
2020,5,1,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,NO2,2020-05-01,Friday
2020,6,1,8.0,9.0,8.0,9.0,9.0,10.0,17.0,38.0,54.0,38.0,39.0,45.0,44.0,38.0,21.0,36.0,32.0,32.0,26.0,11.0,11.0,19.0,18.0,19.0,NO2,2020-06-01,Monday
2020,7,1,22.0,25.0,18.0,9.0,9.0,7.0,11.0,41.0,38.0,27.0,12.0,14.0,19.0,13.0,20.0,20.0,13.0,19.0,15.0,14.0,15.0,10.0,12.0,9.0,NO2,2020-07-01,Wednesday
2020,8,1,50.0,42.0,34.0,65.0,50.0,45.0,17.0,45.0,66.0,39.0,22.0,24.0,22.0,11.0,8.0,7.0,6.0,6.0,6.0,8.0,12.0,12.0,17.0,16.0,NO2,2020-08-01,Saturday
2020,9,1,57.0,41.0,34.0,42.0,37.0,25.0,37.0,55.0,65.0,75.0,76.0,69.0,64.0,41.0,32.0,30.0,37.0,26.0,30.0,20.0,27.0,42.0,72.0,93.0,NO2,2020-09-01,Tuesday
2020,10,1,18.0,21.0,45.0,26.0,13.0,15.0,37.0,80.0,74.0,69.0,32.0,38.0,33.0,32.0,10.0,22.0,37.0,27.0,27.0,18.0,14.0,14.0,9.0,7.0,NO2,2020-10-01,Thursday
2020,11,1,44.0,36.0,29.0,20.0,18.0,15.0,16.0,16.0,19.0,23.0,33.0,37.0,36.0,30.0,33.0,28.0,19.0,29.0,43.0,70.0,72.0,67.0,58.0,50.0,NO2,2020-11-01,Sunday
2020,12,1,31.0,29.0,22.0,20.0,19.0,15.0,19.0,33.0,105.0,80.0,79.0,85.0,78.0,70.0,48.0,53.0,58.0,79.0,86.0,69.0,72.0,71.0,64.0,61.0,NO2,2020-12-01,Tuesday
2019,1,1,60.0,74.0,80.0,67.0,56.0,48.0,45.0,43.0,38.0,37.0,44.0,57.0,60.0,60.0,52.0,55.0,60.0,94.0,123.0,127.0,131.0,118.0,93.0,73.0,NO2,2019-01-01,Tuesday
2019,2,1,11.0,7.0,5.0,4.0,5.0,4.0,10.0,24.0,35.0,28.0,24.0,17.0,22.0,21.0,20.0,20.0,20.0,26.0,33.0,27.0,25.0,18.0,14.0,10.0,NO2,2019-02-01,Friday
2019,3,1,82.0,64.0,58.0,51.0,45.0,45.0,50.0,70.0,83.0,77.0,79.0,89.0,67.0,45.0,47.0,35.0,29.0,31.0,33.0,54.0,68.0,114.0,109.0,116.0,NO2,2019-03-01,Friday
2019,4,1,17.0,18.0,15.0,12.0,12.0,12.0,20.0,41.0,68.0,76.0,72.0,76.0,56.0,63.0,54.0,46.0,33.0,36.0,35.0,37.0,51.0,81.0,98.0,48.0,NO2,2019-04-01,Monday
2019,5,1,27.0,24.0,31.0,31.0,18.0,33.0,19.0,39.0,50.0,43.0,34.0,35.0,43.0,29.0,22.0,15.0,13.0,32.0,36.0,38.0,39.0,28.0,38.0,38.0,NO2,2019-05-01,Wednesday
2019,6,1,50.0,86.0,69.0,46.0,28.0,22.0,27.0,28.0,43.0,36.0,37.0,36.0,29.0,21.0,22.0,19.0,27.0,43.0,35.0,36.0,41.0,51.0,90.0,108.0,NO2,2019-06-01,Saturday
2019,7,1,86.0,40.0,25.0,17.0,19.0,30.0,49.0,83.0,117.0,69.0,76.0,65.0,67.0,43.0,56.0,31.0,30.0,27.0,35.0,26.0,26.0,22.0,12.0,13.0,NO2,2019-07-01,Monday
2019,8,1,20.0,15.0,16.0,13.0,10.0,12.0,19.0,37.0,38.0,43.0,35.0,34.0,33.0,27.0,21.0,16.0,16.0,19.0,20.0,23.0,28.0,37.0,26.0,57.0,NO2,2019-08-01,Thursday
2019,9,1,98.0,86.0,79.0,68.0,64.0,67.0,51.0,50.0,55.0,50.0,42.0,31.0,30.0,24.0,25.0,16.0,29.0,27.0,28.0,29.0,36.0,41.0,30.0,15.0,NO2,2019-09-01,Sunday
2019,10,1,49.0,61.0,52.0,45.0,41.0,38.0,40.0,57.0,75.0,85.0,83.0,81.0,69.0,39.0,25.0,20.0,18.0,20.0,21.0,24.0,24.0,19.0,23.0,24.0,NO2,2019-10-01,Tuesday
2019,11,1,38.0,20.0,10.0,11.0,11.0,8.0,7.0,13.0,17.0,13.0,12.0,12.0,11.0,13.0,7.0,7.0,8.0,10.0,14.0,16.0,14.0,11.0,9.0,10.0,NO2,2019-11-01,Friday
2019,12,1,32.0,37.0,23.0,21.0,21.0,11.0,8.0,15.0,28.0,44.0,42.0,33.0,37.0,43.0,45.0,49.0,34.0,48.0,51.0,54.0,40.0,31.0,25.0,18.0,NO2,2019-12-01,Sunday
2018,1,1,15.0,35.0,29.0,16.0,12.0,10.0,9.0,16.0,27.0,35.0,21.0,18.0,21.0,18.0,15.0,10.0,14.0,25.0,32.0,39.0,35.0,27.0,23.0,11.0,NO2,2018-01-01,Monday
2018,2,1,60.0,52.0,48.0,47.0,43.0,37.0,43.0,74.0,99.0,96.0,94.0,86.0,89.0,87.0,59.0,63.0,56.0,44.0,48.0,37.0,43.0,43.0,23.0,21.0,NO2,2018-02-01,Thursday
2018,3,1,29.0,24.0,19.0,14.0,18.0,17.0,25.0,47.0,63.0,61.0,60.0,54.0,56.0,54.0,55.0,44.0,39.0,33.0,38.0,30.0,16.0,25.0,15.0,10.0,NO2,2018-03-01,Thursday
2018,4,1,21.0,19.0,17.0,24.0,17.0,35.0,40.0,36.0,34.0,35.0,44.0,44.0,38.0,26.0,29.0,22.0,17.0,24.0,32.0,46.0,57.0,82.0,85.0,77.0,NO2,2018-04-01,Sunday
2018,5,1,24.0,28.0,22.0,30.0,34.0,14.0,15.0,24.0,37.0,37.0,31.0,27.0,20.0,17.0,19.0,15.0,17.0,16.0,14.0,15.0,27.0,37.0,37.0,42.0,NO2,2018-05-01,Tuesday
2018,6,1,51.0,70.0,67.0,47.0,45.0,33.0,37.0,47.0,53.0,65.0,85.0,62.0,35.0,30.0,27.0,25.0,27.0,34.0,27.0,31.0,42.0,69.0,56.0,25.0,NO2,2018-06-01,Friday
2018,7,1,18.0,16.0,12.0,10.0,9.0,13.0,16.0,24.0,31.0,10.0,11.0,12.0,10.0,11.0,15.0,12.0,8.0,9.0,14.0,13.0,15.0,17.0,20.0,23.0,NO2,2018-07-01,Sunday
2018,8,1,109.0,90.0,73.0,62.0,56.0,41.0,58.0,88.0,107.0,109.0,54.0,55.0,62.0,57.0,31.0,22.0,22.0,31.0,55.0,69.0,139.0,221.0,226.0,169.0,NO2,2018-08-01,Wednesday
2018,9,1,16.0,13.0,12.0,9.0,8.0,8.0,11.0,14.0,22.0,26.0,26.0,25.0,31.0,32.0,30.0,16.0,20.0,19.0,22.0,40.0,144.0,172.0,153.0,142.0,NO2,2018-09-01,Saturday
2018,10,1,18.0,14.0,13.0,8.0,11.0,10.0,15.0,34.0,51.0,50.0,48.0,56.0,52.0,50.0,37.0,45.0,42.0,41.0,62.0,56.0,61.0,28.0,29.0,23.0,NO2,2018-10-01,Monday
2018,11,1,59.0,51.0,42.0,37.0,28.0,32.0,32.0,30.0,39.0,46.0,39.0,45.0,32.0,27.0,25.0,24.0,21.0,26.0,35.0,51.0,55.0,50.0,48.0,35.0,NO2,2018-11-01,Thursday
2018,12,1,54.0,48.0,41.0,36.0,32.0,36.0,27.0,33.0,38.0,44.0,53.0,57.0,54.0,48.0,54.0,35.0,28.0,48.0,69.0,67.0,67.0,75.0,61.0,70.0,NO2,2018-12-01,Saturday
2017,1,1,45.0,56.0,54.0,50.0,37.0,31.0,35.0,39.0,34.0,33.0,36.0,41.0,50.0,48.0,36.0,33.0,33.0,42.0,58.0,79.0,89.0,96.0,78.0,60.0,NO2,2017-01-01,Sunday
2017,2,1,50.0,44.0,39.0,30.0,30.0,46.0,81.0,123.0,157.0,183.0,178.0,173.0,135.0,114.0,112.0,89.0,86.0,94.0,91.0,102.0,104.0,90.0,45.0,27.0,NO2,2017-02-01,Wednesday
2017,3,1,14.0,11.0,9.0,11.0,6.0,15.0,22.0,62.0,72.0,79.0,69.0,66.0,66.0,37.0,21.0,21.0,21.0,27.0,38.0,62.0,71.0,56.0,42.0,71.0,NO2,2017-03-01,Wednesday
2017,4,1,25.0,21.0,10.0,10.0,8.0,16.0,32.0,23.0,23.0,17.0,13.0,21.0,24.0,28.0,27.0,20.0,20.0,24.0,29.0,40.0,48.0,49.0,43.0,28.0,NO2,2017-04-01,Saturday
2017,5,1,20.0,17.0,16.0,11.0,6.0,4.0,15.0,32.0,38.0,25.0,22.0,24.0,29.0,24.0,19.0,20.0,13.0,14.0,12.0,21.0,36.0,52.0,52.0,73.0,NO2,2017-05-01,Monday
2017,6,1,38.0,27.0,23.0,14.0,17.0,47.0,44.0,69.0,78.0,79.0,63.0,62.0,54.0,44.0,33.0,23.0,30.0,26.0,58.0,80.0,86.0,62.0,79.0,113.0,NO2,2017-06-01,Thursday
2017,7,1,39.0,11.0,7.0,5.0,6.0,4.0,9.0,12.0,21.0,15.0,12.0,11.0,11.0,11.0,17.0,12.0,6.0,4.0,4.0,6.0,8.0,15.0,13.0,13.0,NO2,2017-07-01,Saturday
2017,8,1,21.0,21.0,32.0,31.0,9.0,9.0,21.0,45.0,52.0,48.0,47.0,34.0,36.0,27.0,23.0,20.0,15.0,17.0,23.0,22.0,33.0,46.0,46.0,44.0,NO2,2017-08-01,Tuesday
2017,9,1,17.0,12.0,11.0,7.0,6.0,7.0,14.0,20.0,34.0,34.0,28.0,29.0,28.0,31.0,28.0,23.0,32.0,32.0,29.0,28.0,30.0,25.0,26.0,15.0,NO2,2017-09-01,Friday
2017,10,1,34.0,26.0,18.0,12.0,9.0,11.0,12.0,34.0,49.0,36.0,28.0,33.0,39.0,68.0,56.0,35.0,32.0,40.0,49.0,43.0,51.0,58.0,50.0,34.0,NO2,2017-10-01,Sunday
2017,11,1,63.0,54.0,51.0,42.0,32.0,29.0,34.0,35.0,35.0,33.0,34.0,35.0,27.0,37.0,37.0,32.0,31.0,51.0,89.0,105.0,103.0,93.0,89.0,77.0,NO2,2017-11-01,Wednesday
2017,12,1,67.0,73.0,53.0,25.0,16.0,20.0,37.0,59.0,62.0,59.0,38.0,42.0,35.0,,44.0,37.0,36.0,55.0,52.0,47.0,53.0,66.0,60.0,61.0,NO2,2017-12-01,Friday
2019,1,1,23.0,17.0,19.0,14.0,13.0,12.0,11.0,12.0,11.0,12.0,16.0,25.0,23.0,22.0,19.0,18.0,17.0,18.0,23.0,28.0,26.0,24.0,19.0,16.0,SO2,2019-01-01,Tuesday
2019,2,1,14.0,14.0,14.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,13.0,14.0,15.0,16.0,15.0,15.0,14.0,13.0,13.0,12.0,11.0,11.0,10.0,SO2,2019-02-01,Friday
2019,3,1,20.0,18.0,17.0,16.0,15.0,15.0,15.0,17.0,19.0,19.0,23.0,25.0,20.0,16.0,15.0,14.0,15.0,15.0,16.0,18.0,18.0,21.0,21.0,24.0,SO2,2019-03-01,Friday
2019,11,1,9.0,9.0,9.0,10.0,12.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0,12.0,10.0,10.0,10.0,9.0,9.0,9.0,SO2,2019-11-01,Friday
2018,11,1,12.0,10.0,11.0,11.0,10.0,9.0,10.0,11.0,11.0,13.0,11.0,13.0,12.0,11.0,11.0,10.0,10.0,11.0,12.0,12.0,13.0,14.0,13.0,12.0,SO2,2018-11-01,Thursday
2018,12,1,12.0,12.0,11.0,10.0,10.0,9.0,10.0,10.0,11.0,13.0,16.0,13.0,13.0,13.0,14.0,13.0,13.0,15.0,16.0,15.0,14.0,14.0,13.0,14.0,SO2,2018-12-01,Saturday
2017,11,1,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,3.0,5.0,4.0,SO2,2017-11-01,Wednesday
