PROVINCIA,MUNICIPIO,ESTACION,MAGNITUD,PUNTO_MUESTREO,ANO,MES,DIA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,source_file
28,79,56,6,28079056_6_48,2019,4,23,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.3,N,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,abr_mo19.csv
28,79,56,6,28079056_6_48,2019,4,24,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.4,V,0.3,V,0.3,V,0.2,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,abr_mo19.csv
28,79,56,6,28079056_6_48,2019,4,25,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.2,V,0.2,V,0.3,V,0.4,V,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,abr_mo19.csv
28,79,56,6,28079056_6_48,2019,4,26,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,abr_mo19.csv
28,79,56,6,28079056_6_48,2019,4,27,0.6,V,0.6,V,0.5,V,0.3,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.4,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.4,V,0.9,V,1.5,V,1.3,V,abr_mo19.csv
28,79,56,6,28079056_6_48,2019,4,28,0.5,V,0.4,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.2,V,0.2,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.8,V,1.0,V,0.4,V,abr_mo19.csv
28,79,56,6,28079056_6_48,2019,4,29,0.4,V,0.2,V,0.2,V,0.2,V,0.1,V,0.1,V,0.2,V,0.4,V,0.4,V,0.5,V,0.3,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.4,V,0.5,V,0.6,V,abr_mo19.csv
28,79,56,6,28079056_6_48,2019,4,30,0.4,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.4,V,0.5,V,0.5,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.4,V,0.3,V,0.3,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,1,15.0,V,14.0,V,13.0,V,13.0,V,13.0,V,13.0,V,23.0,V,37.0,V,53.0,V,66.0,V,55.0,V,43.0,V,36.0,V,30.0,V,32.0,V,31.0,V,30.0,V,34.0,V,30.0,V,31.0,V,63.0,V,168.0,V,95.0,V,15.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,2,17.0,V,15.0,V,13.0,V,12.0,V,12.0,V,15.0,V,31.0,V,46.0,V,73.0,V,85.0,V,53.0,V,22.0,V,28.0,V,34.0,V,25.0,V,16.0,V,17.0,V,18.0,V,29.0,V,29.0,V,31.0,V,40.0,V,38.0,V,21.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,3,17.0,V,12.0,V,11.0,V,12.0,V,12.0,V,24.0,V,84.0,V,234.0,V,305.0,V,27.0,V,22.0,V,17.0,V,18.0,V,19.0,V,16.0,V,17.0,V,16.0,V,15.0,V,21.0,V,20.0,V,18.0,V,16.0,V,18.0,V,12.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,4,11.0,V,11.0,V,19.0,V,13.0,V,11.0,V,17.0,V,36.0,V,44.0,V,91.0,V,35.0,V,39.0,V,40.0,V,34.0,V,27.0,V,32.0,V,28.0,V,20.0,V,28.0,V,70.0,V,77.0,V,18.0,V,16.0,V,13.0,V,17.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,5,14.0,V,12.0,V,11.0,V,11.0,V,11.0,V,12.0,V,23.0,V,41.0,V,52.0,V,25.0,V,30.0,V,39.0,V,33.0,V,32.0,V,25.0,V,27.0,V,31.0,V,22.0,V,22.0,V,24.0,V,28.0,V,29.0,V,27.0,V,14.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,6,13.0,V,13.0,V,12.0,V,12.0,V,11.0,V,12.0,V,13.0,V,16.0,V,18.0,V,19.0,V,17.0,V,20.0,V,27.0,V,19.0,V,20.0,V,18.0,V,17.0,V,17.0,V,25.0,V,24.0,V,22.0,V,21.0,V,26.0,V,18.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,7,15.0,V,13.0,V,12.0,V,12.0,V,14.0,V,13.0,V,12.0,V,12.0,V,14.0,V,13.0,V,14.0,V,14.0,V,15.0,V,16.0,V,15.0,V,15.0,V,14.0,V,16.0,V,18.0,V,17.0,V,18.0,V,24.0,V,35.0,V,24.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,8,14.0,V,12.0,V,12.0,V,12.0,V,12.0,V,13.0,V,17.0,V,28.0,V,28.0,V,42.0,V,22.0,V,20.0,V,19.0,V,20.0,V,16.0,V,16.0,V,15.0,V,18.0,V,21.0,V,18.0,V,17.0,V,14.0,V,13.0,V,12.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,9,12.0,V,12.0,V,12.0,V,11.0,V,11.0,V,14.0,V,18.0,V,27.0,V,29.0,V,24.0,V,21.0,V,19.0,V,18.0,V,17.0,V,18.0,V,18.0,V,19.0,V,21.0,V,23.0,V,19.0,V,18.0,V,14.0,V,15.0,V,13.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,10,12.0,V,12.0,V,12.0,V,11.0,V,11.0,V,13.0,V,13.0,V,21.0,V,22.0,V,21.0,V,18.0,V,16.0,V,20.0,V,20.0,V,15.0,V,16.0,V,23.0,V,23.0,V,17.0,V,20.0,V,19.0,V,15.0,V,16.0,V,14.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,11,21.0,V,16.0,V,13.0,V,12.0,V,12.0,V,17.0,V,62.0,V,312.0,V,203.0,V,79.0,V,49.0,V,57.0,V,37.0,V,28.0,V,39.0,V,26.0,V,59.0,V,53.0,V,63.0,V,73.0,V,35.0,V,25.0,V,15.0,V,22.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,12,12.0,V,11.0,V,16.0,V,14.0,V,37.0,V,20.0,V,118.0,V,60.0,V,64.0,V,83.0,V,68.0,V,78.0,V,54.0,V,40.0,V,25.0,V,22.0,V,23.0,V,20.0,V,17.0,V,25.0,V,22.0,V,26.0,V,14.0,V,15.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,13,23.0,V,82.0,V,80.0,V,91.0,V,32.0,V,12.0,V,17.0,V,29.0,V,29.0,V,45.0,V,47.0,V,29.0,V,27.0,V,25.0,V,18.0,V,20.0,V,18.0,V,20.0,V,18.0,V,18.0,V,21.0,V,26.0,V,73.0,V,53.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,14,26.0,V,20.0,V,20.0,V,12.0,V,13.0,V,16.0,V,21.0,V,51.0,V,43.0,V,41.0,V,41.0,V,29.0,V,23.0,V,17.0,V,16.0,V,14.0,V,14.0,V,15.0,V,17.0,V,19.0,V,22.0,V,34.0,V,38.0,V,30.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,15,39.0,V,20.0,V,29.0,V,20.0,V,13.0,V,23.0,V,35.0,V,52.0,V,64.0,V,116.0,V,156.0,V,57.0,V,63.0,V,44.0,V,25.0,V,18.0,V,16.0,V,18.0,V,18.0,V,16.0,V,15.0,V,12.0,V,12.0,V,12.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,16,12.0,V,12.0,V,12.0,V,14.0,V,17.0,V,21.0,V,119.0,V,44.0,V,93.0,V,69.0,V,101.0,V,33.0,V,25.0,V,24.0,V,21.0,V,27.0,V,24.0,V,29.0,V,33.0,V,34.0,V,38.0,V,202.0,V,175.0,V,113.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,17,15.0,V,13.0,V,13.0,V,13.0,V,13.0,V,16.0,V,25.0,V,35.0,V,63.0,V,107.0,V,92.0,V,81.0,V,66.0,V,31.0,V,24.0,V,25.0,V,25.0,V,24.0,V,27.0,V,21.0,V,15.0,V,28.0,V,32.0,V,30.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,18,17.0,V,13.0,V,12.0,V,12.0,V,14.0,V,12.0,V,12.0,V,13.0,V,16.0,V,18.0,V,16.0,V,17.0,V,17.0,V,18.0,V,19.0,V,16.0,V,15.0,V,20.0,V,18.0,V,13.0,V,20.0,V,22.0,V,18.0,V,15.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,19,14.0,V,13.0,V,13.0,V,12.0,V,12.0,V,12.0,V,13.0,V,14.0,V,14.0,V,16.0,V,17.0,V,17.0,V,18.0,V,19.0,V,19.0,V,17.0,V,17.0,V,20.0,V,21.0,V,25.0,V,23.0,V,26.0,V,25.0,V,15.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,20,13.0,V,18.0,V,13.0,V,13.0,V,12.0,V,12.0,V,14.0,V,17.0,V,17.0,V,18.0,V,18.0,V,20.0,V,20.0,V,19.0,V,20.0,V,17.0,V,17.0,V,16.0,V,16.0,V,18.0,V,20.0,V,24.0,V,26.0,V,20.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,21,15.0,V,13.0,V,13.0,V,12.0,V,12.0,V,13.0,V,13.0,V,13.0,V,13.0,V,16.0,V,16.0,V,18.0,V,21.0,V,18.0,V,21.0,V,20.0,V,18.0,V,18.0,V,19.0,V,21.0,V,18.0,V,20.0,V,18.0,V,16.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,22,14.0,V,13.0,V,12.0,V,12.0,V,12.0,V,13.0,V,25.0,V,20.0,V,32.0,V,34.0,V,30.0,V,25.0,V,21.0,V,17.0,V,20.0,V,18.0,V,20.0,V,21.0,V,26.0,V,30.0,V,22.0,V,37.0,V,79.0,V,27.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,23,20.0,V,12.0,V,12.0,V,11.0,V,12.0,V,12.0,V,18.0,V,19.0,V,23.0,V,23.0,V,23.0,V,20.0,N,21.0,V,22.0,V,18.0,V,19.0,V,19.0,V,22.0,V,20.0,V,26.0,V,22.0,V,15.0,V,14.0,V,15.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,24,12.0,V,13.0,V,13.0,V,11.0,V,12.0,V,12.0,V,24.0,V,54.0,V,52.0,V,41.0,V,36.0,V,39.0,V,50.0,V,29.0,V,24.0,V,22.0,V,24.0,V,34.0,V,28.0,V,24.0,V,19.0,V,19.0,V,22.0,V,23.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,25,17.0,V,13.0,V,12.0,V,13.0,V,12.0,V,15.0,V,23.0,V,33.0,V,32.0,V,25.0,V,19.0,V,19.0,V,17.0,V,23.0,V,35.0,V,21.0,V,20.0,V,33.0,V,55.0,V,53.0,V,19.0,V,21.0,V,14.0,V,14.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,26,13.0,V,14.0,V,12.0,V,11.0,V,11.0,V,13.0,V,19.0,V,50.0,V,36.0,V,24.0,V,17.0,V,18.0,V,18.0,V,19.0,V,23.0,V,17.0,V,24.0,V,18.0,V,19.0,V,23.0,V,29.0,V,18.0,V,18.0,V,32.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,27,93.0,V,77.0,V,59.0,V,19.0,V,12.0,V,14.0,V,27.0,V,26.0,V,37.0,V,49.0,V,37.0,V,29.0,V,31.0,V,23.0,V,22.0,V,21.0,V,18.0,V,24.0,V,22.0,V,24.0,V,49.0,V,163.0,V,275.0,V,192.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,28,43.0,V,20.0,V,15.0,V,14.0,V,12.0,V,12.0,V,13.0,V,18.0,V,18.0,V,23.0,V,24.0,V,23.0,V,22.0,V,25.0,V,21.0,V,20.0,V,22.0,V,19.0,V,26.0,V,23.0,V,48.0,V,210.0,V,266.0,V,18.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,29,21.0,V,12.0,V,14.0,V,12.0,V,12.0,V,12.0,V,17.0,V,36.0,V,124.0,V,149.0,V,97.0,V,83.0,V,47.0,V,42.0,V,30.0,V,30.0,V,25.0,V,22.0,V,33.0,V,34.0,V,62.0,V,64.0,V,155.0,V,155.0,V,abr_mo19.csv
28,79,56,7,28079056_7_8,2019,4,30,51.0,V,11.0,V,13.0,V,11.0,V,13.0,V,13.0,V,21.0,V,53.0,V,81.0,V,115.0,V,64.0,V,90.0,V,62.0,V,36.0,V,35.0,V,28.0,V,26.0,V,27.0,V,22.0,V,40.0,V,50.0,V,37.0,V,36.0,V,23.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,1,36.0,V,32.0,V,29.0,V,19.0,V,19.0,V,23.0,V,39.0,V,66.0,V,88.0,V,88.0,V,86.0,V,72.0,V,61.0,V,54.0,V,59.0,V,54.0,V,56.0,V,58.0,V,54.0,V,65.0,V,117.0,V,160.0,V,121.0,V,41.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,2,57.0,V,55.0,V,44.0,V,27.0,V,42.0,V,46.0,V,61.0,V,73.0,V,80.0,V,89.0,V,70.0,V,36.0,V,43.0,V,53.0,V,36.0,V,34.0,V,26.0,V,29.0,V,42.0,V,53.0,V,70.0,V,86.0,V,84.0,V,53.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,3,46.0,V,25.0,V,18.0,V,16.0,V,29.0,V,66.0,V,108.0,V,163.0,V,195.0,V,76.0,V,46.0,V,27.0,V,26.0,V,24.0,V,19.0,V,21.0,V,21.0,V,23.0,V,34.0,V,34.0,V,36.0,V,36.0,V,45.0,V,25.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,4,17.0,V,11.0,V,22.0,V,17.0,V,12.0,V,20.0,V,70.0,V,80.0,V,120.0,V,72.0,V,66.0,V,61.0,V,51.0,V,40.0,V,41.0,V,34.0,V,27.0,V,40.0,V,60.0,V,59.0,V,44.0,V,41.0,V,33.0,V,39.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,5,26.0,V,12.0,V,7.0,V,8.0,V,10.0,V,12.0,V,36.0,V,77.0,V,88.0,V,53.0,V,59.0,V,67.0,V,49.0,V,50.0,V,38.0,V,37.0,V,40.0,V,31.0,V,40.0,V,40.0,V,59.0,V,73.0,V,70.0,V,28.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,6,21.0,V,17.0,V,12.0,V,10.0,V,10.0,V,14.0,V,18.0,V,30.0,V,37.0,V,34.0,V,28.0,V,28.0,V,35.0,V,21.0,V,22.0,V,20.0,V,17.0,V,18.0,V,34.0,V,34.0,V,38.0,V,41.0,V,39.0,V,35.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,7,21.0,V,18.0,V,15.0,V,13.0,V,11.0,V,14.0,V,13.0,V,19.0,V,25.0,V,17.0,V,15.0,V,14.0,V,15.0,V,18.0,V,17.0,V,17.0,V,19.0,V,25.0,V,38.0,V,39.0,V,42.0,V,59.0,V,93.0,V,73.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,8,41.0,V,23.0,V,21.0,V,20.0,V,28.0,V,24.0,V,35.0,V,59.0,V,63.0,V,72.0,V,39.0,V,31.0,V,25.0,V,24.0,V,21.0,V,20.0,V,19.0,V,25.0,V,33.0,V,31.0,V,39.0,V,46.0,V,26.0,V,19.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,9,22.0,V,19.0,V,14.0,V,11.0,V,10.0,V,16.0,V,37.0,V,54.0,V,65.0,V,44.0,V,36.0,V,29.0,V,23.0,V,23.0,V,25.0,V,25.0,V,27.0,V,34.0,V,30.0,V,38.0,V,39.0,V,36.0,V,33.0,V,20.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,10,14.0,V,11.0,V,10.0,V,7.0,V,7.0,V,14.0,V,25.0,V,53.0,V,55.0,V,34.0,V,23.0,V,23.0,V,27.0,V,26.0,V,18.0,V,19.0,V,33.0,V,34.0,V,29.0,V,40.0,V,51.0,V,62.0,V,60.0,V,59.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,11,73.0,V,49.0,V,33.0,V,33.0,V,37.0,V,36.0,V,97.0,V,189.0,V,150.0,V,107.0,V,83.0,V,83.0,V,47.0,V,43.0,V,58.0,V,43.0,V,62.0,V,61.0,V,78.0,V,90.0,V,79.0,V,64.0,V,57.0,V,67.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,12,39.0,V,37.0,V,58.0,V,51.0,V,58.0,V,65.0,V,112.0,V,80.0,V,87.0,V,100.0,V,94.0,V,93.0,V,77.0,V,62.0,V,40.0,V,30.0,V,35.0,V,27.0,V,31.0,V,48.0,V,57.0,V,84.0,V,63.0,V,71.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,13,82.0,V,139.0,V,132.0,V,123.0,V,79.0,V,46.0,V,48.0,V,67.0,V,63.0,V,68.0,V,80.0,V,60.0,V,52.0,V,47.0,V,33.0,V,37.0,V,30.0,V,34.0,V,33.0,V,43.0,V,65.0,V,90.0,V,129.0,V,116.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,14,76.0,V,71.0,V,76.0,V,30.0,V,33.0,V,53.0,V,72.0,V,92.0,V,81.0,V,69.0,V,59.0,V,44.0,V,28.0,V,18.0,V,15.0,V,13.0,V,14.0,V,18.0,V,21.0,V,30.0,V,38.0,V,61.0,V,66.0,V,63.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,15,70.0,V,54.0,V,63.0,V,55.0,V,40.0,V,44.0,V,50.0,V,59.0,V,60.0,V,80.0,V,101.0,V,62.0,V,53.0,V,43.0,V,29.0,V,20.0,V,19.0,V,24.0,V,23.0,V,20.0,V,21.0,V,22.0,V,21.0,V,15.0,V,abr_mo19.csv
28,79,56,8,28079056_8_8,2019,4,16,12.0,V,10.0,V,11.0,V,29.0,V,37.0,V,55.0,V,123.0,V,85.0,V,99.0,V,87.0,V,110.0,V,56.0,V,41.0,V,35.0,V,29.0,V,39.0,V,36.0,V,47.0,V,59.0,V,74.0,V,99.0,V,176.0,V,166.0,V,132.0,V,abr_mo19.csv
