sexo,edad,ccaa,edu,p6,p7,p8,p9,hab_r,clase_social_r,situacion_laboral_r,educacion_r,recuerdo_r
1,60,12,5,10,13,13,4,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, primer ciclo",UP
2,47,7,5,10,5,5,5,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, primer ciclo",VOX
2,28,1,7,5,4,4,4,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",UP
2,59,10,4,10,2,2,2,Más de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",PP
2,26,10,6,7,4,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PSOE
2,37,12,7,0,16,2,3,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",CS
2,29,11,6,6,16,2,7,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",ERC
2,40,13,7,10,18,16,3,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",CS
2,41,9,5,0,17,15,18,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",Abstención
2,46,8,5,10,5,5,5,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",VOX
1,39,12,7,10,13,1,1,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, segundo ciclo y más",PSOE
1,33,10,5,10,12,12,12,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",Otros
1,74,9,7,8,18,15,18,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, segundo ciclo y más",Abstención
1,76,9,4,10,8,8,8,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",JXCAT
2,40,9,6,5,7,16,7,Menos de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",ERC
2,31,1,4,8,5,5,5,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",VOX
2,55,10,6,7,18,3,20,Más de 10.000,Media,Trabajo del hogar no remunerado,"Tercer grado, segundo ciclo y más",Abstención
1,60,13,7,10,1,1,1,Más de 10.000,Alta / Media Alta,Parado,"Tercer grado, segundo ciclo y más",PSOE
1,43,8,4,10,5,5,5,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",VOX
2,56,9,6,6,8,4,4,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",UP
1,29,9,5,9,4,4,18,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",Abstención
2,71,13,2,10,6,6,1,Más de 10.000,Alta / Media Alta,Pensionista,"Segundo grado, primer ciclo y menos",PSOE
2,50,1,4,10,1,1,1,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PSOE
2,27,16,7,10,4,4,4,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",UP
2,68,16,3,10,4,10,4,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",UP
2,18,4,4,5,18,15,18,Más de 10.000,Media baja / Baja,Estudiante,"Segundo grado, segundo ciclo",Abstención
2,28,10,6,9,6,6,6,Menos de 10.000,Media,Parado,"Tercer grado, segundo ciclo y más",MP
1,80,10,4,10,12,12,12,Menos de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",Otros
1,70,12,6,10,18,5,2,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, segundo ciclo y más",PP
1,56,10,4,10,1,6,1,Menos de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",PSOE
2,73,1,4,10,5,5,2,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PP
1,66,13,3,10,19,1,1,Más de 10.000,Media,Pensionista,"Segundo grado, primer ciclo y menos",PSOE
2,63,10,5,10,6,6,6,Más de 10.000,Media baja / Baja,Pensionista,"Tercer grado, primer ciclo",MP
2,27,6,4,10,2,2,2,Menos de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",PP
2,52,9,4,4,4,4,4,Menos de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",UP
1,71,8,6,4,18,2,1,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, segundo ciclo y más",PSOE
1,50,1,5,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PSOE
2,45,13,4,0,17,17,18,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,71,1,3,10,18,1,4,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",UP
2,65,3,4,10,2,2,2,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",PP
2,64,13,5,10,18,1,3,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",CS
2,40,9,4,7,5,5,18,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",Abstención
1,45,3,6,4,16,16,19,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, segundo ciclo y más",Abstención
1,23,13,7,10,14,14,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP
1,63,4,4,99,15,16,16,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Blanco
2,24,1,7,10,3,3,3,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",CS
2,41,9,7,10,2,5,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PP
2,68,9,3,10,7,7,7,Menos de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",ERC
2,65,5,4,10,5,5,2,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",PP
1,77,13,4,10,4,4,4,Más de 10.000,Alta / Media Alta,Pensionista,"Segundo grado, segundo ciclo",UP
2,61,13,5,10,6,6,6,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",MP
2,73,10,3,10,2,2,2,Menos de 10.000,Media,Parado,"Segundo grado, primer ciclo y menos",PP
1,64,1,1,4,15,15,18,Más de 10.000,Media,Pensionista,"Segundo grado, primer ciclo y menos",Abstención
1,39,9,6,8,19,16,20,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Abstención
2,53,10,3,99,18,16,19,Menos de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, primer ciclo y menos",Abstención
2,45,16,3,4,7,12,12,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, primer ciclo y menos",Otros
2,60,1,4,10,18,15,1,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",PSOE
2,39,17,4,6,18,17,20,Menos de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,76,10,4,9,5,3,1,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",PSOE
2,50,10,4,0,16,3,18,Menos de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,25,9,6,9,4,7,7,Más de 10.000,Alta / Media Alta,Parado,"Tercer grado, segundo ciclo y más",ERC
1,80,1,4,10,2,2,2,Más de 10.000,Alta / Media Alta,Pensionista,"Segundo grado, segundo ciclo",PP
2,45,16,4,6,18,16,9,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",PNV
2,50,13,6,10,12,3,10,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",BILDU
2,53,16,4,10,9,9,9,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",PNV
1,44,13,4,10,6,6,4,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",UP
1,60,10,6,9,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PSOE
2,39,3,5,10,18,3,3,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",CS
1,51,13,8,10,4,4,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP
1,70,17,4,10,2,17,2,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",PP
1,73,1,3,10,5,5,5,Más de 10.000,Media,Pensionista,"Segundo grado, primer ciclo y menos",VOX
2,71,4,4,10,19,17,18,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",Abstención
2,65,13,6,1,12,3,3,Menos de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, segundo ciclo y más",CS
2,28,8,3,5,2,1,20,Más de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",Abstención
1,44,9,6,10,14,14,15,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Otros
2,71,13,7,99,19,17,20,Más de 10.000,Alta / Media Alta,Trabajo del hogar no remunerado,"Tercer grado, segundo ciclo y más",Abstención
1,72,1,3,10,16,15,17,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",Nulo
2,21,12,4,4,13,13,19,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",Abstención
2,39,9,4,99,18,16,18,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención
1,74,9,5,10,1,1,1,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, primer ciclo",PSOE
1,48,13,4,10,18,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",PSOE
2,48,6,4,8,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",PSOE
2,22,1,6,4,16,16,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP
2,52,9,4,9,7,7,7,Menos de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",ERC
1,62,9,6,10,4,4,4,Más de 10.000,Media,Pensionista,"Tercer grado, segundo ciclo y más",UP
2,47,16,7,8,9,14,9,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, segundo ciclo y más",PNV
1,50,5,5,9,18,3,1,Más de 10.000,Media,Parado,"Tercer grado, primer ciclo",PSOE
1,40,9,4,7,16,1,17,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Nulo
2,36,8,5,10,5,5,5,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",VOX
2,58,12,4,10,18,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",PSOE
1,43,1,5,10,18,17,20,Menos de 10.000,Alta / Media Alta,Parado,"Tercer grado, primer ciclo",Abstención
1,30,9,5,10,14,6,1,Más de 10.000,Alta / Media Alta,Parado,"Tercer grado, primer ciclo",PSOE
2,47,9,5,99,3,3,3,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",CS
2,67,10,5,3,1,15,1,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, primer ciclo",PSOE
2,22,1,5,9,18,16,1,Menos de 10.000,Media,Estudiante,"Tercer grado, primer ciclo",PSOE
2,57,1,4,10,1,1,1,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PSOE
1,56,10,5,10,6,6,6,Más de 10.000,Media,Pensionista,"Tercer grado, primer ciclo",MP
2,40,2,3,0,17,15,18,Más de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",Abstención
2,68,12,4,10,4,4,4,Más de 10.000,Media,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",UP
1,68,13,2,10,5,5,1,Menos de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",PSOE
2,18,13,4,9,2,2,18,Más de 10.000,Media,Estudiante,"Segundo grado, segundo ciclo",Abstención
2,72,5,6,10,5,2,3,Más de 10.000,Media baja / Baja,Pensionista,"Tercer grado, segundo ciclo y más",CS
2,48,10,5,9,16,15,18,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, primer ciclo",Abstención
1,49,9,7,10,7,4,7,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",ERC
2,32,3,6,7,1,6,4,Menos de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP
1,40,2,4,10,5,3,2,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",PP
1,47,7,3,10,2,5,2,Menos de 10.000,Media baja / Baja,Parado,"Segundo grado, primer ciclo y menos",PP
2,54,9,3,10,18,15,1,Menos de 10.000,Alta / Media Alta,Parado,"Segundo grado, primer ciclo y menos",PSOE
1,65,2,5,10,2,2,2,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, primer ciclo",PP
2,26,9,4,5,18,16,18,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención
1,62,10,4,0,2,2,2,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",PP
1,75,13,3,10,2,3,3,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",CS
1,58,9,5,6,16,17,17,Menos de 10.000,Media baja / Baja,Trabaja,"Tercer grado, primer ciclo",Nulo
2,55,10,5,10,1,12,4,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, primer ciclo",UP
2,31,9,4,5,2,2,18,Menos de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,46,13,6,10,2,2,2,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",PP
