"winery","wine","year","rating","num_reviews","country","region","price","type","body","acidity"
"Teso La Monja","Tinto","2009",4.8,50,"Espana","Toro",950,"Toro Red",5,3
"Alvaro Palacios","L'Ermita Velles Vinyes Priorat","2008",4.8,40,"Espana","Priorato",1021.21,"Priorat Red",4,3
"Sierra Cantabria","Magico","2016",4.8,40,"Espana","Rioja",544.5,"Rioja Red",4,3
"Teso La Monja","Tinto","2011",4.8,32,"Espana","Toro",1295,"Toro Red",5,3
"Alvaro Palacios","L'Ermita Velles Vinyes Priorat","2017",4.8,31,"Espana","Priorato",992.2,"Priorat Red",4,3
"Teso La Monja","Tinto","2015",4.8,28,"Espana","Toro",1289.44,"Toro Red",5,3
"Descendientes de J. Palacios","La Faraona Bierzo (Corullon)","2017",4.8,26,"Espana","Bierzo",1098.9,"Red",4,3
"La Rioja Alta","Gran Reserva 890","1985",4.8,26,"Espana","Rioja",215.34,"Rioja Red",4,3
"Alvaro Palacios","L'Ermita Velles Vinyes Priorat","2018",4.8,26,"Espana","Priorato",1094.9,"Priorat Red",4,3
"Vega Sicilia","Unico Reserva Especial Edicion","",4.7,12421,"Espana","Ribera del Duero",423.5,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2010",4.7,5266,"Espana","Ribera del Duero",239.5,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2014",4.7,4350,"Espana","Ribera del Duero",175.5,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2006",4.7,3929,"Espana","Ribera del Duero",194,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","2005",4.7,3437,"Espana","Ribera del Duero",381.15,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","2004",4.7,3164,"Espana","Ribera del Duero",584.43,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","2000",4.7,3127,"Espana","Ribera del Duero",555.2,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","2007",4.7,2935,"Espana","Ribera del Duero",445.28,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2015",4.7,2826,"Espana","Ribera del Duero",189,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","2006",4.7,2765,"Espana","Ribera del Duero",362.25,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","2008",4.7,2480,"Espana","Ribera del Duero",289,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","2003",4.7,2419,"Espana","Ribera del Duero",325,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2016",4.7,2177,"Espana","Ribera del Duero",107.57,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2005",4.7,1892,"Espana","Ribera del Duero",234,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","2002",4.7,1199,"Espana","Ribera del Duero",500.94,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1991",4.7,1141,"Espana","Ribera del Duero",698.9,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1994",4.7,940,"Espana","Ribera del Duero",872.47,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico Reserva Especial Edicion","2000",4.7,935,"Espana","Ribera del Duero",877.85,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1990",4.7,690,"Espana","Ribera del Duero",827.94,"Ribera Del Duero Red",5,3
"Pago de Carraovejas","Cuesta de Las Liebres","2014",4.7,685,"Espana","Ribera del Duero",113.18,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1989",4.7,675,"Espana","Ribera del Duero",679.72,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1987",4.7,593,"Espana","Ribera del Duero",787.59,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico Reserva Especial Edicion","2017",4.7,560,"Espana","Ribera del Duero",480.06,"Ribera Del Duero Red",5,3
"Pago de Carraovejas","El Anejon","2015",4.7,543,"Espana","Ribera del Duero",75.1,"Ribera Del Duero Red",5,3
"Bodegas El Nido","El Nido","2014",4.7,511,"Espana","Jumilla",154.9,"Red",4,3
"Bodegas El Nido","El Nido","2013",4.7,476,"Espana","Jumilla",145,"Red",4,3
"Vega Sicilia","Unico Reserva Especial Edicion","1996",4.7,442,"Espana","Ribera del Duero",290,"Ribera Del Duero Red",5,3
"Marques de Murrieta","Castillo Ygay Gran Reserva Especial Blanco","1986",4.7,425,"Espana","Rioja",795,"Rioja White",3,3
"Bodegas El Nido","El Nido","2016",4.7,393,"Espana","Jumilla",371.78009750522,"Red",4,3
"Bodegas El Nido","El Nido","2008",4.7,347,"Espana","Jumilla",134.19,"Red",4,3
"Vinedos de Paganos","La Nieta","2015",4.7,312,"Espana","Rioja",82.58,"Rioja Red",4,3
"Vega Sicilia","Unico","1981",4.7,308,"Espana","Ribera del Duero",873.86,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico Reserva Especial Edicion","2007",4.7,303,"Espana","Ribera del Duero",774.4,"Ribera Del Duero Red",5,3
"Emilio Moro","Malleolus de Valderramiro","2016",4.7,300,"Espana","Ribera del Duero",84.95,"Ribera Del Duero Red",5,3
"Dominio de Pingus","Pingus","2001",4.7,295,"Espana","Ribera del Duero",940,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1986",4.7,292,"Espana","Ribera del Duero",812.63,"Ribera Del Duero Red",5,3
"Emilio Moro","Malleolus de Sanchomartin","2016",4.7,291,"Espana","Ribera del Duero",116.54,"Ribera Del Duero Red",5,3
"Dominio de Pingus","Pingus","2004",4.7,285,"Espana","Ribera del Duero",1500,"Ribera Del Duero Red",5,3
"Dominio de Pingus","Pingus","2006",4.7,280,"Espana","Ribera del Duero",1190,"Ribera Del Duero Red",5,3
"Bodegas El Nido","El Nido","2017",4.7,268,"Espana","Jumilla",154.85,"Red",4,3
"Teso La Monja","Alabaster","2016",4.7,264,"Espana","Toro",135,"Toro Red",5,3
"Quinta de la Quietud","La Mula de la Quietud","2015",4.7,256,"Espana","Toro",63.75,"Toro Red",5,3
"Vega Sicilia","Unico","1985",4.7,254,"Espana","Ribera del Duero",827.94,"Ribera Del Duero Red",5,3
"Bodegas Mauro","Terreus Paraje de Cueva Baja","2017",4.7,251,"Espana","Castilla y Leon",66.07,"Tempranillo",4,2
"Bodega Contador (Benjamin Romeo)","Contador Rioja","2012",4.7,243,"Espana","Rioja",213.9,"Rioja Red",4,3
"Remirez de Ganuza","Maria Remirez de Ganuza","2006",4.7,240,"Espana","Rioja",234.9,"Rioja Red",4,3
"Vega Sicilia","Unico","1968",4.7,225,"Espana","Ribera del Duero",2087.25,"Ribera Del Duero Red",5,3
"Vinedos de Paganos","La Nieta","2018",4.7,220,"Espana","Rioja",89.9,"Rioja Red",4,3
"Vega Sicilia","Unico","1964",4.7,214,"Espana","Ribera del Duero",1384.54,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1982",4.7,205,"Espana","Ribera del Duero",820.98,"Ribera Del Duero Red",5,3
"Dominio de Pingus","Pingus","2015",4.7,203,"Espana","Ribera del Duero",1250,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico Reserva Especial Edicion","1995",4.7,196,"Espana","Ribera del Duero",1500,"Ribera Del Duero Red",5,3
"Dominio de Pingus","Pingus","1999",4.7,184,"Espana","Ribera del Duero",1715.18,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1974",4.7,173,"Espana","Ribera del Duero",932.3,"Ribera Del Duero Red",5,3
"Alvaro Palacios","L'Ermita Velles Vinyes Priorat","1998",4.7,171,"Espana","Priorato",1372.14,"Priorat Red",4,3
"Bodegas San Roman","Cartago Paraje de Pozo","2015",4.7,137,"Espana","Toro",78.9,"Toro Red",5,3
"Vega Sicilia","Unico Reserva Especial Edicion","2012",4.7,136,"Espana","Ribera del Duero",660.96,"Ribera Del Duero Red",5,3
"Pago de Los Capellanes","Parcela El Picon Tinto","2009",4.7,134,"Espana","Ribera del Duero",154,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2017",4.7,133,"Espana","Ribera del Duero",134.89,"Ribera Del Duero Red",5,3
"Alvaro Palacios","L'Ermita Velles Vinyes Priorat","2000",4.7,132,"Espana","Priorato",1422.96,"Priorat Red",4,3
"Bodega Numanthia","Termanthia","2005",4.7,131,"Espana","Toro",207.11,"Toro Red",5,3
"Vega Sicilia","Unico Reserva Especial Edicion","2011",4.7,131,"Espana","Ribera del Duero",340.49,"Ribera Del Duero Red",5,3
"Emilio Moro","Clon De La Familia","2010",4.7,127,"Espana","Ribera del Duero",317.63,"Ribera Del Duero Red",5,3
"Alto Moncayo","Aquilon Garnacha","2011",4.7,123,"Espana","Campo de Borja",108.9,"Grenache",5,3
"Vega Sicilia","Unico","1983",4.7,118,"Espana","Ribera del Duero",700,"Ribera Del Duero Red",5,3
"Toro Albala","Don PX Convento Seleccion","1955",4.7,117,"Espana","Montilla-Moriles",185,"Pedro Ximenez",5,1
"Vega Sicilia","Unico","1980",4.7,116,"Espana","Ribera del Duero",911.43,"Ribera Del Duero Red",5,3
"Bodega Contador (Benjamin Romeo)","Contador Rioja","2005",4.7,112,"Espana","Rioja",1150,"Rioja Red",4,3
"Vega Sicilia","Unico","1972",4.7,110,"Espana","Ribera del Duero",698.95,"Ribera Del Duero Red",5,3
"Bodega Numanthia","Termanthia","2004",4.7,108,"Espana","Toro",2814.16,"Toro Red",5,3
"Teso La Monja","Tinto","2010",4.7,102,"Espana","Toro",1325,"Toro Red",5,3
"Alvaro Palacios","Quinon de Valmira","2015",4.7,102,"Espana","Rioja",527.26,"Rioja Red",4,3
"Vega Sicilia","Unico Reserva Especial Edicion","1987",4.7,100,"Espana","Ribera del Duero",1071.45,"Ribera Del Duero Red",5,3
"Mas Doix","1902 Centenary Carignan Priorat","2015",4.7,94,"Espana","Priorato",299,"Priorat Red",4,3
"Finca Moncloa","Tintilla de Rota","2016",4.7,92,"Espana","Cadiz",43.13,NA,NA,NA
"Vega Sicilia","Unico","1953",4.7,89,"Espana","Ribera del Duero",1207.6,"Ribera Del Duero Red",5,3
"Bodegas Roda","Cirsion Rioja","2000",4.7,87,"Espana","Rioja",175,"Rioja Red",4,3
"Alvaro Palacios","L'Ermita Velles Vinyes Priorat","2015",4.7,82,"Espana","Priorato",1252.35,"Priorat Red",4,3
"Bodegas El Nido","El Nido","2019",4.7,80,"Espana","Jumilla",145.9,"Red",4,3
"Mas Doix","1902 Centenary Carignan Priorat","2013",4.7,74,"Espana","Priorato",447.95,"Priorat Red",4,3
"Vega Sicilia","Unico Reserva Especial Edicion","2006",4.7,72,"Espana","Ribera del Duero",813.96,"Ribera Del Duero Red",5,3
"Alvaro Palacios","L'Ermita Velles Vinyes Priorat","2005",4.7,67,"Espana","Priorato",1410.26,"Priorat Red",4,3
"Martinet","Cami Pesseroles","2006",4.7,65,"Espana","Priorato",182.9,"Priorat Red",4,3
"Recaredo","Turo d'en Mota","2007",4.7,64,"Espana","Cava",99,"Cava",2,3
"Vega Sicilia","Unico Reserva Especial Edicion","1986",4.7,63,"Espana","Ribera del Duero",1113.2,"Ribera Del Duero Red",5,3
"Clos Erasmus","Priorat","2007",4.7,60,"Espana","Priorato",654.31,"Priorat Red",4,3
"Pago de Los Capellanes","Parcela El Picon Tinto","2016",4.7,59,"Espana","Ribera del Duero",134.26,"Ribera Del Duero Red",5,3
"Barbadillo","Reliquia Palo Cortado Sherry","N.V.",4.7,58,"Espana","Jerez Palo Cortado",380,"Sherry",4,3
"La Rioja Alta","Gran Reserva 890","1982",4.7,57,"Espana","Rioja",292.09,"Rioja Red",4,3
"Gonzalez-Byass","Anada Palo Cortado 1987","1987",4.7,53,"Espana","Jerez Palo Cortado",400.85,"Sherry",4,3
"Clos Erasmus","Daphne Glorian Red","2007",4.7,51,"Espana","Priorato",202.01,"Red",4,3
"Toro Albala","Don PX Pedro Ximenez","1955",4.7,50,"Espana","Montilla-Moriles",250,"Pedro Ximenez",5,1
"Vinedos de Paganos","La Nieta","2019",4.7,49,"Espana","Rioja",88.9,"Rioja Red",4,3
"Bodegas Amaren","El Regollar","2016",4.7,49,"Espana","Rioja",77.9,"Rioja Red",4,3
"Toro Albala","Don PX Convento Seleccion","1958",4.7,47,"Espana","Montilla-Moriles",191.61,"Pedro Ximenez",5,1
"Teso La Monja","Alabaster","2018",4.7,45,"Espana","Toro",123.89,"Toro Red",5,3
"Alvear","Abuelo Diego Palo Cortado","N.V.",4.7,42,"Espana","Montilla-Moriles",114.28,"Pedro Ximenez",5,1
"Equipo Navazos","La Bota 78 de Oloroso","N.V.",4.7,41,"Espana","Manzanilla",95.57,"Sherry",4,3
"Morca","Touran","2018",4.7,41,"Espana","Campo de Borja",93.95,"Grenache",5,3
"Territorio Luthier","Luthier Gran Reserva","2012",4.7,40,"Espana","Ribera del Duero",248,"Ribera Del Duero Red",5,3
"Artadi","Vina El Pison","1995",4.7,39,"Espana","Vino de Espana",397,"Tempranillo",4,2
"Rafael Palacios","Sorte O Soro Val do Bibei","2019",4.7,37,"Espana","Valdeorras",194.86,NA,NA,NA
"Recaredo","Reserva Particular de Recaredo Brut Nature","2011",4.7,35,"Espana","Cava",65.05,"Cava",2,3
"Bodegas Mauro","Terreus Paraje de Cueva Baja","2019",4.7,33,"Espana","Castilla y Leon",86.9,"Tempranillo",4,2
"Vina Sastre","Pesus Ribera del Duero","2004",4.7,32,"Espana","Ribera del Duero",472.5,"Ribera Del Duero Red",5,3
"Terra Remota","Usted","2010",4.7,31,"Espana","Emporda",379,"Red",4,3
"Dehesa de Los Canonigos","Gran Reserva","2001",4.7,31,"Espana","Ribera del Duero",185.15,"Ribera Del Duero Red",5,3
"Vina Sastre","Regina Vides Ribera del Duero","1998",4.7,30,"Espana","Ribera del Duero",94.2,"Ribera Del Duero Red",5,3
"Miguel Merino","La Loma","2018",4.7,29,"Espana","Rioja Alta",46,"Rioja Red",4,3
"Alvaro Palacios","L'Ermita Velles Vinyes Priorat","2016",4.7,28,"Espana","Priorato",919.6,"Priorat Red",4,3
"Gutierrez de la Vega","Recondita Armonia Monastrell Dulce","1987",4.7,27,"Espana","Alicante",81.9,NA,NA,NA
"Marques de Murrieta","Castillo Ygay Gran Reserva Especial Tinto","1942",4.7,27,"Espana","Rioja",680,"Rioja Red",4,3
"Vega Sicilia","Valbuena 5o","2011",4.6,6803,"Espana","Ribera del Duero",218,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2012",4.6,5938,"Espana","Ribera del Duero",177,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2008",4.6,5545,"Espana","Ribera del Duero",187.3,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2007",4.6,5116,"Espana","Ribera del Duero",195.59,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2013",4.6,4747,"Espana","Ribera del Duero",135,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2009",4.6,4685,"Espana","Ribera del Duero",225.2,"Ribera Del Duero Red",5,3
"Alion","Ribera del Duero","2016",4.6,4516,"Espana","Ribera del Duero",79.8,"Ribera Del Duero Red",5,3
"Aalto","PS (Pagos Seleccionados) Ribera del Duero","2017",4.6,3383,"Espana","Ribera del Duero",116.187943627787,"Ribera Del Duero Red",5,3
"Aalto","PS (Pagos Seleccionados) Ribera del Duero","2018",4.6,3239,"Espana","Ribera del Duero",89.3,"Ribera Del Duero Red",5,3
"Marques de Murrieta","Castillo Ygay Gran Reserva Especial Tinto","2010",4.6,2416,"Espana","Rioja",438.9,"Rioja Red",4,3
"Alion","Ribera del Duero","2017",4.6,2208,"Espana","Ribera del Duero",79.9,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2004",4.6,1608,"Espana","Ribera del Duero",249,"Ribera Del Duero Red",5,3
"Dominio de Pingus","Flor de Pingus","2018",4.6,1363,"Espana","Ribera del Duero",129.95,"Ribera Del Duero Red",5,3
"Aalto","PS (Pagos Seleccionados) Ribera del Duero","2019",4.6,1108,"Espana","Ribera del Duero",76.95,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2000",4.6,1015,"Espana","Ribera del Duero",252,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","2002",4.6,936,"Espana","Ribera del Duero",232,"Ribera Del Duero Red",5,3
"Bodega Numanthia","Termanthia","2012",4.6,840,"Espana","Toro",214,"Toro Red",5,3
"Bodega Numanthia","Termanthia","2011",4.6,790,"Espana","Toro",205,"Toro Red",5,3
"Carmelo Rodero","Pago De Valtarrena","2015",4.6,700,"Espana","Ribera del Duero",49.95,"Ribera Del Duero Red",5,3
"Emilio Moro","Malleolus de Sanchomartin","2011",4.6,693,"Espana","Ribera del Duero",125,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","1999",4.6,595,"Espana","Ribera del Duero",276.8,"Ribera Del Duero Red",5,3
"Emilio Moro","Malleolus de Valderramiro","2015",4.6,516,"Espana","Ribera del Duero",75,"Ribera Del Duero Red",5,3
"Dominio de Pingus","Pingus","2010",4.6,410,"Espana","Ribera del Duero",1359.75,"Ribera Del Duero Red",5,3
"Pago de Carraovejas","Cuesta de Las Liebres","2010",4.6,405,"Espana","Ribera del Duero",81.5,"Ribera Del Duero Red",5,3
"Dominio de Pingus","Pingus","2012",4.6,400,"Espana","Ribera del Duero",890,"Ribera Del Duero Red",5,3
"Dominio del Bendito","El Titan del Bendito","2015",4.6,388,"Espana","Toro",43.5,"Toro Red",5,3
"Emilio Moro","Malleolus de Sanchomartin","2015",4.6,369,"Espana","Ribera del Duero",99,"Ribera Del Duero Red",5,3
"Dominio de Pingus","Pingus","2013",4.6,323,"Espana","Ribera del Duero",1198.72,"Ribera Del Duero Red",5,3
"Bodegas Mauro","Terreus Paraje de Cueva Baja","2015",4.6,313,"Espana","Castilla y Leon",94.95,"Tempranillo",4,2
"Bodegas Mauro","Terreus Paraje de Cueva Baja","2016",4.6,304,"Espana","Castilla y Leon",89,"Tempranillo",4,2
"Dominio de Pingus","Pingus","2005",4.6,293,"Espana","Ribera del Duero",1785.96,"Ribera Del Duero Red",5,3
"Vinedos de Paganos","La Nieta","2017",4.6,286,"Espana","Rioja",108.21,"Rioja Red",4,3
"Artadi","Vina El Pison","2006",4.6,274,"Espana","Vino de Espana",391.5,"Tempranillo",4,2
"Dominio de Pingus","Pingus","1998",4.6,244,"Espana","Ribera del Duero",1350,"Ribera Del Duero Red",5,3
"Bodegas Roda","Cirsion Rioja","2007",4.6,242,"Espana","Rioja",145,"Rioja Red",4,3
"Bodegas Roda","Cirsion Rioja","2012",4.6,231,"Espana","Rioja",173.38,"Rioja Red",4,3
"Bodega Contador (Benjamin Romeo)","Contador Rioja","2011",4.6,225,"Espana","Rioja",220,"Rioja Red",4,3
"Marques de Murrieta","Dalmau Rioja","2017",4.6,222,"Espana","Rioja",85.7,"Rioja Red",4,3
"Vega Sicilia","Unico","1965",4.6,218,"Espana","Ribera del Duero",2884.04,"Ribera Del Duero Red",5,3
"Sierra Cantabria","Finca el Bosque","2015",4.6,214,"Espana","Rioja",79.9,"Rioja Red",4,3
"Vina Sastre","Pago de Santa Cruz","2018",4.6,211,"Espana","Ribera del Duero",68.7,"Ribera Del Duero Red",5,3
"Dominio de Pingus","Pingus","2003",4.6,205,"Espana","Ribera del Duero",1638.95,"Ribera Del Duero Red",5,3
"Mas d'en Gil","Clos Fonta Priorat","2004",4.6,202,"Espana","Priorato",150,"Priorat Red",4,3
"Carmelo Rodero","Pago De Valtarrena","2016",4.6,200,"Espana","Ribera del Duero",48.95,"Ribera Del Duero Red",5,3
"Pago de Los Capellanes","Parcela El Picon Tinto","2014",4.6,197,"Espana","Ribera del Duero",109.41,"Ribera Del Duero Red",5,3
"Emilio Moro","Malleolus de Sanchomartin","2014",4.6,186,"Espana","Ribera del Duero",119,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","1992",4.6,176,"Espana","Ribera del Duero",195,"Ribera Del Duero Red",5,3
"Dominio de Pingus","Pingus","2014",4.6,172,"Espana","Ribera del Duero",1595,"Ribera Del Duero Red",5,3
"Artadi","Vina El Pison","2010",4.6,169,"Espana","Vino de Espana",519.55,"Tempranillo",4,2
"Pago de Los Capellanes","Parcela El Picon Tinto","2012",4.6,165,"Espana","Ribera del Duero",89,"Ribera Del Duero Red",5,3
"Artadi","Vina El Pison","2011",4.6,165,"Espana","Vino de Espana",511.9,"Tempranillo",4,2
"Alvaro Palacios","L'Ermita Velles Vinyes Priorat","1999",4.6,164,"Espana","Priorato",980,"Priorat Red",4,3
"Casa Castillo","Cuvee N Vinas Viejas","2015",4.6,160,"Espana","Jumilla",73,"Red",4,3
"Artadi","Vina El Pison","2012",4.6,159,"Espana","Vino de Espana",280,"Tempranillo",4,2
"Vega Sicilia","Unico","1973",4.6,157,"Espana","Ribera del Duero",932.3,"Ribera Del Duero Red",5,3
"Bodega Contador (Benjamin Romeo)","Contador Rioja","2014",4.6,157,"Espana","Rioja",251.99,"Rioja Red",4,3
"Bodegas San Roman","Cartago Paraje de Pozo","2014",4.6,153,"Espana","Toro",61.69,"Toro Red",5,3
"Alvaro Palacios","L'Ermita Velles Vinyes Priorat","1996",4.6,150,"Espana","Priorato",1372.14,"Priorat Red",4,3
"Bodega Numanthia","Termanthia","2014",4.6,147,"Espana","Toro",210.5,"Toro Red",5,3
"Vega Sicilia","Valbuena 5o","1985",4.6,146,"Espana","Ribera del Duero",285,"Ribera Del Duero Red",5,3
"Matarromera","Ribera del Duero Prestigio Pago de las Solanas","2001",4.6,145,"Espana","Ribera del Duero",245.75,"Ribera Del Duero Red",5,3
"Vega Sicilia","Valbuena 5o","1989",4.6,143,"Espana","Ribera del Duero",228.57,"Ribera Del Duero Red",5,3
"Bodega Contador (Benjamin Romeo)","Contador Rioja","2015",4.6,143,"Espana","Rioja",319.9,"Rioja Red",4,3
"Artadi","Vina El Pison","2005",4.6,142,"Espana","Vino de Espana",325,"Tempranillo",4,2
"Nin-Ortiz","Nit de Nin Mas d'en Cacador","2011",4.6,139,"Espana","Priorato",345,"Priorat Red",4,3
"Bodegas Mauro","VS","2018",4.6,136,"Espana","Castilla y Leon",58.9,"Tempranillo",4,2
"Remirez de Ganuza","Maria Remirez de Ganuza","2005",4.6,136,"Espana","Rioja",159,"Rioja Red",4,3
"Vinas del Vero","Blecua Somontano","2013",4.6,135,"Espana","Somontano",69.9,"Red",4,3
"Vega Sicilia","Unico Reserva Especial Edicion","1989",4.6,133,"Espana","Ribera del Duero",895.4,"Ribera Del Duero Red",5,3
"Teso La Monja","Alabaster","2017",4.6,131,"Espana","Toro",147.85,"Toro Red",5,3
"Bodegas Mauro","Terreus Paraje de Cueva Baja","2018",4.6,128,"Espana","Castilla y Leon",88.05,"Tempranillo",4,2
"Alvaro Palacios","L'Ermita Velles Vinyes Priorat","1997",4.6,127,"Espana","Priorato",1080,"Priorat Red",4,3
"Marques de Riscal","Frank Gehry Selection","2001",4.6,124,"Espana","Rioja",301,"Tempranillo",4,2
"Artadi","Vina El Pison","2014",4.6,124,"Espana","Vino de Espana",275,"Tempranillo",4,2
