id,sexo,edad,edad_r,hab,prov,ccaa,edu,cs,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_7,p1_8,p1_9,p1_10,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,p4_1,p4_2,p4_3,p4_4,p4_5,p4_6,p4_7,p4_8,p4_9,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p5_7,p5_8,p5_9,p5_10,p5_11,p5_12,p6,p7,p8,p9,hab_r,clase_social_r,situacion_laboral_r,educacion_r,recuerdo_r,ponde
15,1,59,5,6,28,13,6,6,5,5,5,5,4,4,5,5,5,5,5,5,3,3,3,3,3,3,4,3,2,4,4,3,3,3,4,3,4,4,4,4,4,4,1,4,4,4,4,4,10,4,4,4,Más de 10.000,Media baja / Baja,Pensionista,"Tercer grado, segundo ciclo y más",UP,0.6618229519668376
16,2,49,4,5,28,13,4,5,3,1,4,4,2,2,1,1,1,2,5,4,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,5,2,16,2,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",PP,0.6903985502280361
17,2,55,5,1,23,1,4,1,4,4,5,4,3,4,3,1,2,2,3,3,1,1,1,2,2,2,2,5,5,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,0,17,16,18,Menos de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",Abstención,1.1533719441000525
18,2,48,4,5,35,5,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,7,19,17,20,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",Abstención,0.64271177497315235
19,2,48,4,5,18,1,4,3,2,3,1,2,2,2,2,2,1,1,2,3,2,3,2,2,1,2,2,2,2,2,2,1,1,1,2,2,3,3,3,2,2,2,3,2,3,2,3,3,8,17,16,18,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención,0.7886429079666772
20,2,52,4,5,8,9,4,6,4,4,6,1,1,2,1,1,1,2,4,4,4,1,2,3,2,2,2,2,1,2,3,3,1,2,2,3,3,2,3,3,2,3,3,2,2,2,2,2,10,5,2,2,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PP,0.70386352192582
21,1,44,3,5,41,1,4,3,4,3,3,5,4,4,3,1,2,3,2,2,2,2,1,1,1,1,1,5,3,1,1,1,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,9,12,12,12,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Otros,0.8509808655452447
22,1,38,3,5,11,1,5,5,5,3,5,5,6,5,2,2,6,3,1,1,1,2,2,2,2,2,5,2,2,3,4,3,1,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, primer ciclo",UP,0.8492959850646058
23,1,36,3,1,6,11,5,5,5,5,4,4,2,4,4,2,5,4,5,4,4,2,3,2,5,3,3,5,2,3,3,3,2,5,3,2,6,6,6,6,1,1,2,1,6,6,6,6,8,18,15,1,Menos de 10.000,Media baja / Baja,Trabaja,"Tercer grado, primer ciclo",PSOE,0.9994722180752948
24,1,46,4,3,46,10,4,6,3,3,3,3,3,6,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,6,2,5,6,6,6,2,6,5,2,6,2,99,17,17,18,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",Abstención,0.7818021900025395
25,2,25,2,6,28,13,6,3,3,3,4,3,3,4,3,1,2,3,2,3,2,2,2,1,1,1,1,2,4,2,2,2,2,2,2,2,2,2,5,2,5,5,5,2,3,5,5,5,5,2,2,18,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Abstención,0.9248855180220272
26,1,56,5,4,3,10,3,7,5,5,2,3,1,2,1,1,1,1,1,1,3,2,1,1,1,1,1,3,3,1,1,2,1,2,2,1,6,3,6,3,3,5,6,3,3,3,6,3,10,14,5,5,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",VOX,1.1405728519715705
27,2,23,1,6,28,13,5,2,5,5,5,5,5,5,5,5,5,4,5,5,5,3,3,4,4,4,4,3,4,4,2,3,3,2,2,4,5,5,1,1,2,1,4,3,1,1,5,4,6,9,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PSOE,0.8812228927912451
28,2,36,3,1,41,1,4,3,3,5,1,5,3,3,4,2,2,2,5,4,3,4,2,3,2,2,3,2,4,2,3,2,1,2,1,3,1,2,2,2,4,4,4,4,1,4,3,5,1,12,12,12,Menos de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",Otros,1.27226300145298
29,1,37,3,4,45,8,4,1,5,6,2,4,5,3,4,3,4,4,3,5,3,2,2,4,2,2,2,3,2,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,8,4,1,4,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",UP,0.9301964051228813
30,1,64,5,5,15,12,4,4,3,1,4,1,1,2,1,1,2,1,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,6,2,6,2,2,2,2,0,17,3,18,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Abstención,0.6217090760315321
31,1,35,3,6,50,2,8,4,5,5,5,5,5,5,5,4,5,5,5,5,2,3,4,3,4,3,4,1,1,3,3,3,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,10,1,4,6,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",MP,0.6681750411190203
32,1,34,2,5,28,13,5,1,3,3,4,1,3,1,3,1,1,2,3,3,2,1,1,2,2,1,2,2,2,2,1,2,2,3,2,2,1,1,4,1,2,3,3,1,3,1,2,1,7,15,8,12,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",Otros,0.930074185735728
33,2,52,4,6,28,13,4,5,5,5,5,5,6,5,5,1,5,5,4,3,2,2,2,3,3,3,5,5,5,2,2,2,2,5,2,2,6,1,1,4,4,6,6,4,6,4,6,4,10,18,1,1,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",PSOE,0.6710242945415089
34,2,47,4,3,13,8,8,5,3,3,5,5,6,6,6,1,6,1,3,3,3,1,2,2,2,2,2,5,3,2,5,5,1,5,1,2,6,6,6,6,6,6,6,6,6,6,6,6,10,18,3,3,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, segundo ciclo y más",CS,0.8109811713479977
35,2,69,6,4,8,9,4,3,4,4,4,4,3,4,3,2,3,4,4,4,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,5,2,2,2,6,6,6,5,6,6,6,2,10,3,3,3,Más de 10.000,Alta / Media Alta,Pensionista,"Segundo grado, segundo ciclo",CS,1.6453321281590458
36,2,26,2,3,46,10,7,6,2,4,4,2,4,4,4,4,3,4,4,3,3,3,3,2,4,2,4,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,5,1,5,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, segundo ciclo y más",VOX,1.089487769321165
37,2,56,5,3,46,10,6,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,Más de 10.000,Alta / Media Alta,Parado,"Tercer grado, segundo ciclo y más",PSOE,0.7955762555642492
38,1,28,2,5,18,1,7,3,5,3,5,5,4,3,4,4,2,5,3,5,3,2,3,3,3,2,3,3,3,2,2,3,2,2,3,1,4,4,4,5,5,4,5,5,5,4,5,4,10,6,6,6,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",MP,1.0708606196303492
39,2,49,4,1,25,9,4,4,3,2,3,4,3,4,4,4,2,4,4,4,4,2,2,5,3,2,2,3,4,1,2,1,2,2,1,1,5,5,5,5,5,5,5,6,5,5,5,5,99,16,16,19,Menos de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Abstención,0.9182901906819138
40,1,36,3,4,49,7,4,4,4,4,3,4,4,3,2,3,3,2,3,3,3,2,2,5,5,5,3,3,3,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,10,6,1,1,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PSOE,0.8671769839362825
41,2,54,4,2,28,13,4,4,5,5,4,5,4,5,4,4,4,4,5,5,2,3,3,3,3,3,4,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,Más de 10.000,Media,Parado,"Segundo grado, segundo ciclo",PSOE,0.7288152695813604
42,2,54,4,2,29,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,3,2,2,2,2,3,2,2,6,2,2,2,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PP,0.8308780204203361
43,2,59,5,5,48,16,5,4,1,1,2,6,3,6,1,6,2,1,4,2,6,2,2,5,1,1,1,4,5,2,4,3,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,6,16,18,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",Abstención,0.7855868856294546
44,1,68,6,5,15,12,8,4,4,4,4,3,2,2,2,1,3,3,2,3,2,2,3,3,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,6,3,6,3,3,6,6,2,10,5,5,5,Más de 10.000,Media,Pensionista,"Tercer grado, segundo ciclo y más",VOX,1.204473783830792
45,1,46,4,6,28,13,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,4,3,3,3,3,3,2,3,2,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",UP,0.6636857648634149
46,1,62,5,5,4,1,5,4,3,5,5,5,4,3,1,1,2,1,1,4,1,1,2,2,2,1,2,3,3,2,3,3,2,1,2,1,6,5,6,5,5,5,6,4,3,5,5,5,2,18,3,18,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",Abstención,0.6862685679198747
47,1,42,3,5,28,13,4,2,3,3,3,3,3,4,3,4,4,4,3,4,4,2,3,3,2,2,3,3,2,3,3,2,4,2,3,3,5,5,6,6,6,5,6,5,6,5,6,6,5,18,17,20,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención,0.6649720020098013
48,1,49,4,6,41,1,5,2,5,5,5,5,5,5,5,3,5,5,5,4,2,3,3,4,4,3,4,1,1,4,4,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1,8,6,6,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",UP,0.6740400200067239
49,1,51,4,3,8,9,6,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,1,4,1,4,4,1,1,4,1,4,1,4,10,7,7,7,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",ERC,0.6886047828237294
50,1,50,4,3,46,10,7,2,3,4,4,1,3,4,1,1,3,3,2,4,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,5,2,2,2,2,2,2,10,2,2,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PP,0.6990123146051578
51,1,32,2,4,36,12,6,4,5,4,4,5,4,4,5,5,5,5,5,4,5,4,3,3,3,3,3,4,3,3,4,3,4,3,3,3,4,5,4,4,4,4,4,4,4,4,4,4,9,13,13,13,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",Otros,1.0264051825480758
52,2,51,4,5,11,1,4,5,4,2,4,4,2,3,2,1,6,3,3,3,4,2,3,3,5,5,5,5,2,2,5,1,5,5,2,5,6,6,6,6,6,6,6,6,6,6,6,6,10,1,1,1,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PSOE,0.7870814521271549
53,1,45,4,6,8,9,4,1,1,2,6,6,6,3,2,2,2,2,4,3,6,2,2,5,2,2,5,3,3,2,2,2,2,2,2,2,6,6,6,1,6,5,6,6,6,6,5,1,9,15,1,16,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Blanco,0.6710878686727824
54,2,47,4,2,18,1,4,5,5,4,3,3,5,5,4,2,3,4,5,4,3,2,3,3,3,2,3,3,4,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,1,5,5,5,6,18,2,18,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",Abstención,0.9414348447031144
55,1,59,5,4,8,9,7,1,4,1,4,3,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,5,5,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,10,18,17,3,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",CS,0.8300636940368765
56,1,46,4,6,8,9,6,1,5,5,4,5,5,4,5,5,4,4,4,5,5,3,3,4,3,3,3,3,5,3,3,3,3,4,4,3,1,1,1,4,4,4,1,4,4,1,1,1,10,7,4,15,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Otros,0.6710878686727824
57,1,44,3,5,8,9,4,2,5,4,4,5,5,5,5,1,5,5,4,1,4,2,1,2,1,2,2,2,4,2,3,1,2,1,2,1,6,6,6,6,6,6,6,6,6,6,6,6,10,3,3,1,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",PSOE,0.6790719555682444
58,2,34,2,5,15,12,8,1,5,5,5,3,5,6,5,5,5,4,3,5,6,2,2,3,4,4,3,4,4,4,3,2,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,6,13,4,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP,0.9731212649269385
59,1,52,4,5,21,1,3,6,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, primer ciclo y menos",UP,0.7756385131968444
60,1,46,4,6,28,13,4,4,1,1,1,4,2,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,4,1,3,1,1,1,1,2,5,3,3,3,3,5,3,5,3,3,3,3,10,5,5,5,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",VOX,0.5845864985085258
61,1,47,4,1,8,9,4,3,5,4,6,3,5,3,5,5,3,4,2,4,3,3,3,3,3,3,3,4,3,5,2,5,3,5,2,2,1,4,1,4,1,1,1,4,4,1,1,1,1,1,4,18,Menos de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención,1.0290991078434617
62,2,35,3,5,28,13,4,5,1,2,2,5,3,1,6,1,2,3,1,3,4,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,3,3,3,3,3,5,3,3,3,3,3,3,10,5,5,5,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",VOX,0.7547023963207989
63,2,58,5,6,28,13,6,4,5,5,5,5,4,5,5,4,5,4,5,5,1,3,3,3,3,3,3,3,2,3,2,3,2,1,2,2,5,1,5,1,4,4,1,1,1,1,5,1,10,1,6,1,Más de 10.000,Media,Parado,"Tercer grado, segundo ciclo y más",PSOE,0.5927193962571031
64,2,46,4,1,8,9,3,2,4,5,4,5,3,4,4,5,3,3,5,5,3,3,3,2,3,2,2,4,4,2,2,3,2,3,2,2,1,5,5,5,5,4,5,1,5,5,5,5,8,8,7,18,Menos de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, primer ciclo y menos",Abstención,0.9287461783652812
65,1,32,2,3,30,14,5,1,5,4,4,5,5,4,5,2,4,3,4,5,4,2,2,2,3,2,2,3,3,3,3,4,3,3,4,3,3,1,3,1,1,1,1,2,2,1,1,4,8,3,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PSOE,1.181833800278552
66,1,30,2,3,2,8,4,6,4,5,6,1,6,1,1,6,6,6,5,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,99,18,2,2,Más de 10.000,Media baja / Baja,Estudiante,"Segundo grado, segundo ciclo",PP,1.099358830956106
67,2,26,2,5,3,10,4,4,4,5,3,5,4,4,3,4,3,3,4,4,5,2,2,3,2,2,2,4,4,1,2,2,2,2,2,2,1,5,6,5,4,4,6,4,5,4,6,4,10,4,4,4,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",UP,0.8591045445498311
68,1,27,2,4,3,10,6,6,4,3,4,4,4,3,3,4,3,3,4,4,4,2,2,2,2,2,2,2,1,3,3,3,2,2,3,3,6,6,6,6,6,6,6,6,6,6,6,6,7,2,2,2,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, segundo ciclo y más",PP,1.1522460082031185
69,1,49,4,3,23,1,4,6,5,4,5,4,3,5,4,3,4,3,3,5,4,2,2,3,2,2,2,3,3,3,2,3,2,2,2,2,2,2,1,6,1,5,1,4,2,1,5,5,8,18,16,16,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",Blanco,0.869574023209223
70,2,44,3,3,3,10,3,4,5,5,5,5,5,5,4,4,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,2,3,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,Más de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",UP,0.7653851924954643
71,2,26,2,6,46,10,6,4,5,5,5,5,3,5,5,4,5,5,5,5,4,3,3,3,3,3,3,1,2,4,4,4,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,7,4,4,4,Más de 10.000,Media,Parado,"Tercer grado, segundo ciclo y más",UP,0.8349959900025067
72,2,25,2,5,30,14,4,5,5,5,5,5,6,5,6,6,6,4,5,5,4,2,2,5,5,2,5,3,5,5,5,5,3,5,5,3,4,6,6,6,6,6,4,6,6,4,6,6,6,4,4,4,Más de 10.000,Media baja / Baja,Estudiante,"Segundo grado, segundo ciclo",UP,1.0764168942896417
73,1,37,3,3,41,1,4,3,5,5,5,5,5,5,3,3,5,5,5,5,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,5,4,4,4,4,4,4,1,4,4,1,1,10,4,4,6,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",MP,0.9540408867480364
74,2,35,3,5,33,3,5,5,5,6,4,5,5,5,5,3,4,5,5,5,3,2,3,4,3,3,3,3,4,4,3,2,3,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, primer ciclo",PSOE,0.8917817718521822
75,1,67,6,3,29,1,5,4,4,4,4,3,4,4,4,2,4,4,3,5,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,Más de 10.000,Media,Pensionista,"Tercer grado, primer ciclo",PP,1.4905668031038684
76,1,54,4,3,8,9,3,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,10,5,5,5,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, primer ciclo y menos",VOX,0.7740842071242089
77,1,23,1,4,28,13,4,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,Más de 10.000,Alta / Media Alta,Estudiante,"Segundo grado, segundo ciclo",PP,1.0750222249980483
78,1,63,5,3,8,9,7,1,3,2,4,3,3,1,3,2,3,3,4,3,4,2,3,3,3,2,2,3,1,3,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP,0.7747330803168155
79,1,41,3,1,14,1,6,2,5,5,5,5,4,5,5,4,5,5,5,5,2,3,3,4,3,3,4,3,2,3,3,3,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,9,4,4,4,Menos de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP,1.118777709444641
80,2,56,5,6,8,9,4,4,3,4,3,5,4,5,5,5,3,3,5,4,5,3,3,2,3,2,2,3,4,2,2,2,2,2,2,2,1,1,4,4,4,1,4,4,5,5,5,5,10,8,7,8,Más de 10.000,Media,Parado,"Segundo grado, segundo ciclo",JXCAT,0.605287317816439
81,2,42,3,6,50,2,5,3,4,4,4,5,2,3,3,2,3,2,4,4,4,1,2,2,2,2,2,2,3,1,3,2,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PP,0.7684939209564444
82,2,32,2,5,26,17,5,4,1,1,3,5,2,4,3,5,1,1,2,4,1,2,3,1,1,1,1,4,4,1,1,1,1,1,1,1,4,4,4,4,4,5,4,4,4,5,4,4,10,4,4,4,Más de 10.000,Media,Parado,"Tercer grado, primer ciclo",UP,0.9706030659763747
83,2,57,5,3,38,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,4,3,3,3,3,2,2,2,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, primer ciclo",UP,0.8157488920557956
84,2,52,4,6,50,2,5,2,5,4,5,5,5,5,5,3,4,5,5,5,4,2,3,3,4,4,4,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PSOE,0.6262791461780378
85,2,42,3,3,47,7,5,1,4,3,3,4,4,5,2,1,3,4,3,2,3,2,2,2,2,2,2,1,2,2,2,3,1,2,2,3,5,2,6,5,5,6,6,5,3,6,6,2,10,18,16,5,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",VOX,0.9217285967345621
