year,month,day,hour,minute,second,laborday,saturday,sunday,holiday,CO,PM25,NOx,O3,windspeed,winddirection,temperature,humidity,pressure,rain,traffic
2019,8,3,7,0,0,0,0,1,0,0.4,15.0,117.0,11.19,0.52,263.0,21.9,46.0,945.0,0.0,517.0
2019,8,3,8,0,0,0,0,1,0,0.3,13.0,89.0,28.01,1.06,67.0,24.6,44.0,946.0,0.0,576.0
2019,8,3,9,0,0,0,0,1,0,0.2,12.0,54.0,55.25,1.28,73.0,26.2,40.0,946.0,0.0,641.0
2019,8,3,10,0,0,0,0,1,0,0.2,14.0,46.0,67.23,1.16,160.0,28.1,38.0,946.0,0.0,634.0
2019,8,3,11,0,0,0,0,1,0,0.2,16.0,38.0,85.18,1.24,73.0,29.1,35.0,946.0,0.0,693.0
2019,8,3,12,0,0,0,0,1,0,0.2,17.0,41.0,99.47,1.24,125.0,30.9,30.0,945.0,0.0,687.0
2019,8,3,13,0,0,0,0,1,0,0.2,12.0,77.0,103.8,1.33,171.0,32.8,24.0,945.0,0.0,700.0
2019,8,3,14,0,0,0,0,1,0,0.2,21.0,31.0,113.4,1.74,200.0,34.0,17.0,944.0,0.0,672.0
2019,8,3,15,0,0,0,0,1,0,0.2,12.0,32.0,104.0,2.03,192.0,35.1,13.0,944.0,0.0,576.0
2019,8,3,16,0,0,0,0,1,0,0.2,10.0,28.0,104.5,1.89,212.0,36.2,11.0,944.0,0.0,626.0
2019,8,3,17,0,0,0,0,1,0,0.2,20.0,26.0,103.7,1.95,225.0,36.6,11.0,943.0,0.0,680.0
2019,8,3,18,0,0,0,0,1,0,0.2,19.0,29.0,100.8,2.0,223.0,36.2,11.0,942.0,0.0,722.0
2019,8,3,19,0,0,0,0,1,0,0.2,26.0,47.0,96.07,1.54,224.0,35.5,12.0,942.0,0.0,805.0
2019,8,3,20,0,0,0,0,1,0,0.2,21.0,46.0,90.68,1.18,223.0,33.8,13.0,942.0,0.0,719.0
2019,8,3,21,0,0,0,0,1,0,0.3,16.0,167.0,37.1,0.66,254.0,31.9,15.0,942.0,0.0,691.0
2019,8,3,22,0,0,0,0,1,0,0.3,15.0,93.0,56.88,0.75,237.0,30.3,19.0,943.0,0.0,592.0
2019,8,3,23,0,0,0,0,1,0,0.3,28.0,31.0,84.7,0.96,237.0,29.7,20.0,943.0,0.0,419.0
2019,8,4,0,0,0,0,0,0,1,0.3,2.0,37.0,80.02,0.99,233.0,29.0,19.0,943.0,0.0,330.0
2019,8,4,1,0,0,0,0,0,1,0.2,6.0,32.0,78.5,0.72,245.0,28.0,20.0,943.0,0.0,229.0
2019,8,4,2,0,0,0,0,0,1,0.2,7.0,19.0,86.81,0.76,257.0,27.4,21.0,943.0,0.0,203.0
2019,8,4,3,0,0,0,0,0,1,0.2,7.0,14.0,96.48,0.75,225.0,27.3,25.0,943.0,0.0,141.0
2019,8,4,4,0,0,0,0,0,1,0.2,10.0,45.0,56.53,0.63,17.0,25.6,29.0,944.0,0.0,114.0
2019,8,4,5,0,0,0,0,0,1,0.2,8.0,44.0,54.7,0.55,274.0,23.2,35.0,944.0,0.0,170.0
2019,8,4,6,0,0,0,0,0,1,0.3,11.0,81.0,33.71,0.54,216.0,22.1,37.0,944.0,0.0,351.0
2019,8,4,7,0,0,0,0,0,1,0.3,11.0,86.0,14.27,0.63,225.0,21.9,36.0,945.0,0.0,474.0
2019,8,4,8,0,0,0,0,0,1,0.3,11.0,51.0,34.61,0.6,358.0,24.8,30.0,945.0,0.0,559.0
2019,8,4,9,0,0,0,0,0,1,0.3,10.0,63.0,41.25,0.81,90.0,27.5,26.0,945.0,0.0,600.0
2019,8,4,10,0,0,0,0,0,1,0.3,12.0,49.0,65.09,0.86,65.0,29.5,26.0,946.0,0.0,701.0
2019,8,4,11,0,0,0,0,0,1,0.2,12.0,24.0,102.3,1.23,205.0,31.5,25.0,946.0,0.0,736.0
2019,8,4,12,0,0,0,0,0,1,0.2,10.0,21.0,103.8,1.78,239.0,32.6,22.0,945.0,0.0,732.0
2019,8,4,13,0,0,0,0,0,1,0.2,18.0,20.0,99.31,1.91,207.0,33.4,19.0,945.0,0.0,754.0
2019,8,4,14,0,0,0,0,0,1,0.2,19.0,14.0,102.2,1.81,175.0,34.6,16.0,945.0,0.0,764.0
2019,8,4,15,0,0,0,0,0,1,0.2,22.0,15.0,101.0,2.21,237.0,35.0,16.0,944.0,0.0,643.0
2019,8,4,16,0,0,0,0,0,1,0.2,22.0,18.0,99.89,2.01,210.0,35.4,16.0,944.0,0.0,689.0
2019,8,4,17,0,0,0,0,0,1,0.2,29.0,22.0,100.3,1.87,223.0,36.2,15.0,943.0,0.0,644.0
2019,8,4,18,0,0,0,0,0,1,0.2,28.0,27.0,97.95,1.8,198.0,36.0,14.0,943.0,0.0,726.0
2019,8,4,19,0,0,0,0,0,1,0.2,16.0,30.0,96.79,1.43,223.0,35.2,13.0,943.0,0.0,811.0
2019,8,4,20,0,0,0,0,0,1,0.2,22.0,44.0,85.53,1.36,208.0,33.3,16.0,943.0,0.0,811.0
2019,8,4,21,0,0,0,0,0,1,0.3,21.0,175.0,37.83,0.87,209.0,31.7,20.0,944.0,0.0,756.0
2019,8,4,22,0,0,0,0,0,1,0.3,20.0,91.0,52.76,0.84,223.0,31.0,22.0,944.0,0.0,567.0
2019,8,4,23,0,0,0,0,0,1,0.2,27.0,43.0,70.35,0.86,223.0,30.1,23.0,944.0,0.0,506.0
2019,8,5,0,0,0,0,1,0,0,0.3,18.0,61.0,54.55,0.88,209.0,28.7,26.0,944.0,0.0,621.0
2019,8,5,1,0,0,0,1,0,0,0.2,13.0,26.0,73.98,0.72,236.0,28.0,28.0,944.0,0.0,474.0
2019,8,5,2,0,0,0,1,0,0,0.2,9.0,24.0,68.27,0.61,234.0,26.6,31.0,944.0,0.0,323.0
2019,8,5,3,0,0,0,1,0,0,0.2,10.0,22.0,62.54,0.77,224.0,25.9,31.0,944.0,0.0,232.0
2019,8,5,4,0,0,0,1,0,0,0.2,9.0,24.0,56.05,0.73,73.0,24.9,33.0,945.0,0.0,223.0
2019,8,5,5,0,0,0,1,0,0,0.2,1.0,43.0,35.63,0.63,205.0,23.2,39.0,945.0,0.0,293.0
2019,8,5,6,0,0,0,1,0,0,0.3,10.0,57.0,24.54,0.74,36.0,22.1,39.0,945.0,0.0,585.0
2019,8,5,7,0,0,0,1,0,0,0.5,15.0,237.0,3.39,0.7,78.0,21.7,41.0,945.0,0.0,1003.0
2019,8,5,8,0,0,0,1,0,0,0.4,11.0,212.0,5.4,0.62,132.0,24.3,35.0,946.0,0.0,957.0
2019,8,5,9,0,0,0,1,0,0,0.4,9.0,179.0,12.2,0.78,310.0,27.3,31.0,946.0,0.0,1033.0
2019,8,5,10,0,0,0,1,0,0,0.4,16.0,158.0,22.52,0.92,228.0,29.6,28.0,946.0,0.0,1096.0
2019,8,5,11,0,0,0,1,0,0,0.3,21.0,138.0,39.09,1.16,122.0,31.0,26.0,946.0,0.0,1305.0
2019,8,5,12,0,0,0,1,0,0,0.2,19.0,70.0,69.69,1.37,234.0,32.9,23.0,945.0,0.0,1217.0
2019,8,5,13,0,0,0,1,0,0,0.2,15.0,32.0,86.06,1.93,225.0,33.7,20.0,945.0,0.0,1245.0
2019,8,5,14,0,0,0,1,0,0,0.2,6.0,31.0,90.65,1.87,224.0,34.6,18.0,944.0,0.0,1286.0
2019,8,5,15,0,0,0,1,0,0,0.2,18.0,28.0,88.59,2.0,237.0,35.5,16.0,944.0,0.0,1115.0
2019,8,5,16,0,0,0,1,0,0,0.2,22.0,32.0,87.87,1.89,246.0,36.4,14.0,943.0,0.0,1096.0
2019,8,5,17,0,0,0,1,0,0,0.2,32.0,38.0,82.32,1.69,225.0,36.7,15.0,943.0,0.0,1193.0
2019,8,5,18,0,0,0,1,0,0,0.2,21.0,51.0,78.54,1.74,196.0,36.5,16.0,942.0,0.0,1324.0
2019,8,5,19,0,0,0,1,0,0,0.2,26.0,46.0,81.29,1.46,205.0,35.5,15.0,942.0,0.0,1370.0
2019,8,5,20,0,0,0,1,0,0,0.2,30.0,48.0,78.7,1.31,219.0,33.9,16.0,942.0,0.0,1225.0
2019,8,5,21,0,0,0,1,0,0,0.2,15.0,54.0,67.82,0.87,233.0,32.4,16.0,942.0,0.0,1087.0
2019,8,5,22,0,0,0,1,0,0,0.2,10.0,48.0,62.58,0.85,263.0,30.8,18.0,943.0,0.0,897.0
2019,8,5,23,0,0,0,1,0,0,0.2,5.0,50.0,60.66,0.84,237.0,29.4,19.0,943.0,0.0,660.0
2019,8,6,0,0,0,0,1,0,0,0.2,3.0,17.0,82.1,1.1,231.0,28.6,18.0,943.0,0.0,472.0
2019,8,6,1,0,0,0,1,0,0,0.2,3.0,19.0,78.04,0.78,234.0,27.7,19.0,943.0,0.0,352.0
2019,8,6,2,0,0,0,1,0,0,0.2,2.0,23.0,72.42,0.69,212.0,26.4,24.0,943.0,0.0,221.0
2019,8,6,3,0,0,0,1,0,0,0.2,3.0,25.0,69.06,0.73,223.0,25.1,30.0,943.0,0.0,194.0
2019,8,6,4,0,0,0,1,0,0,0.2,7.0,26.0,62.49,0.67,67.0,25.5,31.0,943.0,0.0,150.0
2019,8,6,5,0,0,0,1,0,0,0.2,4.0,61.0,30.04,0.55,216.0,23.1,36.0,944.0,0.0,238.0
2019,8,6,6,0,0,0,1,0,0,0.3,6.0,73.0,25.06,0.61,345.0,23.1,34.0,943.0,0.0,560.0
2019,8,6,7,0,0,0,1,0,0,0.4,10.0,137.0,9.5,0.74,62.0,22.4,35.0,944.0,0.0,1045.0
2019,8,6,8,0,0,0,1,0,0,0.4,10.0,117.0,12.31,0.7,308.0,24.4,30.0,944.0,0.0,1010.0
2019,8,6,9,0,0,0,1,0,0,0.4,18.0,194.0,14.04,0.72,104.0,28.5,22.0,945.0,0.0,1035.0
2019,8,6,10,0,0,0,1,0,0,0.3,20.0,144.0,27.14,1.1,139.0,29.8,21.0,944.0,0.0,1143.0
2019,8,6,11,0,0,0,1,0,0,0.2,17.0,55.0,66.78,1.66,160.0,31.2,23.0,944.0,0.0,1126.0
2019,8,6,12,0,0,0,1,0,0,0.2,14.0,28.0,90.77,1.88,213.0,32.1,21.0,944.0,0.0,1271.0
2019,8,6,13,0,0,0,1,0,0,0.2,14.0,28.0,91.0,1.95,199.0,33.1,18.0,944.0,0.0,1296.0
2019,8,6,14,0,0,0,1,0,0,0.2,16.0,32.0,91.4,1.96,206.0,33.8,16.0,943.0,0.0,1263.0
2019,8,6,15,0,0,0,1,0,0,0.2,28.0,38.0,81.03,2.06,199.0,35.0,14.0,943.0,0.0,1020.0
2019,8,6,16,0,0,0,1,0,0,0.2,25.0,30.0,84.81,2.41,213.0,35.3,14.0,942.0,0.0,1055.0
2019,8,6,17,0,0,0,1,0,0,0.2,22.0,38.0,78.88,2.22,211.0,35.7,13.0,941.0,0.0,1168.0
2019,8,6,18,0,0,0,1,0,0,0.2,25.0,54.0,69.24,2.0,205.0,35.3,15.0,941.0,0.0,1321.0
2019,8,6,19,0,0,0,1,0,0,0.2,26.0,53.0,65.56,1.93,249.0,34.2,17.0,941.0,0.0,1389.0
2019,8,6,20,0,0,0,1,0,0,0.2,14.0,36.0,69.01,1.51,220.0,32.9,20.0,941.0,0.0,1293.0
2019,8,6,21,0,0,0,1,0,0,0.2,10.0,45.0,55.85,1.59,205.0,31.6,22.0,941.0,0.0,1106.0
2019,8,6,22,0,0,0,1,0,0,0.2,8.0,29.0,57.85,1.41,223.0,30.4,23.0,941.0,0.0,907.0
2019,8,6,23,0,0,0,1,0,0,0.2,1.0,19.0,61.36,1.32,233.0,29.4,24.0,942.0,0.0,669.0
2019,8,7,0,0,0,0,1,0,0,0.1,9.0,30.0,57.75,1.08,209.0,28.8,24.0,942.0,0.0,478.0
2019,8,7,1,0,0,0,1,0,0,0.1,2.0,26.0,54.9,0.85,213.0,27.9,27.0,941.0,0.0,350.0
2019,8,7,2,0,0,0,1,0,0,0.2,1.0,37.0,38.42,0.66,186.0,25.5,35.0,941.0,0.0,237.0
2019,8,7,3,0,0,0,1,0,0,0.1,3.0,12.0,54.18,1.15,234.0,26.2,31.0,941.0,0.0,205.0
2019,8,7,4,0,0,0,1,0,0,0.1,6.0,29.0,47.25,1.13,225.0,26.0,35.0,941.0,0.0,179.0
2019,8,7,5,0,0,0,1,0,0,0.1,3.0,18.0,44.65,0.94,170.0,24.5,39.0,941.0,0.0,242.0
2019,8,7,6,0,0,0,1,0,0,0.2,3.0,32.0,38.65,0.99,237.0,24.5,42.0,941.0,0.0,659.0
2019,8,7,7,0,0,0,1,0,0,0.3,5.0,113.0,15.46,0.73,209.0,24.2,45.0,942.0,0.0,1030.0
2019,8,7,8,0,0,0,1,0,0,0.3,9.0,90.0,19.11,0.94,175.0,24.2,47.0,942.0,0.0,1000.0
2019,8,7,9,0,0,0,1,0,0,0.2,8.0,66.0,27.45,1.07,224.0,24.4,47.0,943.0,0.0,1045.0
2019,8,7,10,0,0,0,1,0,0,0.2,4.0,41.0,37.96,1.3,234.0,25.0,46.0,943.0,0.0,1050.0
2019,8,7,11,0,0,0,1,0,0,0.2,8.0,44.0,40.68,1.28,206.0,25.6,45.0,944.0,0.0,1160.0
2019,8,7,12,0,0,0,1,0,0,0.2,7.0,49.0,44.4,1.33,200.0,26.4,44.0,944.0,0.0,1227.0
2019,8,7,13,0,0,0,1,0,0,0.2,9.0,43.0,50.17,1.6,237.0,26.8,42.0,945.0,0.0,1174.0
2019,8,7,14,0,0,0,1,0,0,0.2,6.0,33.0,52.34,1.46,306.0,26.8,42.0,945.0,0.0,1305.0
2019,8,7,15,0,0,0,1,0,0,0.2,8.0,31.0,51.75,1.54,234.0,26.4,45.0,945.0,0.0,1087.0
2019,8,7,16,0,0,0,1,0,0,0.2,4.0,33.0,56.89,1.23,223.0,27.1,41.0,945.0,0.0,1088.0
2019,8,7,17,0,0,0,1,0,0,0.2,3.0,36.0,57.53,1.63,205.0,27.3,39.0,944.0,0.0,1161.0
2019,8,7,18,0,0,0,1,0,0,0.2,4.0,34.0,59.39,1.61,223.0,27.9,37.0,944.0,0.0,1350.0
2019,8,7,19,0,0,0,1,0,0,0.2,3.0,40.0,55.18,1.8,223.0,26.9,38.0,944.0,0.0,1409.0
2019,8,7,20,0,0,0,1,0,0,0.2,5.0,31.0,58.09,1.61,229.0,26.3,41.0,944.0,0.0,1236.0
2019,8,7,21,0,0,0,1,0,0,0.2,5.0,51.0,49.32,1.61,200.0,24.8,45.0,944.0,0.0,1160.0
2019,8,7,22,0,0,0,1,0,0,0.2,10.0,50.0,47.38,1.28,205.0,24.0,45.0,945.0,0.0,939.0
2019,8,7,23,0,0,0,1,0,0,0.2,3.0,26.0,55.31,1.34,223.0,23.8,45.0,945.0,0.0,677.0
2019,8,8,0,0,0,0,1,0,0,0.1,3.0,17.0,58.04,1.35,234.0,23.2,48.0,945.0,0.0,549.0
2019,8,8,1,0,0,0,1,0,0,0.1,5.0,11.0,59.94,1.56,216.0,22.9,50.0,945.0,0.0,380.0
2019,8,8,2,0,0,0,1,0,0,0.1,3.0,9.0,64.32,1.46,236.0,22.6,52.0,945.0,0.0,269.0
2019,8,8,3,0,0,0,1,0,0,0.1,3.0,11.0,65.14,1.08,223.0,22.2,54.0,945.0,0.0,183.0
2019,8,8,4,0,0,0,1,0,0,0.1,4.0,12.0,60.32,0.64,274.0,21.6,57.0,945.0,0.0,177.0
2019,8,8,5,0,0,0,1,0,0,0.1,6.0,32.0,46.37,0.59,67.0,21.1,59.0,945.0,0.0,304.0
2019,8,8,6,0,0,0,1,0,0,0.2,6.0,99.0,19.93,0.66,200.0,20.2,62.0,945.0,0.0,643.0
2019,8,8,7,0,0,0,1,0,0,0.3,9.0,137.0,12.56,0.67,218.0,19.9,63.0,945.0,0.0,1032.0
2019,8,8,8,0,0,0,1,0,0,0.3,9.0,75.0,28.75,0.68,192.0,22.4,55.0,945.0,0.0,985.0
2019,8,8,9,0,0,0,1,0,0,0.2,7.0,77.0,33.15,0.85,175.0,25.2,48.0,946.0,0.0,914.0
2019,8,8,10,0,0,0,1,0,0,0.2,9.0,64.0,43.13,0.96,161.0,27.0,44.0,946.0,0.0,1093.0
2019,8,8,11,0,0,0,1,0,0,0.2,8.0,38.0,57.73,1.47,184.0,27.9,42.0,946.0,0.0,1114.0
2019,8,8,12,0,0,0,1,0,0,0.2,9.0,42.0,56.11,1.61,214.0,29.2,40.0,945.0,0.0,1212.0
2019,8,8,13,0,0,0,1,0,0,0.2,9.0,33.0,48.92,1.82,201.0,30.3,38.0,945.0,0.0,1241.0
2019,8,8,14,0,0,0,1,0,0,0.2,9.0,48.0,44.27,1.99,272.0,31.8,35.0,945.0,0.0,1227.0
2019,8,8,15,0,0,0,1,0,0,0.1,9.0,30.0,47.12,2.26,205.0,32.3,32.0,944.0,0.0,1039.0
2019,8,8,16,0,0,0,1,0,0,0.1,11.0,25.0,52.89,2.46,219.0,33.1,28.0,944.0,0.0,1085.0
2019,8,8,17,0,0,0,1,0,0,0.2,23.0,39.0,53.19,2.5,217.0,33.8,26.0,943.0,0.0,1190.0
2019,8,8,18,0,0,0,1,0,0,0.3,17.0,104.0,43.53,2.23,224.0,34.0,26.0,943.0,0.0,1320.0
2019,8,8,19,0,0,0,1,0,0,0.3,26.0,107.0,49.63,1.99,199.0,33.2,28.0,943.0,0.0,1337.0
2019,8,8,20,0,0,0,1,0,0,0.2,16.0,54.0,56.65,1.55,205.0,31.6,30.0,943.0,0.0,1335.0
2019,8,8,21,0,0,0,1,0,0,0.2,8.0,48.0,48.25,1.18,234.0,30.7,32.0,943.0,0.0,1206.0
2019,8,8,22,0,0,0,1,0,0,0.2,20.0,45.0,39.58,0.82,254.0,29.6,33.0,944.0,0.0,1006.0
2019,8,8,23,0,0,0,1,0,0,0.2,8.0,38.0,37.07,0.77,233.0,28.6,34.0,944.0,0.0,741.0
2019,8,9,0,0,0,0,1,0,0,0.2,6.0,18.0,41.91,0.77,254.0,27.8,37.0,944.0,0.0,545.0
2019,8,9,1,0,0,0,1,0,0,0.1,4.0,15.0,42.75,0.84,233.0,27.3,39.0,944.0,0.0,392.0
2019,8,9,2,0,0,0,1,0,0,0.1,5.0,13.0,41.78,1.02,223.0,26.6,42.0,944.0,0.0,291.0
2019,8,9,3,0,0,0,1,0,0,0.1,7.0,27.0,32.51,0.93,190.0,25.4,47.0,944.0,0.0,239.0
2019,8,9,4,0,0,0,1,0,0,0.1,6.0,10.0,33.17,1.35,196.0,24.3,53.0,944.0,0.0,221.0
2019,8,9,5,0,0,0,1,0,0,0.1,4.0,10.0,30.21,1.54,233.0,23.8,56.0,945.0,0.0,304.0
2019,8,9,6,0,0,0,1,0,0,0.1,4.0,16.0,26.23,1.63,237.0,23.2,59.0,945.0,0.0,648.0
2019,8,9,7,0,0,0,1,0,0,0.2,4.0,48.0,17.42,1.31,200.0,22.5,64.0,945.0,0.0,986.0
2019,8,9,8,0,0,0,1,0,0,0.1,6.0,40.0,20.82,1.69,186.0,23.6,62.0,946.0,0.0,917.0
2019,8,9,9,0,0,0,1,0,0,0.1,3.0,29.0,27.39,1.96,201.0,24.6,60.0,946.0,0.0,1066.0
2019,8,9,10,0,0,0,1,0,0,0.1,4.0,26.0,30.83,2.21,200.0,25.5,58.0,946.0,0.0,1088.0
2019,8,9,11,0,0,0,1,0,0,0.1,5.0,31.0,31.04,2.29,205.0,26.9,54.0,947.0,0.0,1162.0
2019,8,9,12,0,0,0,1,0,0,0.1,5.0,22.0,32.42,2.92,209.0,27.3,52.0,947.0,0.0,1059.0
2019,8,9,13,0,0,0,1,0,0,0.1,8.0,23.0,28.84,2.94,205.0,28.6,49.0,947.0,0.0,1282.0
2019,8,9,14,0,0,0,1,0,0,0.1,10.0,29.0,28.55,2.55,213.0,29.7,46.0,946.0,0.0,1274.0
2019,8,9,15,0,0,0,1,0,0,0.1,5.0,27.0,27.65,2.7,205.0,30.8,41.0,946.0,0.0,1151.0
2019,8,9,16,0,0,0,1,0,0,0.1,10.0,28.0,29.3,2.51,218.0,31.7,39.0,945.0,0.0,1170.0
2019,8,9,17,0,0,0,1,0,0,0.1,8.0,25.0,31.85,2.98,209.0,31.8,37.0,945.0,0.0,1213.0
2019,8,9,18,0,0,0,1,0,0,0.1,13.0,29.0,32.88,2.55,229.0,31.4,38.0,945.0,0.0,1250.0
2019,8,9,19,0,0,0,1,0,0,0.1,13.0,35.0,33.62,2.31,223.0,30.5,41.0,945.0,0.0,1402.0
2019,8,9,20,0,0,0,1,0,0,0.2,13.0,26.0,37.26,1.97,223.0,28.0,51.0,946.0,0.0,1349.0
