product_score,balance,active_member,churn
11,0.0,0,0
11,0.0,1,0
1881,153610.61,1,1
19,0.0,0,0
20,131778.66,1,0
10,124213.36,0,0
10,97486.15,0,0
15,136855.94,0,0
17,130051.66,0,1
23,0.0,0,0
18,114713.57,1,0
16,99760.84,1,0
13,87967.42,1,0
10,127543.11,0,1
13,0.0,1,0
14,0.0,1,0
10,115961.58,1,0
19,37702.79,1,0
13,144757.97,1,0
8,88594.93,0,0
21,90194.34,0,0
14,175754.87,1,0
8815,113034.31,1,0
16,175159.9,0,1
18,0.0,0,1
11,79927.36,1,0
13,114543.27,1,0
11,0.0,0,0
14,168078.83,0,1
9,206014.94,1,1
13,122031.55,1,1
11,71786.9,1,0
18,0.0,0,0
15,104129.24,0,1
12,141267.67,1,0
17,120727.97,1,0
17,152160.21,0,0
19,102721.49,0,0
15,112281.7,1,0
21,167997.6,1,0
8,0.0,0,0
18,127823.93,1,0
12,79951.9,1,1
22,82255.51,0,0
15,140170.61,1,0
11,0.0,1,0
20,137145.12,0,1
12,69974.66,0,1
11,149238.97,1,0
9,0.0,1,0
12,0.0,0,0
18,158584.82,0,1
8,112281.6,0,1
21,151762.74,1,0
14,130652.52,1,0
10,72535.45,1,0
12,83348.89,0,1
13,120688.61,0,1
13,105609.17,1,0
19,130368.31,0,0
12,0.0,1,0
8,137657.25,1,0
19,137456.28,1,0
13,0.0,1,0
18,0.0,1,0
14,0.0,0,0
13,0.0,1,1
16,135277.96,0,0
14,0.0,0,0
17,0.0,0,0
17,0.0,0,0
12,68927.57,1,0
7,0.0,0,0
18,0.0,0,0
15,0.0,0,1
18,163714.52,0,0
9,0.0,0,0
9,129401.87,1,0
88815,122552.34,0,0
9,0.0,0,0
17,101579.28,1,0
6,83015.71,0,0
11,112615.86,1,0
9,0.0,1,0
18,0.0,0,0
18,0.0,0,0
15,0.0,1,0
9,111769.14,0,0
14,108424.19,1,0
18,72373.62,0,0
18,123444.72,1,1
9,0.0,1,0
20,105563.0,0,0
7,0.0,0,1
14,137204.77,1,0
20,119714.25,1,0
18,0.0,1,0
1664,88294.6,0,0
17,119960.29,0,0
11,133191.19,1,0
23,95994.98,0,0
78716,129837.72,1,0
27875,128578.52,1,0
18,111578.18,0,1
17,132005.77,0,0
19,0.0,0,0
22,0.0,1,1
13,141078.37,0,1
11,128760.32,0,0
9,0.0,0,0
14,0.0,0,0
14,206663.75,0,0
17,108449.23,0,1
19,99183.9,1,0
14,117852.26,0,0
9,0.0,1,0
13,95624.36,1,0
19,113348.14,0,1
13,0.0,1,0
16,142243.54,0,0
12,0.0,0,0
14,0.0,0,0
1667,0.0,1,0
8,161533.0,0,0
17,102870.93,1,1
15,124620.01,0,1
17,0.0,0,0
15,70302.48,1,0
14,0.0,1,0
8,116800.25,1,0
16,84651.79,1,0
13,169312.13,0,1
12,114715.71,1,1
17,0.0,0,0
11,142537.18,1,0
14,0.0,1,0
14,178058.06,1,1
13,128131.73,0,0
19,162701.65,1,0
17,0.0,1,0
9,0.0,1,0
15,157274.36,1,0
14,91216.0,1,0
12,131039.97,1,0
15,162532.14,0,1
11,0.0,1,0
14,0.0,1,0
1664,77599.23,0,0
11,0.0,1,0
13,112568.31,1,0
9,111568.01,1,0
12,137937.95,1,0
16,94667.29,1,0
17,125827.43,1,0
13,117640.39,0,0
13,102143.93,1,0
17,0.0,0,0
17874,0.0,0,0
174,119266.69,1,0
18,127772.1,1,0
13,123845.36,1,1
11,90322.99,1,0
13,129731.64,0,0
11,97361.66,1,1
15,84607.34,1,0
15,0.0,0,1
8,0.0,0,0
7,203715.15,0,1
13,127087.06,0,1
24,0.0,1,0
1660,0.0,1,0
1662,68999.66,1,0
668,0.0,0,0
14,137388.01,0,0
15,121730.49,1,0
11,0.0,1,0
12,85818.18,1,0
14,0.0,1,0
15,0.0,0,0
12,0.0,0,0
11,0.0,0,0
15,146810.99,1,0
21,107764.75,0,0
4514,161613.94,1,0
413,0.0,0,0
8,0.0,0,0
17,0.0,0,0
19,0.0,1,0
10,77253.5,0,1
12,112650.89,0,1
13,146756.68,0,0
12,0.0,0,0
14,0.0,0,0
19,134562.8,1,0
14,114655.58,0,0
9,0.0,1,0
12,0.0,0,0
1661,97133.92,0,1
17,106266.8,1,0
17,105588.66,1,0
12,0.0,0,0
17,0.0,0,0
15,140956.99,0,0
151,127216.31,1,0
17,128504.76,0,1
14,133237.21,0,1
16,53291.86,0,0
17,0.0,1,0
12,132174.41,0,0
15,169947.41,1,0
17,142028.36,0,1
17,56580.95,1,0
12,145731.83,1,0
8,138937.35,1,1
166,75499.24,0,0
13,0.0,1,1
12,143139.87,0,1
18,127997.83,0,1
10007,77373.87,1,0
13,0.0,1,0
24,147229.65,1,0
10,119817.33,1,1
15,0.0,1,1
15,0.0,0,0
14,0.0,1,0
10,126195.81,1,0
13,147936.42,1,0
11,0.0,1,0
16,0.0,1,1
12,0.0,0,1
16,129608.57,0,1
16,0.0,0,1
12,165260.98,1,0
14,84745.03,1,0
10,92674.94,0,0
14,0.0,1,0
8,0.0,0,0
17,120586.54,1,0
11,103549.24,0,1
988,0.0,1,0
13,98955.87,1,0
18,128647.98,0,0
7,102133.38,1,0
11,136709.35,1,1
8,81710.46,1,0
11,0.0,0,1
23,0.0,0,0
9,96888.39,0,1
10,124577.15,1,0
10,146098.43,0,1
16,137712.01,1,0
13,0.0,0,0
13,0.0,0,0
14,121132.26,0,0
14,98270.34,0,0
17,111599.32,1,0
12,195926.39,1,0
17,0.0,0,1
16,95039.12,1,1
11,0.0,0,0
14,104783.81,1,0
14,135814.7,0,0
16,0.0,1,0
20,121498.11,1,1
1884,163757.06,1,0
18,105261.76,1,0
7,0.0,0,1
11,159492.79,0,1
16,80387.81,1,0
8,0.0,0,0
20,127806.91,1,0
20,122359.5,0,0
14,0.0,1,0
16,106520.73,0,0
13,122552.48,1,0
20,0.0,1,0
12,119272.29,0,1
10,0.0,0,0
12,0.0,0,0
14,0.0,1,0
14,0.0,1,0
10,150923.74,1,0
888,137933.39,1,0
8,145166.09,0,0
14,135078.41,0,1
19,111168.97,1,0
7,95523.16,0,0
18,58036.33,1,0
10444,130483.95,0,0
9,0.0,1,0
10,0.0,1,0
1444,0.0,1,0
8814,134171.8,1,1
14440,68079.8,1,0
19,0.0,1,0
14,166070.48,0,0
13,122453.97,1,0
16,0.0,0,0
14,100359.54,0,0
12,145127.85,0,0
12,123826.07,1,0
17,0.0,0,1
13,140752.06,1,0
15,0.0,0,0
13,125832.2,1,0
12,121702.73,1,0
9,0.0,0,1
14,0.0,1,0
7,170288.38,1,0
17,125338.8,0,0
22,133802.29,1,0
12,39043.29,1,0
7,114007.5,0,0
12,0.0,0,0
11,178787.54,1,0
10,127201.58,0,1
12,155994.15,0,0
13,134006.39,1,0
15,145980.23,1,0
16,0.0,1,0
16,178827.79,0,0
15,104001.38,1,0
13,0.0,1,0
18,133844.22,1,0
13,112687.69,1,0
8,0.0,0,0
11,101195.23,0,0
13,0.0,0,1
13,0.0,0,0
7,0.0,1,0
7,109342.82,1,0
1288,91246.53,0,1
12,125801.03,0,1
10,0.0,0,0
22,0.0,0,0
13,108286.5,1,0
1887,0.0,0,1
14,0.0,1,1
12,0.0,0,0
8,115462.44,0,0
14,0.0,1,0
9,0.0,1,0
12,87612.64,1,1
6,139706.31,0,0
13,0.0,0,1
13,0.0,0,0
10,81795.74,0,0
12,0.0,1,1
14,0.0,1,0
16,58781.76,0,0
13,0.0,1,0
16,0.0,1,0
9,85859.76,0,0
18,185513.67,0,0
10,93590.47,1,1
11,0.0,0,0
16,116969.35,0,0
18,138992.48,0,0
15,0.0,1,0
17,113781.5,1,1
13,0.0,0,0
17,103219.47,0,0
18,84438.57,1,0
13,124053.03,0,0
15,0.0,1,0
15,0.0,0,1
10,141751.82,1,0
16,119912.46,0,0
17,0.0,1,0
15,0.0,1,0
12,168178.21,1,0
14,144837.79,1,0
14,102918.38,1,0
5,139979.07,0,0
15,116886.59,0,0
16,0.0,1,0
14,116644.29,1,0
2663,105303.73,1,0
8,114440.24,1,0
18,114822.64,1,0
13,97403.18,1,1
12,0.0,1,0
17,133214.88,1,0
16,129855.32,0,0
16,0.0,1,0
181,133295.98,0,1
11,139887.01,1,0
16,136526.26,0,0
11,141665.63,1,0
14,111099.79,0,0
20,110067.71,0,1
14,0.0,1,0
16,0.0,0,0
17,0.0,0,0
13,123229.46,0,0
12,0.0,1,0
12,125470.81,1,0
6612,0.0,1,0
15,112670.48,0,1
17,0.0,0,0
17,96834.78,0,0
12,144427.96,0,0
13,87842.98,0,0
11,0.0,0,0
13,100520.92,1,1
16,0.0,0,0
12,0.0,0,0
14,0.0,1,0
11,136658.61,1,0
17,134366.42,0,0
13,97408.03,1,0
16,0.0,1,0
6614,0.0,0,0
15,137492.35,1,0
21,0.0,0,0
18,0.0,0,1
14,0.0,0,0
18,136623.19,0,0
20,131254.81,0,0
21,128707.31,0,1
6610,0.0,1,0
14,147974.16,0,0
10,0.0,1,0
6616,144696.75,1,0
18,137853.0,1,0
11,129307.32,1,0
15,0.0,0,0
9,0.0,1,0
20,77992.97,1,0
17,0.0,0,0
8,0.0,0,0
15,0.0,0,0
1661,97893.2,0,0
15,0.0,1,1
14,138311.76,1,1
15,0.0,0,0
16,91893.32,0,1
12,98438.23,0,1
19,99906.89,0,0
12,90957.81,1,0
16,0.0,1,0
10,0.0,1,0
17,160777.9,1,0
14,104356.38,0,0
16,126285.73,0,1
18,132439.99,0,0
1664,0.0,0,0
12,101985.81,0,0
11,110934.54,0,0
7,90248.79,1,0
10,0.0,1,0
7,119315.75,0,0
11,0.0,0,0
14,125385.49,1,0
13,0.0,1,0
18,90865.8,1,0
10,116150.65,1,1
17,122214.0,1,0
15,0.0,1,0
23,130682.11,1,0
1887,0.0,1,0
15,103097.85,1,0
7716,118336.14,0,0
6,75242.28,1,0
17,104430.08,1,0
15,88324.31,0,0
5,150329.15,0,0
14,116576.45,0,0
11,0.0,1,1
11,0.0,1,0
9,130557.24,1,0
12,0.0,1,0
18,93978.96,0,0
18,0.0,1,0
15,0.0,0,1
12,0.0,1,0
17,0.0,0,0
8,0.0,0,1
1996,83568.26,0,0
18,0.0,1,0
15,127545.56,0,1
12,89349.47,0,0
18,0.0,0,0
14,132287.92,1,1
14,121063.49,0,0
16,0.0,0,0
18,101191.83,1,1
14,90371.09,1,0
19,97530.25,1,0
8,172646.82,1,0
23,71816.74,0,1
13,0.0,1,0
1991,0.0,1,0
13,0.0,0,0
16,0.0,0,1
15,112152.89,1,0
13,84121.04,1,0
11,0.0,0,1
13,0.0,1,0
1995,0.0,1,1
11,0.0,0,0
10,0.0,1,0
8,170491.84,0,1
14,0.0,0,0
9917,52436.2,0,0
20,110570.78,0,0
14,0.0,1,0
12,86402.52,0,0
14,0.0,0,0
21,143637.58,1,0
13,0.0,0,0
13,0.0,1,0
22,0.0,0,0
11,106414.57,0,0
17,178011.5,0,0
13,0.0,0,1
17,0.0,0,0
14,0.0,1,0
14,111835.94,0,0
14,104267.7,0,1
16,0.0,1,0
16,131765.72,0,0
12,115282.3,0,0
15,103564.83,0,0
15,0.0,0,0
14,0.0,1,0
14,151233.62,0,0
17,106160.37,0,0
15,0.0,1,0
19,113000.92,1,0
16,0.0,0,1
9,77637.35,1,0
8,153819.58,0,1
18,127421.78,0,1
19,0.0,1,0
9,0.0,0,0
15,147650.68,1,0
13,0.0,1,0
15,162482.76,1,0
18,136188.78,1,1
99916,0.0,1,0
1332,165679.92,0,0
13330,74371.49,0,0
336,0.0,0,0
15,99462.8,1,0
15,146301.31,0,0
18,141819.02,0,1
9912,140553.46,0,0
19,145874.35,0,1
192,102395.79,0,0
14,103302.37,1,0
14,0.0,1,0
9,0.0,1,0
14,0.0,1,1
17,152328.88,0,0
18,0.0,1,0
7,152102.18,0,0
14,151218.98,1,0
1332,71283.09,1,0
13,161884.99,1,0
18,125860.2,0,0
16,109019.65,1,0
14,139542.82,1,0
17,0.0,1,0
13336,0.0,0,0
21,122304.65,0,0
15,0.0,0,1
15,0.0,0,0
17,101440.36,1,0
13,165298.12,1,0
2330,0.0,1,0
14,123276.69,1,1
12,70349.48,1,0
9,152522.47,1,1
17,121685.31,1,0
12,102141.9,1,0
9,0.0,0,0
10,111128.04,0,1
17,149564.61,0,0
18,116854.71,1,0
9,0.0,0,1
7,116160.23,0,0
17,149000.91,1,0
12,0.0,1,0
17,0.0,0,0

