tconst,averageRating,numVotes
tt0026912,6.8,6165
tt0026942,7.0,3481
tt0026955,7.6,4165
tt0026972,6.5,2437
tt0027067,6.2,4299
tt0027075,7.8,5957
tt0027113,7.5,2359
tt0027125,7.7,19756
tt0027126,7.1,3241
tt0027194,6.3,6056
tt0027214,7.3,2958
tt0027260,7.6,11509
tt0027286,6.3,2025
tt0027336,7.5,3433
tt0027367,6.9,3527
tt0027376,6.6,2140
tt0027407,7.0,3200
tt0027438,7.0,5193
tt0027440,7.2,2176
tt0027459,6.9,2182
tt0027478,7.3,3541
tt0027515,7.1,2624
tt0027521,7.0,4616
tt0027529,7.9,2166
tt0027532,7.8,9571
tt0027545,6.3,7338
tt0027593,6.9,2014
tt0027623,7.0,2511
tt0027630,7.1,4532
tt0027652,7.9,13012
tt0027672,7.4,2812
tt0027698,6.7,8485
tt0027752,7.7,3781
tt0027800,6.5,2695
tt0027884,7.8,8442
tt0027893,7.3,2300
tt0027948,6.3,2661
tt0027977,8.5,246103
tt0027996,7.8,22163
tt0028010,8.0,24858
tt0028021,7.2,2449
tt0028070,7.3,3297
tt0028096,7.5,14258
tt0028108,6.8,2306
tt0028119,7.3,3652
tt0028141,7.2,2368
tt0028201,7.6,2353
tt0028203,6.5,2099
tt0028212,7.0,17626
tt0028216,7.2,5798
tt0028219,5.9,2361
tt0028231,6.4,8673
tt0028249,7.4,3532
tt0028313,7.3,2932
tt0028333,7.5,14065
tt0028345,6.5,3462
tt0028346,3.7,8873
tt0028355,7.1,2743
tt0028356,7.4,2857
tt0028358,6.6,8463
tt0028378,7.5,2540
tt0028445,7.5,6685
tt0028478,6.6,2794
tt0028505,7.0,3578
tt0028575,7.2,2985
tt0028597,7.7,20330
tt0028683,7.3,8286
tt0028691,7.9,10204
tt0028726,7.4,2713
tt0028757,6.8,2183
tt0028772,7.5,14075
tt0028773,7.2,8035
tt0028804,6.9,2364
tt0028816,7.5,3866
tt0028944,7.5,5158
tt0028950,8.1,37426
tt0028988,7.2,4663
tt0029002,7.3,2111
tt0029030,7.2,2739
tt0029047,6.7,2493
tt0029058,7.4,2553
tt0029080,7.2,3754
tt0029146,7.2,8510
tt0029161,7.5,2989
tt0029162,7.6,13630
tt0029192,8.2,8832
tt0029217,7.1,4452
tt0029284,7.3,10964
tt0029310,7.2,2648
tt0029314,7.7,2166
tt0029322,6.9,6905
tt0029339,7.8,4486
tt0029440,7.2,2655
tt0029442,7.6,4772
tt0029453,7.7,7737
tt0029511,6.5,2080
tt0029546,7.5,7527
tt0029583,7.6,204031
tt0029604,7.7,8622
tt0029606,7.3,10229
tt0029608,7.4,5842
tt0029682,7.2,7880
tt0029747,7.6,8618
tt0029808,7.3,7184
tt0029811,6.8,10073
tt0029843,7.9,52369
tt0029844,7.1,2107
tt0029850,7.5,11716
tt0029852,6.9,2190
tt0029855,6.7,2971
tt0029864,7.0,2808
tt0029870,7.9,22165
tt0029923,7.5,4269
tt0029929,7.2,4212
tt0029942,7.2,5971
tt0029943,7.6,3098
tt0029947,7.8,63124
tt0029957,7.5,8067
tt0029971,7.0,4052
tt0029992,7.5,8073
tt0029995,7.1,2258
tt0030044,7.5,3206
tt0030127,7.5,2206
tt0030128,7.1,3306
tt0030149,6.9,2044
tt0030241,7.7,17032
tt0030252,7.6,2936
tt0030287,7.4,14111
tt0030341,7.8,54237
tt0030396,6.7,2522
tt0030418,7.3,3122
tt0030442,7.3,2067
tt0030448,7.9,3339
tt0030522,7.8,4988
tt0030523,7.7,4137
tt0030604,7.6,2172
tt0030637,7.8,9086
tt0030643,7.7,9502
tt0030696,6.6,5322
tt0030755,6.7,2031
tt0030764,7.0,2399
tt0030824,6.6,2234
tt0030848,6.8,2554
tt0030944,7.1,3866
tt0030993,7.8,26589
tt0031022,7.3,7022
tt0031047,7.4,7761
tt0031060,6.8,6187
tt0031066,6.3,2738
tt0031067,7.5,4277
tt0031088,7.6,6264
tt0031143,7.1,3322
tt0031210,7.5,11612
tt0031225,7.6,11980
tt0031235,7.1,5460
tt0031252,7.0,6466
tt0031260,7.3,3525
tt0031314,7.1,2212
tt0031322,6.8,5413
tt0031334,7.4,6301
tt0031359,7.3,4856
tt0031377,6.8,2027
tt0031381,8.2,320072
tt0031385,7.9,10985
tt0031397,6.6,4564
tt0031398,7.2,12301
tt0031448,7.4,10929
tt0031455,7.8,11722
tt0031477,7.0,3274
tt0031491,6.6,2699
tt0031500,6.9,3107
tt0031505,6.3,10515
tt0031507,7.0,4652
tt0031514,7.7,7926
tt0031516,6.9,2445
tt0031580,7.1,6374
tt0031593,7.3,5932
tt0031602,6.3,3779
tt0031647,7.9,5382
tt0031679,8.1,116906
tt0031725,7.8,21687
tt0031742,7.9,6320
tt0031747,6.4,2426
tt0031750,7.5,3893
tt0031754,7.7,2033
tt0031762,7.6,14772
tt0031826,7.0,5845
tt0031835,6.9,2057
tt0031851,5.7,2357
tt0031867,7.9,14529
tt0031885,7.9,29899
tt0031951,7.1,10886
tt0031968,6.9,2288
tt0031971,7.8,50736
tt0031983,6.9,2681
tt0032007,6.5,3480
tt0032022,6.8,2427
tt0032049,6.6,2104
tt0032071,7.6,3277
tt0032080,7.1,3194
tt0032138,8.1,406748
tt0032143,7.7,14238
tt0032145,7.5,18766
tt0032155,7.5,8720
tt0032156,7.8,4055
tt0032194,7.4,5076
tt0032234,7.1,7572
tt0032247,6.5,2089
tt0032258,6.3,2677
tt0032273,7.1,3576
tt0032284,7.3,2571
tt0032285,7.0,2903
tt0032338,7.4,3986
tt0032339,7.2,4092
tt0032342,7.2,2459
tt0032376,6.8,2806
tt0032383,6.7,2815
tt0032390,5.4,3230
tt0032412,6.4,2707
tt0032455,7.7,98916
tt0032484,7.4,21948
tt0032520,7.1,3717
tt0032536,6.8,5609
tt0032551,8.1,95312
tt0032553,8.4,226927
tt0032554,7.3,4168
tt0032599,7.8,60358
tt0032617,7.4,3571
tt0032635,6.5,4810
tt0032637,6.0,3079
tt0032653,5.0,3258
tt0032671,6.9,3852
tt0032701,7.6,13686
tt0032728,6.9,4593
tt0032762,7.5,10459
tt0032811,7.7,5658
tt0032818,6.0,4390
tt0032828,6.8,2945
tt0032842,7.2,5264
tt0032851,7.0,3696
tt0032881,6.5,2743
tt0032904,7.9,70898
tt0032910,7.5,151269
tt0032943,7.4,8678
tt0032953,7.6,2192
tt0032976,8.1,139687
tt0032981,7.6,6340
tt0032983,6.6,3480
tt0032993,6.6,3881
tt0033021,6.2,3967
tt0033022,7.1,2946
tt0033028,7.6,10228
tt0033045,8.0,35117
tt0033105,6.9,2854
tt0033107,6.8,4378
tt0033149,7.2,8289
tt0033152,7.4,13726
tt0033226,6.8,2790
tt0033238,7.7,10416
tt0033253,7.3,6370
tt0033373,7.7,13228
tt0033388,6.5,5265
tt0033405,6.8,2952
tt0033407,6.9,2145
tt0033432,6.9,3519
tt0033436,7.0,4566
tt0033467,8.3,447185
tt0033477,7.0,2191
tt0033532,7.6,5242
tt0033533,7.6,4467
tt0033553,6.8,9327
tt0033563,7.2,135249
tt0033627,7.3,7068
tt0033654,7.2,2532
tt0033677,7.1,4054
tt0033704,7.4,3268
tt0033712,7.6,6834
tt0033717,7.5,18019
tt0033722,7.3,2620
tt0033723,7.3,3924
tt0033729,7.7,24992
tt0033740,7.2,5012
tt0033754,6.7,3111
tt0033760,5.2,2360
tt0033774,7.0,3263
tt0033787,5.2,2350
tt0033804,7.7,22257
tt0033836,7.9,12372
tt0033852,7.4,3199
tt0033870,8.0,161104
tt0033873,7.2,5982
tt0033874,7.5,8323
tt0033891,7.6,14058
tt0033922,6.3,10827
tt0033945,7.1,2456
tt0033952,7.9,2186
tt0034012,7.1,7531
tt0034091,6.8,3517
tt0034116,6.7,3174
tt0034162,7.5,4095
tt0034167,7.7,18827
tt0034172,7.2,6467
tt0034175,6.6,2841
tt0034182,6.9,2428
tt0034236,7.2,3888
tt0034240,7.9,27151
tt0034247,7.3,3227
tt0034248,7.3,39841
tt0034266,6.4,3041
tt0034272,7.2,4773
tt0034274,6.6,2808
tt0034277,7.2,6524
tt0034297,6.4,2441
tt0034303,6.8,3155
tt0034384,6.7,3000
tt0034398,7.2,28442
tt0034399,7.2,3522
tt0034409,6.7,2710
tt0034415,6.7,3245
tt0034428,6.8,5141
tt0034449,7.1,4592
tt0034478,7.3,3345
tt0034492,7.3,146507
tt0034493,7.7,2877
tt0034498,6.1,2144
tt0034522,6.7,4769
tt0034583,8.5,578828
tt0034587,7.2,24061
tt0034591,7.6,2915
tt0034613,4.5,3298
tt0034646,6.8,2393
tt0034670,7.9,2158
tt0034694,7.2,2704
tt0034742,6.7,4054
tt0034746,7.0,3669
tt0034778,7.6,3849
tt0034786,6.1,6615
tt0034798,7.0,6894
tt0034862,7.3,16196
tt0034881,7.1,8715
tt0034890,7.3,4958
tt0034891,7.2,6074
tt0034902,6.0,2437
tt0034922,6.5,4470
tt0034928,6.7,4397
tt0034936,6.7,2939
tt0034946,7.5,4645
tt0034965,7.3,2915
tt0035015,7.6,25483
tt0035019,7.4,7219
tt0035082,6.8,2011
tt0035093,7.6,18424
tt0035096,5.5,3519
tt0035140,7.9,17793
tt0035151,6.4,3034
tt0035153,7.0,2354
tt0035160,7.6,7894
tt0035169,7.5,12308
tt0035173,6.8,2341
tt0035209,7.0,2291
tt0035211,7.6,11340
tt0035238,7.9,7943
tt0035244,6.6,3374
tt0035262,7.0,5541
tt0035279,7.1,26634
tt0035317,6.5,6190
tt0035318,6.4,4817
tt0035369,6.7,3069
tt0035415,7.3,2394
tt0035417,7.5,8649
tt0035419,6.5,3417
tt0035423,6.4,86265
tt0035429,7.5,4020
tt0035432,7.4,9895
tt0035446,8.2,39017
tt0035521,7.3,2342
tt0035530,6.7,2087
tt0035555,7.3,2573
tt0035567,7.1,10509
tt0035575,7.6,16055
tt0035583,7.2,3830
tt0035605,6.5,2310
tt0035608,7.0,4406
tt0035616,7.0,3601
tt0035664,6.9,2539
tt0035665,6.1,2303
tt0035703,7.1,3147
tt0035753,7.8,10349
tt0035754,7.3,2001
tt0035794,7.5,4420
tt0035795,6.1,2171
tt0035799,7.1,5376
tt0035884,7.3,6321
tt0035896,6.8,9699
tt0035899,6.4,9313
tt0035937,6.6,3541
tt0035942,6.8,2098
tt0035957,6.6,2208
tt0035959,6.9,2708
tt0035966,7.4,5828
tt0035979,7.4,11673
tt0036022,7.0,2246
tt0036027,7.0,12882
tt0036094,6.3,2542
tt0036098,7.1,5661
tt0036104,6.8,5595
tt0036112,8.0,15412
tt0036126,7.2,2994
tt0036154,7.9,14038
tt0036172,7.7,7024
tt0036174,7.1,3346
tt0036191,7.0,2076
tt0036230,7.4,3619
tt0036241,5.4,4699
tt0036244,8.0,23950
tt0036260,7.2,5303
tt0036261,6.4,7744
tt0036295,7.7,2641
tt0036323,7.5,9161
tt0036326,6.1,7187
tt0036341,6.7,7134
tt0036342,7.8,67146
tt0036348,6.9,4795
tt0036349,6.7,4412
tt0036376,6.1,5712
tt0036377,7.6,7246
tt0036391,7.3,2638
tt0036400,6.7,5229
tt0036414,6.2,2280
tt0036431,7.5,3461
tt0036506,8.1,10573
tt0036515,7.1,4651
tt0036613,7.9,72277
tt0036618,7.5,3135
tt0036630,6.6,2350
tt0036641,7.1,2217
tt0036653,5.9,2025
tt0036695,7.4,6087
tt0036696,6.9,3155
tt0036723,6.7,5669
tt0036733,6.7,6779
tt0036775,8.3,159609
tt0036818,7.7,6332
tt0036824,6.4,3774
tt0036855,7.8,30694
tt0036868,8.1,66384
tt0036872,7.0,12488
tt0036891,7.6,4891
tt0036910,7.0,6678
tt0036914,7.3,3617
tt0036922,7.0,2308
tt0036931,6.2,7237
tt0036940,7.1,2388
tt0036947,5.7,2208
tt0036953,6.6,2038
tt0036959,5.7,2378
tt0036962,7.0,2642
tt0036969,7.5,9031
tt0036983,7.2,2867
tt0037008,7.9,48678
tt0037017,7.6,29841
tt0037024,7.1,3731
tt0037055,7.2,3757
tt0037059,7.5,25632
tt0037075,7.1,8313
tt0037077,7.6,7699
tt0037090,7.8,2098
tt0037094,7.6,6312
tt0037098,5.4,3133
tt0037099,5.6,3156
tt0037101,7.5,14055
tt0037120,7.3,7586
tt0037135,6.4,2621
tt0037166,6.8,4689
tt0037168,7.1,4520
tt0037193,6.8,2269
tt0037219,6.1,2438
tt0037248,7.2,5452
tt0037263,7.4,2819
tt0037280,7.5,4752
tt0037303,7.0,4781
tt0037323,7.5,2271
tt0037330,7.4,2737
tt0037343,6.9,3284
tt0037365,7.3,5912
tt0037366,7.2,6149
tt0037367,7.3,3667
tt0037382,7.8,35942
tt0037415,7.2,11494
tt0037449,6.9,2103
tt0037469,7.6,16785
tt0037492,6.3,2350
tt0037508,6.4,2222
tt0037514,7.0,9034
tt0037515,7.4,15584
tt0037522,6.6,4143
tt0037536,7.2,8652
tt0037547,6.0,2106
tt0037549,7.3,9617
tt0037558,8.0,41420
tt0037595,7.3,10845
tt0037604,7.3,3793
tt0037611,7.1,4246
tt0037614,7.3,3079
tt0037615,6.6,2382
tt0037630,7.2,4590
tt0037635,7.6,13324
tt0037638,7.3,18254
tt0037644,6.5,2041
tt0037671,7.5,3288
tt0037674,8.3,20382
tt0037691,7.0,6014
tt0037761,7.4,3615
tt0037793,5.7,5757
tt0037794,7.2,5134
tt0037795,6.6,3100
tt0037798,2.6,3011
tt0037800,7.5,9143
tt0037820,6.5,4930
tt0037824,7.7,10372
tt0037859,6.8,2373
tt0037865,7.6,13748
tt0037884,7.9,38213
tt0037913,7.9,26859
tt0037932,7.0,3390
tt0037939,7.0,2068
tt0037954,7.3,5129
tt0037963,7.6,2174
tt0037988,7.5,13675
tt0038008,6.8,3787
tt0038011,7.7,2086
tt0038032,7.1,3550
tt0038057,7.8,17690
tt0038107,7.1,3631
tt0038109,7.5,49806
tt0038116,7.0,4285
tt0038120,7.2,3373
tt0038151,6.3,2499
tt0038160,7.2,8766
tt0038166,6.3,14661
tt0038182,6.7,4102
tt0038190,8.0,8036
tt0038213,7.3,2154
tt0038235,6.9,3822
tt0038256,6.6,2472
tt0038259,6.6,6379
tt0038260,6.8,2359
tt0038268,6.0,2490
tt0038279,6.9,2913
tt0038300,6.8,2967
tt0038303,7.0,2491
tt0038333,7.7,2095
tt0038338,6.5,2872
tt0038343,6.8,4154
tt0038348,7.9,27024
tt0038355,7.9,87402
tt0038360,6.9,3335
tt0038363,7.0,7306
tt0038369,7.1,9044
tt0038390,6.2,2960
tt0038395,6.9,2448
tt0038409,6.5,2231
tt0038417,6.6,3181
tt0038419,7.4,3825
tt0038453,7.1,4819
tt0038455,7.1,5266
tt0038458,6.8,2038
tt0038461,7.0,3681
tt0038492,6.9,4880
tt0038494,6.8,6403
tt0038499,6.8,9014
tt0038559,7.6,33231
tt0038574,7.8,25168
tt0038576,7.7,2189
tt0038577,7.4,5186
tt0038586,8.0,2929
tt0038589,7.0,4525
tt0038622,7.3,4622
tt0038650,8.6,468433
tt0038669,7.7,22286
tt0038675,6.4,3274
tt0038700,7.1,2862
tt0038718,6.2,4606
tt0038733,8.0,23028
tt0038762,7.7,24416
tt0038769,7.4,2417
tt0038776,6.1,2965
tt0038777,6.9,7050
tt0038787,7.9,102984
tt0038823,7.6,8915
tt0038824,7.9,2305
tt0038836,7.7,3132
tt0038854,7.4,21712
tt0038873,7.3,6328
tt0038890,8.0,27374
tt0038913,8.0,7691
tt0038924,6.7,2153
tt0038934,5.2,2822
tt0038937,6.2,3020
tt0038965,7.1,3220
tt0038969,7.0,14471
tt0038975,7.3,10540
tt0038984,7.2,3830
tt0038988,7.4,10322
tt0038990,6.6,2229
tt0038991,7.3,27212
tt0039011,6.1,2359
tt0039017,6.7,6416
tt0039029,7.0,2414
tt0039035,6.3,2534
tt0039037,7.6,3485
tt0039040,7.6,2874
tt0039041,7.3,2732
tt0039066,6.5,3148
tt0039080,7.1,2398
tt0039090,7.1,3689
tt0039111,7.2,6083
tt0039116,6.4,3428
tt0039152,6.8,6246
tt0039169,7.2,9146
tt0039190,7.6,19199
tt0039192,7.7,25821
tt0039204,7.6,5097
tt0039208,7.2,4824
tt0039211,7.2,5594
tt0039220,7.3,6449
tt0039224,7.6,10795
tt0039226,6.8,2072
tt0039243,6.8,2089
tt0039251,8.2,4520
tt0039286,7.3,9074
tt0039294,6.8,2817
tt0039302,7.5,20616
tt0039305,7.1,8163
tt0039313,6.8,2310
tt0039335,7.0,3620
tt0039349,7.0,2915
tt0039370,7.2,2714
tt0039383,7.0,2682
tt0039396,6.9,2021
tt0039402,6.3,2468
tt0039404,6.4,8695
tt0039416,7.2,17000
tt0039417,7.8,12827
tt0039420,7.8,19736
tt0039431,6.8,2695
tt0039482,7.0,3048
tt0039502,7.6,5761
tt0039515,6.8,2394
tt0039536,7.4,8913
tt0039545,6.5,5834
tt0039566,7.1,5904
tt0039589,7.0,4172
tt0039628,7.9,51006
tt0039631,7.8,18139
tt0039645,6.7,3577
tt0039651,7.7,2004
tt0039661,7.7,12644
tt0039677,7.7,10640
tt0039689,8.0,38534
tt0039694,6.5,11730
tt0039725,7.1,5652
tt0039737,7.2,3495
tt0039739,7.7,6096
tt0039757,6.7,4546
tt0039768,7.2,3192
tt0039776,6.9,3398
tt0039806,6.3,2297
tt0039808,6.9,6545
