length,kbytes,curlybrackets,roundbrackets,colon,semicolon,comma,other,lines,words,lower,upper,digit,relat,space,ext
9,406,4,2,9,0,9,55,18,36,96,13,115,0,86,json
9,416,4,2,9,0,9,55,18,36,96,13,125,0,86,json
9,402,4,2,9,0,9,53,18,36,96,13,113,0,86,json
9,403,4,2,9,0,9,55,18,36,96,13,112,0,86,json
9,412,4,2,9,0,9,51,18,36,96,13,125,0,86,json
10,35000,140,60,39,11,194,3483,979,4282,24193,706,341,2350,3483,html
9,4520,60,88,18,36,42,894,164,457,2651,148,52,172,359,html
12,17080,0,,,,,,,,,,,,,html
15,265,0,0,0,0,0,33,12,37,165,16,4,18,29,html
13,378,10,0,14,0,9,77,20,39,193,4,5,0,66,json
20,623,4,0,2,2,0,133,3,50,187,18,214,16,47,html
15,536,14,0,13,0,9,77,7,64,335,24,5,0,59,json
19,1041,19,22,0,15,4,226,50,161,479,138,10,6,122,pl
21,500597,10925,38761,4182,12319,14351,76052,855,9563,291070,26732,15778,1663,8764,html
21,842,6,24,0,11,6,113,39,99,550,47,8,0,77,java
9,4055,46,206,3,46,6,600,149,490,2453,228,11,38,418,java
8,5076,56,214,15,85,22,831,222,738,2613,241,95,0,682,java
7,2637,42,136,0,56,6,601,133,439,1377,50,23,9,337,java
14,3236,44,160,6,61,7,597,152,459,1783,151,61,6,360,java
17,157,2,0,0,1,0,32,11,21,94,7,0,0,21,java
10,14476,136,478,20,228,77,2153,498,1633,8955,903,15,72,1439,java
13,4331,50,90,2,48,28,648,170,581,2677,169,7,11,601,java
13,1071,16,22,0,19,2,202,71,146,655,36,1,0,118,java
9,4417,0,202,24,0,26,385,117,263,2460,212,10,0,1098,py
13,2283,0,88,9,0,12,220,85,138,1246,143,18,0,547,py
15,4401,0,152,21,0,87,537,130,487,2937,62,83,0,393,py
13,193146392,3084,,,,,,,,,,,,,json
26,46013,0,,,,,,,,,,,,,ipynb
19,34190,936,74,965,0,1201,7461,911,2757,13658,71,3250,2,6572,ipynb
13,25578,176,168,250,324,383,4328,473,1577,10675,277,4961,16,4020,ipynb
13,201521,996,,,,,,,,,,,,,json
9,14632,456,102,837,0,456,2293,476,830,7019,401,1367,0,1701,json
37,46065,0,,,,,,,,,,,,,ipynb
30,34190,936,74,965,0,1201,7461,911,2757,13658,71,3250,2,6572,ipynb
26,45292,920,248,1024,23,1443,8532,1456,4960,19410,664,935,42,12051,ipynb
9,14632,456,102,837,0,456,2293,476,830,7019,401,1367,0,1701,json
8,1520,34,0,96,0,67,253,29,96,657,31,266,0,116,json
9,10381,194,24,233,1,267,1634,451,1360,5379,201,193,1,2254,ipynb
10,10852572,0,,,,,,,,,,,,,json
9,105128,1692,200,5184,0,4008,28776,5781,11127,38689,2901,18332,0,5346,json
18,7585,66,92,112,2,231,1289,252,769,3634,77,72,0,2010,ipynb
28,22921,76,,,,,,,,,,,,,ipynb
19,21316,76,,,,,,,,,,,,,ipynb
12,3507,28,28,46,47,68,727,89,214,1383,32,632,5,511,ipynb
13,3301,28,20,46,41,62,673,82,204,1321,32,574,5,499,ipynb
10,411,2,12,5,0,4,43,17,52,239,6,16,0,84,py
13,3170,26,28,45,38,81,684,102,204,1120,15,522,5,606,ipynb
10,10852572,0,,,,,,,,,,,,,json
9,105128,1692,200,5184,0,4008,28776,5781,11127,38689,2901,18332,0,5346,json
29,7585,66,92,112,2,231,1289,252,769,3634,77,72,0,2010,ipynb
30,21316,76,,,,,,,,,,,,,ipynb
39,22921,76,,,,,,,,,,,,,ipynb
27,1751,44,14,53,1,53,367,97,164,767,6,28,0,418,ipynb
23,3170,28,28,46,47,58,674,83,186,1187,16,616,5,465,ipynb
24,3301,28,20,46,41,62,673,82,204,1321,32,574,5,499,ipynb
24,3170,26,28,45,38,81,684,102,204,1120,15,522,5,606,ipynb
12,19918,470,142,487,1,589,3649,731,2030,8752,313,455,1,5059,ipynb
9,10381,194,24,233,1,267,1634,451,1360,5379,201,193,1,2254,ipynb
28,22921,76,,,,,,,,,,,,,ipynb
19,21326,76,,,,,,,,,,,,,ipynb
10,10852572,0,,,,,,,,,,,,,json
9,105128,1692,200,5184,0,4008,28776,5781,11127,38689,2901,18332,0,5346,json
30,21326,76,,,,,,,,,,,,,ipynb
39,22921,76,,,,,,,,,,,,,ipynb
28,22921,76,,,,,,,,,,,,,ipynb
16,1749,44,14,53,1,53,367,97,164,767,6,26,0,418,ipynb
11,39361,466,572,1217,3,1320,7198,1486,4134,16846,653,2347,6,8733,ipynb
18,6404,44,70,88,2,194,1060,200,623,3081,69,59,0,1737,ipynb
8,1607,36,0,102,0,71,262,30,100,695,31,282,0,128,json
14,146565,0,,,,,,,,,,,,,html
9,187865,0,,,,,,,,,,,,,html
12,104284,0,,,,,,,,,,,,,html
17,3622,18,18,32,15,12,477,94,411,2244,98,133,180,395,html
10,29168,0,,,,,,,,,,,,,html
16,78390,0,,,,,,,,,,,,,html
9,25857,286,88,323,374,96,2965,420,2595,15631,605,1484,1558,2447,html
12,3160,0,8,9,2,21,274,36,389,2147,113,60,142,384,html
17,72218,0,,,,,,,,,,,,,html
13,41958,0,,,,,,,,,,,,,html
14,37372,0,,,,,,,,,,,,,html
13,43976,386,,,,,,,,,,,,,html
10,42744,520,150,559,610,151,4867,763,4510,26070,969,2410,2266,4172,html
10,30147,0,228,207,197,222,3993,629,3761,19299,669,756,1183,3393,html
10,962,30,8,43,0,33,106,35,55,434,11,104,0,193,json
10,810784,0,,,,,,,,,,,,,json
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,html
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,html
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,html
13,148248176,0,,,,,,,,,,,,,json
19,3244,80,10,85,0,89,612,163,373,1566,19,37,0,746,ipynb
11,1960,56,2,92,0,84,310,6,86,1187,54,95,0,80,json
8,1521,34,0,96,0,67,252,29,96,660,30,266,0,116,json
9,2918888,4876,,,,,,,,,,,,,json
10,10852572,0,,,,,,,,,,,,,json
9,105128,1692,200,5184,0,4008,28776,5781,11127,38689,2901,18332,0,5346,json
10,10852572,0,,,,,,,,,,,,,json
9,177,0,2,3,7,0,11,8,15,136,0,0,3,8,mzn
14,493,0,42,3,7,0,61,14,75,144,33,0,12,178,mzn
9,339,0,24,3,8,8,60,12,44,152,12,12,2,46,mzn
10,836,2,22,2,6,15,89,21,123,342,15,31,0,291,mzn
10,920,0,24,3,7,18,120,18,153,506,28,31,6,159,mzn
10,569,0,40,2,9,18,90,17,71,278,16,15,6,78,mzn
10,132,0,6,2,4,0,27,6,19,60,6,7,0,15,mzn
11,1017,0,58,9,19,18,200,33,151,505,0,46,0,129,mzn
15,1039,0,18,18,14,38,203,38,148,448,1,76,0,185,mzn
12,1481,2,62,18,18,49,195,44,187,672,0,95,1,325,mzn
6,1677,0,74,14,26,26,287,77,242,851,25,69,0,228,mzn
14,8590,0,52,56,54,60,1497,177,969,5337,123,191,372,848,html
10,5074,0,34,61,50,29,424,116,596,3501,102,144,214,515,html
7,6571,0,86,64,68,106,1201,149,672,3472,79,385,526,584,html
14,7391,2,38,48,41,79,1221,204,970,4000,142,250,373,1197,html
14,3788,0,24,44,33,34,916,108,406,1901,77,176,257,326,html
14,5180,0,44,71,42,70,1106,158,606,2618,141,214,338,536,html
14,6817,0,76,72,75,92,1245,166,706,3565,86,416,588,602,html
14,5658,0,44,64,49,66,1008,150,657,3148,72,233,358,616,html
11,1051,0,30,3,11,81,193,37,161,347,20,50,0,279,mzn
15,1156,0,38,4,13,30,162,32,113,509,25,44,0,299,mzn
10,30098,0,228,206,197,222,3972,627,3759,19295,652,754,1181,3391,html
10,30098,0,228,206,197,222,3972,627,3759,19295,652,754,1181,3391,html
10,61886,30,640,515,478,710,8233,1816,7703,35442,2320,2187,3827,7504,html
10,2873,0,20,32,28,20,816,79,231,1376,59,121,224,177,html
13,487,0,0,11,19,0,77,26,68,223,2,67,16,47,mzn
16,530,0,18,14,19,0,114,32,93,165,2,94,3,70,mzn
6,2242,0,30,35,57,1,294,94,360,1185,135,104,15,292,mzn
15,2363,24,80,1,46,24,392,94,215,1274,112,23,19,274,java
15,2432,20,76,1,46,22,363,91,242,1356,116,25,17,299,java
13,3447,2,110,29,0,141,431,114,258,1709,109,43,0,873,pl
9,1316,10,14,2,11,7,212,46,191,721,123,13,0,157,java
16,1937,22,26,2,26,9,299,74,256,1084,187,13,0,195,java
10,1704,12,16,2,11,6,307,62,255,935,124,13,0,216,java
18,1340,2,6,2,4,6,209,42,194,733,126,32,2,176,java
18,2246,14,16,2,8,10,350,73,325,1158,316,13,0,286,java
15,2632,24,102,12,31,10,453,95,288,1443,235,14,3,210,java
29,2414,14,84,3,20,34,387,81,270,1310,238,27,2,214,java
21,16777,142,352,54,140,211,3075,582,1912,9457,1014,108,41,1601,java
23,8402,90,330,11,91,121,1252,227,776,4680,938,73,15,574,java
22,1661,6,30,2,8,17,259,55,202,925,174,13,0,172,java
16,1461,6,16,2,4,6,228,49,216,821,126,13,0,190,java
13,1245,2,6,2,2,6,189,36,186,699,119,13,0,171,java
24,3011,24,72,7,22,7,473,108,396,1713,212,38,2,333,java
19,3969,14,44,6,22,10,285,115,486,2385,236,27,12,928,java
9,711,0,0,0,1,1,70,29,82,363,15,5,52,175,html
12,1817,0,0,0,4,1,249,74,163,879,29,15,130,436,html
15,1733,14,48,1,27,14,276,78,144,946,81,14,14,220,java
15,1733,14,48,1,27,14,276,78,144,946,81,14,14,220,java
13,1665,0,24,9,15,50,175,51,226,921,16,107,4,293,mzn
13,2275,0,23,12,22,52,251,63,310,1342,32,116,6,356,mzn
7,649,0,42,6,10,12,106,22,95,304,14,29,0,105,mzn
7,515,0,30,3,8,9,91,23,80,230,14,18,0,90,mzn
7,527,0,32,3,8,9,95,23,81,230,17,20,0,91,mzn
10,683,0,32,3,7,9,115,22,88,290,0,10,0,196,mzn
12,271,0,18,3,8,0,47,12,31,150,0,9,0,24,mzn
10,278,0,8,2,8,1,63,12,37,133,5,17,3,27,mzn
6,1623,0,7,12,8,38,218,62,247,845,26,91,2,314,mzn
6,1336,0,48,3,11,54,200,28,139,308,19,55,6,604,mzn
6,1496,0,66,4,11,74,267,31,186,672,6,90,8,268,mzn
6,1269,0,,,,,,,,,,,,,mzn
9,1246,0,68,6,14,10,219,55,198,468,61,43,4,299,mzn
7,1108,0,54,7,17,7,179,61,150,560,46,46,7,124,mzn
6,810,0,0,5,6,42,141,45,121,120,35,75,0,341,mzn
9,1631,0,46,13,24,53,258,66,215,456,152,88,3,472,mzn
9,907,0,0,8,10,28,162,56,125,219,39,57,0,329,mzn
6,1699,0,44,13,23,51,275,76,229,511,140,85,2,480,mzn
12,1250,16,42,1,27,11,287,57,160,624,42,21,6,116,java
9,1700,22,48,1,28,15,422,59,204,874,43,21,9,158,java
12,695,0,44,9,13,13,129,23,85,329,18,33,2,82,mzn
8,4041,82,0,78,0,93,621,171,484,2246,70,26,2,823,ipynb
8,11751,226,6,270,0,282,2246,609,1403,5245,141,301,12,3022,ipynb
8,40328,876,230,969,0,1163,6977,2073,5118,18940,205,604,6,10358,ipynb
8,24703,492,198,566,34,614,4633,1209,2886,11204,199,665,15,6083,ipynb
8,23401,424,142,530,29,668,3936,1075,2841,11085,137,717,12,5721,ipynb
8,25522,452,150,573,19,669,4494,1189,2900,12236,240,535,5,6149,ipynb
13,25578,176,168,250,324,383,4328,473,1577,10675,277,4961,16,4020,ipynb
11,10592,140,112,168,0,257,1759,378,1129,5914,173,112,0,1957,ipynb
22,7788,0,,,,,,,,,,,,,ipynb
13,266145,230,928,280,0,34271,55515,4160,24575,72224,16352,42309,14,44022,ipynb
11,29742,592,266,616,0,824,5138,1412,3665,13977,350,563,21,7395,ipynb
12,44912,972,432,1041,1,1581,8033,2225,5427,20517,342,883,12,11098,ipynb
12,13012,0,,,,,,,,,,,,,ipynb
13,193146392,3084,,,,,,,,,,,,,json
13,201521,996,,,,,,,,,,,,,json
18,63659,62,76,78,0,218,3945,215,490,25558,22975,9320,6,1421,ipynb
8,47177,94,261,153,3,594,4909,538,1549,18339,12200,6171,34,4419,ipynb
17,34238,70,220,125,3,537,5042,453,1230,13657,7270,3710,8,3596,ipynb
20,15727,36,48,58,3,1132,3351,656,1440,2335,216,3109,0,5439,ipynb
15,62115,174,348,247,9,659,5671,743,2280,26329,15946,7332,147,5253,ipynb
20,21323,102,224,133,3,435,3990,472,1166,8202,2397,2719,2,3116,ipynb
18,62499,74,744,237,3,2604,13253,822,2949,14236,4804,16656,4,9884,ipynb
12,14671,200,170,243,4,650,2813,669,1680,5665,330,605,1,3990,ipynb
14,41691,194,284,275,5,827,7137,799,2562,13151,3973,5234,12,10599,ipynb
18,23190,96,216,169,174,638,4927,406,1382,9583,477,3742,21,3147,ipynb
16,2048,32,26,42,0,77,386,92,238,956,30,62,0,437,ipynb
19,47177,94,261,153,3,594,4909,538,1549,18339,12200,6171,34,4419,ipynb
29,23190,96,216,169,174,638,4927,406,1382,9583,477,3742,21,3147,ipynb
27,2048,32,26,42,0,77,386,92,238,956,30,62,0,437,ipynb
15,7261,110,20,140,0,246,1336,306,946,3545,144,102,0,1618,ipynb
18,9782,144,86,196,0,339,1892,436,1218,4488,163,137,0,2337,ipynb
29,9782,144,86,196,0,339,1892,436,1218,4488,163,137,0,2337,ipynb
16,9647,134,80,187,13,339,1887,421,1189,4430,173,141,0,2263,ipynb
22,10201,134,98,186,0,363,1989,438,1261,4690,199,152,0,2390,ipynb
26,10375,134,112,187,2,384,2041,455,1281,4680,167,188,1,2479,ipynb
26,11401,132,96,182,33,347,2264,434,1276,5133,172,565,5,2472,ipynb
22,9647,134,90,191,0,334,1862,417,1215,4454,168,140,0,2274,ipynb
23,9889,150,90,203,0,347,1925,439,1227,4568,163,128,0,2315,ipynb
28,8965,116,86,151,0,300,1616,344,1170,4434,192,106,0,1964,ipynb
23,9203,134,64,182,0,327,1792,400,1150,4272,166,123,0,2143,ipynb
27,9798,136,108,192,1,357,1926,423,1208,4456,164,175,0,2283,ipynb
31,9593,142,84,190,0,331,1864,418,1202,4423,160,143,0,2256,ipynb
25,8590,124,90,161,0,304,1656,360,1072,4092,167,106,0,1890,ipynb
28,10203,172,66,203,0,352,1972,465,1244,4612,166,148,0,2512,ipynb
25,9752,0,,,,,,,,,,,,,ipynb
24,9512,134,92,173,0,319,1775,399,1195,4421,179,136,1,2282,ipynb
19,10231,168,76,206,0,353,1993,454,1265,4645,164,146,0,2480,ipynb
17,9817,136,78,185,0,336,1897,418,1235,4590,178,133,0,2284,ipynb
15,25655,88,60,122,8,289,2237,293,1170,11616,6291,2924,8,2012,ipynb
15,7281,0,90,41,0,110,778,186,1005,4205,274,466,1,1316,py
24,17924,86,124,144,181,347,2975,331,1439,7939,310,2967,17,2834,ipynb
35,24846,90,102,136,1,328,2118,330,1323,11135,5778,2702,4,2452,ipynb
19,24926,90,118,136,0,334,2131,339,1274,11176,5767,2696,4,2474,ipynb
24,24901,0,,,,,,,,,,,,,ipynb
22,26780,92,130,148,0,380,2438,381,1511,12260,5785,2720,12,2815,ipynb
34,14707,0,,,,,,,,,,,,,ipynb
35,25807,98,110,153,0,359,2292,361,1361,11315,6077,2745,5,2653,ipynb
22,26156,90,88,137,1,333,2178,336,1372,11686,6230,2819,4,2590,ipynb
15,26444,96,114,159,0,370,2220,360,1378,11645,6216,2861,5,2758,ipynb
28,25534,94,88,142,0,339,2201,344,1407,11287,6062,2732,6,2583,ipynb
23,24920,90,88,138,0,328,2141,334,1297,11167,5785,2706,6,2471,ipynb
36,24878,94,104,141,0,331,2122,337,1300,11141,5763,2697,4,2481,ipynb
37,26691,100,114,154,3,446,2455,377,1420,11470,6137,3006,6,2800,ipynb
15,25100,90,98,137,1,336,2161,341,1331,11296,5779,2710,4,2488,ipynb
23,14524,94,94,144,0,353,1908,348,1409,6914,1636,808,3,2570,ipynb
25,24642,90,112,141,1,323,2051,327,1286,11069,5770,2699,4,2382,ipynb
25,25414,88,90,138,0,352,2172,345,1320,11389,5775,2687,5,2718,ipynb
28,25560,94,102,149,0,339,2243,343,1330,11576,5795,2720,4,2538,ipynb
18,14653,140,123,196,0,406,2680,515,1796,6267,208,1111,88,3434,ipynb
29,14653,140,123,196,0,406,2680,515,1796,6267,208,1111,88,3434,ipynb
34,15742,140,131,192,0,446,3096,549,1861,6678,222,1081,86,3670,ipynb
25,57376,152,363,281,1054,672,10144,579,2696,22045,484,15078,121,6982,ipynb
26,15658,140,169,199,42,407,2919,530,1848,6782,283,1101,84,3532,ipynb
25,15235,140,141,194,0,408,2800,533,1853,6617,211,1065,83,3576,ipynb
32,15810,144,125,199,0,423,2945,548,1954,6778,256,1052,84,3804,ipynb
35,15841,144,125,201,0,413,3012,542,1878,6843,284,1060,84,3675,ipynb
24,14323,140,145,198,0,434,2583,554,1595,6505,255,562,13,3488,ipynb
28,15544,140,127,191,0,425,2882,538,1857,6818,209,1075,83,3594,ipynb
13,148248176,0,,,,,,,,,,,,,json
8,6900,126,26,139,0,160,1133,273,829,3488,123,152,0,1553,ipynb
19,7466,144,38,151,0,175,1242,282,846,3722,147,188,0,1659,ipynb
11,8781,162,62,173,0,206,1485,334,957,4323,167,202,0,2001,ipynb
22,8781,162,62,173,0,206,1485,334,957,4323,167,202,0,2001,ipynb
23,8011,0,,,,,,,,,,,,,ipynb
8,9522,132,66,156,51,185,1694,290,906,4502,160,828,5,1743,ipynb
28,8068,134,66,158,0,196,1375,301,892,4073,173,174,0,1719,ipynb
22,8980,144,84,159,0,225,1584,320,994,4461,190,217,0,1916,ipynb
31,11679,136,95,166,54,226,1995,340,1095,5499,229,896,6,2377,ipynb
22,10288,146,74,164,54,205,1810,313,949,4845,183,881,5,1921,ipynb
15,9074,144,82,172,0,235,1537,316,983,4405,184,282,8,2025,ipynb
24,8596,158,66,167,0,200,1483,323,934,4290,173,208,0,1851,ipynb
23,8131,128,66,153,0,193,1398,311,902,4069,161,198,2,1763,ipynb
8,8803,162,74,172,0,222,1540,335,947,4361,168,196,0,1908,ipynb
30,81571,196,70,598,0,1028,7250,1160,6002,44174,1466,15414,4,11371,ipynb
8,8473,140,72,152,26,209,1499,310,915,4244,179,192,0,1760,ipynb
22,7213,116,50,136,0,168,1217,269,840,3666,146,191,2,1521,ipynb
8,300553,132,56,155,0,7927,49154,2889,8647,125963,5124,89673,2,22367,ipynb
25,8730,168,64,172,0,213,1539,335,962,4289,174,217,0,1894,ipynb
8,7440,124,60,141,0,191,1282,258,856,3859,152,147,0,1484,ipynb
27,8974,182,56,185,0,218,1562,348,968,4413,166,219,0,1973,ipynb
28,9191,166,70,174,0,214,1586,334,1008,4477,318,212,0,1974,ipynb
15,22543,172,154,230,4,564,3234,548,1846,9513,3142,1960,3,3567,ipynb
18,24071,180,214,239,4,656,3709,625,1992,9939,3103,1819,8,4200,ipynb
29,24086,188,220,250,4,621,3567,600,1962,10165,3177,2001,7,3886,ipynb
15,22542,172,154,230,4,564,3233,548,1846,9513,3142,1960,3,3567,ipynb
18,23815,182,220,245,4,605,3537,592,1949,10108,3183,1888,7,3836,ipynb
19,25884,170,272,244,32,628,4079,630,2025,10734,3141,2219,18,4347,ipynb
22,29519,172,262,247,121,673,4871,646,2154,11792,3240,3422,22,4697,ipynb
34,139908,182,222,1238,5,8874,20844,1711,11156,53601,24050,11003,5,19884,ipynb
22,25349,174,216,241,4,678,3944,621,2047,10449,3338,1974,5,4326,ipynb
23,24099,178,222,239,4,615,3746,615,2000,9897,3108,1872,7,4211,ipynb
24,28647,186,310,260,67,700,4506,673,2195,11579,3427,2792,22,4798,ipynb
23,24591,180,242,239,4,653,3915,629,2012,9969,3165,1909,5,4310,ipynb
15,24547,170,192,235,3,695,3944,625,1988,9764,3320,1958,7,4259,ipynb
27,34177,182,260,243,4,683,5136,661,2123,12664,5504,4914,7,4580,ipynb
31,24762,172,244,240,25,620,3733,609,2005,10388,3237,1902,6,4195,ipynb
19,25514,178,200,240,4,686,4069,648,2058,10333,3395,1967,6,4436,ipynb
15,31461,168,188,326,4,1240,4324,547,2582,13420,4993,2511,3,4284,ipynb
27,24632,172,194,227,4,642,3821,619,1996,10146,3225,1944,7,4250,ipynb
8,209781,196,136,257,7,585,9271,714,2245,84397,78767,30025,393,5747,ipynb
11,214261,198,182,256,7,725,11021,811,2406,86000,77811,31216,393,6452,ipynb
18,221547,224,250,284,7,935,12478,973,2996,89259,78176,31723,398,7813,ipynb
22,214261,198,182,256,7,725,11021,811,2406,86000,77811,31216,393,6452,ipynb
14,217452,212,392,347,397,876,13121,898,3111,87510,71539,34544,416,8098,ipynb
27,205812,234,872,596,360,1155,15459,1016,3851,87063,59124,31060,418,9471,ipynb
23,215894,204,176,271,7,727,10638,824,2473,86790,78423,31746,393,6519,ipynb
20,42825,174,371,297,268,778,7524,761,2703,17069,1496,7322,410,7116,ipynb
25,207525,198,172,257,7,735,10326,833,2472,83243,75535,30141,393,6518,ipynb
21,217942,266,222,344,7,831,11115,951,2761,86722,78923,31869,395,7248,ipynb
31,219318,214,186,276,7,788,11163,874,2574,87804,78796,32832,393,6859,ipynb
19,167196,206,255,296,81,796,9517,858,2633,67239,57297,24194,408,6907,ipynb
21,191393,212,469,390,448,970,13566,889,3266,77723,58399,30252,417,8547,ipynb
28,214107,204,194,269,7,748,10506,837,2548,85451,78214,31477,393,6644,ipynb
21,5206,48,54,64,3,142,1007,182,489,2670,162,89,6,961,ipynb
18,39991,68,186,117,25,359,3090,339,1149,17450,10814,5278,19,2585,ipynb
8,2614,24,14,41,3,68,504,88,253,1347,127,31,0,455,ipynb
14,13445,68,258,103,3,431,2450,407,1242,6145,278,595,1,3113,ipynb
