tienda,ciudad,periodo,visitas,precio,precio_z,compras
12,3,3,131,10.719427986194809,-0.9360328145186751,54
12,3,4,145,15.896026169417757,1.0369203102567905,7
12,3,5,154,14.01234685503736,0.31899497438150853,18
12,3,6,142,9.82860280461029,-1.2755523722336213,47
12,3,7,163,15.091459248296207,0.7302763010187701,17
13,3,0,120,11.97434217006764,-0.4577482784654115,35
13,3,1,171,10.122652200490212,-1.1634815384725912,58
13,3,2,121,14.293738726508185,0.42624165501128214,8
13,3,3,160,15.51275243520109,0.8908434689021972,16
13,3,4,132,11.827862633548953,-0.5135759183673896,21
13,3,5,119,15.117944879281806,0.7403707504168405,8
13,3,6,111,11.347468416515351,-0.6966682191552425,34
13,3,7,119,9.044105577524146,-1.5745472334870112,50
14,3,0,105,14.876763291524071,0.648449386161237,7
14,3,1,110,16.63179735303246,1.3173442497731045,5
14,3,2,146,15.489479264811447,0.8819733822896236,8
14,3,3,163,16.762509339185943,1.367162414598592,1
14,3,4,124,11.7474367339713,-0.5442285833547688,12
14,3,5,80,14.13797921801199,0.3668771460955586,7
14,3,6,91,11.207621985615706,-0.7499677883059563,17
14,3,7,82,13.380952575795558,0.07835212900232764,6
