MAGNITUD,ANO,MES,DIA,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
7,2019,1,5,93.0,61.0,63.0,64.0,64.0,50.0,59.0,90.0,99.0,124.0,111.0,107.0,113.0,118.0,97.0,78.0,87.0,269.0,326.0,584.0,213.0,216.0,149.0,97.0
8,2019,1,5,77.0,63.0,59.0,55.0,55.0,47.0,51.0,58.0,63.0,71.0,70.0,77.0,84.0,95.0,91.0,90.0,103.0,151.0,155.0,240.0,137.0,128.0,107.0,83.0
12,2019,1,5,220.0,156.0,157.0,152.0,153.0,124.0,142.0,197.0,214.0,261.0,240.0,242.0,258.0,276.0,239.0,209.0,237.0,564.0,655.0,1136.0,464.0,459.0,335.0,231.0
14,2019,1,5,3.05,3.02,3.0,2.95,2.76,2.84,3.01,2.87,3.09,3.79,6.47,9.88,11.08,11.71,14.02,14.01,9.74,4.25,3.18,3.13,3.18,3.14,3.05,2.91
6,2019,1,6,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.8,0.9,0.7,0.6,0.5,0.6,1.5,2.2,2.1,1.7,1.1,0.8,0.8
7,2019,1,6,97.0,71.0,69.0,48.0,55.0,53.0,43.0,61.0,69.0,62.0,80.0,107.0,116.0,77.0,53.0,44.0,56.0,251.0,567.0,473.0,328.0,147.0,114.0,104.0
8,2019,1,6,74.0,66.0,58.0,51.0,52.0,51.0,51.0,51.0,53.0,52.0,59.0,84.0,93.0,89.0,84.0,85.0,91.0,141.0,245.0,224.0,177.0,115.0,101.0,94.0
12,2019,1,6,222.0,175.0,164.0,124.0,136.0,131.0,116.0,145.0,159.0,146.0,181.0,248.0,271.0,208.0,165.0,153.0,176.0,526.0,1114.0,949.0,680.0,340.0,275.0,253.0
14,2019,1,6,2.85,3.02,2.79,2.86,2.87,3.02,3.06,2.83,3.13,4.96,7.88,10.5,11.99,16.77,23.92,24.73,16.33,4.16,2.9,2.95,2.69,2.83,2.87,3.01
6,2019,1,7,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.7,0.5,0.6,0.6,0.5,0.6,1.4,2.8,2.3,1.2,1.0,1.1,0.7
7,2019,1,7,83.0,60.0,33.0,23.0,21.0,28.0,31.0,43.0,54.0,73.0,95.0,99.0,40.0,60.0,63.0,46.0,60.0,285.0,523.0,423.0,204.0,144.0,158.0,82.0
8,2019,1,7,85.0,75.0,65.0,59.0,57.0,56.0,55.0,57.0,66.0,63.0,77.0,82.0,66.0,81.0,90.0,80.0,93.0,154.0,214.0,215.0,148.0,118.0,124.0,87.0
12,2019,1,7,213.0,168.0,116.0,94.0,89.0,98.0,103.0,122.0,149.0,175.0,223.0,235.0,128.0,172.0,187.0,150.0,185.0,592.0,1017.0,864.0,461.0,339.0,366.0,213.0
14,2019,1,7,2.83,2.79,3.39,3.37,2.88,2.84,3.17,3.34,3.95,5.38,8.93,12.76,26.59,23.64,21.65,25.83,16.4,3.83,2.84,2.9,2.92,3.07,3.19,3.04
6,2019,1,8,0.7,0.5,0.5,0.4,0.3,0.4,0.5,0.8,0.8,0.8,0.9,0.9,0.9,0.6,0.4,0.4,0.5,0.6,2.1,2.0,0.9,0.9,1.2,0.8
7,2019,1,8,81.0,45.0,41.0,28.0,12.0,29.0,67.0,139.0,151.0,176.0,200.0,171.0,153.0,84.0,36.0,29.0,55.0,109.0,525.0,470.0,163.0,162.0,208.0,102.0
8,2019,1,8,85.0,66.0,61.0,54.0,44.0,47.0,59.0,81.0,83.0,93.0,102.0,105.0,109.0,88.0,62.0,64.0,80.0,102.0,213.0,213.0,130.0,115.0,126.0,94.0
12,2019,1,8,209.0,134.0,123.0,96.0,63.0,92.0,161.0,294.0,315.0,363.0,409.0,367.0,343.0,216.0,117.0,109.0,164.0,269.0,1018.0,934.0,379.0,364.0,445.0,250.0
14,2019,1,8,3.14,2.84,2.96,3.05,5.22,5.29,3.39,3.06,3.03,3.87,5.5,7.66,9.71,18.26,30.11,33.04,24.06,10.89,3.1,3.0,2.86,3.07,3.18,3.41
6,2019,1,9,0.7,0.6,0.6,0.5,0.4,0.5,0.8,0.9,0.8,1.1,1.4,0.8,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.7,1.0,1.1,1.0,0.4
7,2019,1,9,86.0,77.0,71.0,57.0,33.0,71.0,196.0,130.0,145.0,261.0,365.0,189.0,83.0,55.0,35.0,39.0,39.0,41.0,67.0,100.0,197.0,252.0,271.0,15.0
8,2019,1,9,81.0,69.0,67.0,58.0,50.0,60.0,88.0,73.0,79.0,116.0,154.0,120.0,83.0,70.0,58.0,66.0,66.0,75.0,96.0,114.0,134.0,147.0,150.0,57.0
12,2019,1,9,213.0,187.0,177.0,146.0,101.0,169.0,390.0,272.0,301.0,516.0,715.0,410.0,210.0,154.0,112.0,125.0,126.0,139.0,199.0,268.0,436.0,533.0,565.0,80.0
14,2019,1,9,3.34,3.3,3.22,3.15,3.06,3.06,2.86,3.09,3.23,3.87,4.44,7.38,15.28,25.61,33.26,29.62,32.36,23.19,11.16,5.41,3.45,3.5,3.71,24.58
6,2019,1,10,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.8,0.7,0.5,0.4,0.4,0.3,0.4,0.3,0.3,0.5,0.5,0.5,0.4,0.4,0.5,0.5
7,2019,1,10,30.0,5.0,8.0,14.0,13.0,25.0,50.0,96.0,128.0,89.0,840.0,341.0,164.0,41.0,53.0,40.0,45.0,56.0,69.0,61.0,46.0,45.0,43.0,33.0
8,2019,1,10,68.0,38.0,47.0,54.0,47.0,49.0,57.0,72.0,85.0,34.0,89.0,46.0,251.0,56.0,68.0,59.0,71.0,95.0,107.0,104.0,89.0,82.0,77.0,78.0
12,2019,1,10,113.0,45.0,60.0,75.0,66.0,88.0,134.0,219.0,281.0,122.0,929.0,387.0,416.0,119.0,149.0,120.0,140.0,181.0,213.0,198.0,160.0,150.0,143.0,128.0
14,2019,1,10,16.81,32.61,19.72,5.27,8.4,5.37,5.31,3.9,3.3,5.07,22.6,30.16,39.34,45.76,43.38,48.6,41.83,24.47,16.51,15.48,18.8,20.6,20.87,20.63
6,2019,1,11,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.9,0.9,0.8,0.7,0.6,0.5,0.6,0.4,0.4,0.4,0.5,1.1,1.1,1.0,1.1,0.6,0.8
7,2019,1,11,25.0,18.0,21.0,19.0,29.0,38.0,105.0,366.0,325.0,190.0,165.0,120.0,101.0,86.0,60.0,54.0,43.0,55.0,162.0,226.0,188.0,221.0,80.0,136.0
8,2019,1,11,59.0,55.0,59.0,60.0,73.0,64.0,84.0,178.0,174.0,112.0,107.0,105.0,105.0,105.0,88.0,80.0,82.0,103.0,148.0,174.0,158.0,167.0,105.0,118.0
12,2019,1,11,98.0,82.0,91.0,90.0,117.0,123.0,244.0,739.0,672.0,403.0,361.0,288.0,259.0,236.0,180.0,163.0,148.0,187.0,396.0,521.0,445.0,506.0,228.0,326.0
14,2019,1,11,33.72,30.84,18.02,15.46,6.39,4.3,3.42,2.76,2.95,4.2,6.73,15.08,18.59,22.58,26.8,28.82,26.03,13.54,3.73,3.11,3.24,3.16,3.25,3.01
6,2019,1,12,0.6,0.5,0.4,0.4,0.6,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.5,0.4,0.4,0.4,0.3,0.4,0.7,0.8,0.6,0.6,0.8,0.7
7,2019,1,12,85.0,61.0,47.0,46.0,71.0,38.0,46.0,74.0,97.0,83.0,125.0,102.0,49.0,39.0,45.0,32.0,24.0,30.0,131.0,109.0,61.0,90.0,122.0,99.0
8,2019,1,12,93.0,80.0,72.0,69.0,76.0,60.0,64.0,70.0,79.0,73.0,95.0,92.0,63.0,55.0,66.0,56.0,53.0,70.0,126.0,124.0,108.0,110.0,114.0,103.0
12,2019,1,12,224.0,174.0,144.0,140.0,185.0,118.0,134.0,183.0,227.0,200.0,287.0,249.0,137.0,114.0,135.0,105.0,89.0,116.0,326.0,292.0,201.0,247.0,301.0,254.0
14,2019,1,12,3.06,3.24,2.99,3.17,2.98,2.93,3.38,3.12,3.12,5.46,8.56,13.56,31.93,40.28,38.73,42.4,42.5,29.85,4.79,3.59,3.38,3.38,3.18,3.07
6,2019,1,13,0.7,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.6,0.8,0.6,0.5,0.4,0.4,0.5,0.5,0.5,1.0,0.9,1.1,1.3,1.6,0.8
7,2019,1,13,89.0,67.0,71.0,54.0,57.0,46.0,50.0,51.0,84.0,92.0,121.0,71.0,66.0,56.0,52.0,60.0,62.0,49.0,216.0,168.0,192.0,294.0,305.0,115.0
8,2019,1,13,90.0,78.0,72.0,63.0,59.0,57.0,54.0,54.0,64.0,70.0,84.0,66.0,70.0,69.0,70.0,81.0,90.0,87.0,143.0,130.0,150.0,170.0,177.0,106.0
12,2019,1,13,227.0,181.0,180.0,147.0,146.0,126.0,131.0,132.0,193.0,210.0,270.0,176.0,171.0,154.0,149.0,173.0,185.0,161.0,474.0,388.0,444.0,621.0,645.0,282.0
14,2019,1,13,3.24,3.52,3.12,3.02,3.1,3.19,3.17,3.06,3.13,5.06,6.98,15.55,21.34,26.01,27.17,23.0,18.76,13.74,3.66,3.6,3.46,3.53,3.47,3.28
6,2019,1,14,0.5,0.5,0.5,0.5,0.5,0.5,0.6,1.2,1.0,1.0,1.0,1.1,1.0,0.9,0.7,0.6,0.6,0.9,2.2,2.6,1.9,1.5,1.3,1.1
7,2019,1,14,47.0,55.0,71.0,55.0,46.0,59.0,136.0,310.0,201.0,248.0,251.0,274.0,220.0,225.0,171.0,128.0,128.0,232.0,596.0,661.0,393.0,320.0,247.0,197.0
8,2019,1,14,71.0,68.0,68.0,59.0,56.0,61.0,83.0,131.0,104.0,125.0,134.0,163.0,174.0,180.0,148.0,126.0,131.0,164.0,271.0,328.0,228.0,198.0,163.0,137.0
12,2019,1,14,144.0,152.0,176.0,143.0,126.0,151.0,291.0,607.0,412.0,505.0,519.0,583.0,511.0,525.0,410.0,322.0,327.0,520.0,1186.0,1341.0,830.0,689.0,541.0,439.0
14,2019,1,14,4.33,3.27,3.12,3.29,3.21,3.47,3.35,3.28,3.54,4.07,5.09,6.6,9.05,9.23,10.58,11.68,9.21,5.26,3.48,3.36,3.34,3.4,3.61,3.44
6,2019,1,15,0.9,1.0,1.0,0.5,0.4,0.4,0.6,1.3,1.1,1.4,0.9,0.7,0.5,0.5,0.4,0.4,0.3,0.7,1.2,1.7,1.8,1.4,0.9,0.8
7,2019,1,15,143.0,176.0,169.0,58.0,43.0,38.0,107.0,323.0,251.0,212.0,185.0,158.0,89.0,99.0,72.0,55.0,49.0,144.0,266.0,540.0,380.0,279.0,167.0,132.0
8,2019,1,15,107.0,114.0,109.0,69.0,61.0,59.0,83.0,153.0,137.0,124.0,119.0,117.0,93.0,102.0,92.0,83.0,78.0,124.0,167.0,261.0,231.0,188.0,137.0,115.0
12,2019,1,15,326.0,384.0,368.0,158.0,127.0,118.0,247.0,648.0,522.0,449.0,402.0,359.0,230.0,253.0,202.0,168.0,153.0,344.0,574.0,1089.0,815.0,616.0,393.0,318.0
14,2019,1,15,3.39,3.47,3.24,3.11,3.38,4.17,3.85,3.29,3.22,4.18,6.17,8.95,16.66,16.94,23.62,30.03,33.01,13.56,3.32,3.19,3.22,3.18,3.27,3.5
6,2019,1,16,0.7,0.6,0.6,0.5,0.4,0.4,0.5,0.7,0.8,1.0,1.1,0.5,0.5,0.5,0.3,0.4,0.3,0.3,0.5,0.5,0.5,0.7,0.5,0.5
7,2019,1,16,103.0,85.0,88.0,70.0,44.0,58.0,83.0,147.0,189.0,241.0,268.0,124.0,106.0,99.0,35.0,30.0,28.0,33.0,40.0,40.0,70.0,151.0,103.0,58.0
8,2019,1,16,98.0,89.0,81.0,71.0,61.0,60.0,69.0,86.0,102.0,123.0,140.0,92.0,91.0,92.0,51.0,46.0,47.0,62.0,74.0,69.0,98.0,128.0,108.0,87.0
12,2019,1,16,256.0,219.0,216.0,178.0,128.0,149.0,196.0,311.0,392.0,493.0,551.0,281.0,254.0,244.0,105.0,91.0,90.0,113.0,136.0,130.0,205.0,359.0,266.0,175.0
14,2019,1,16,3.21,3.36,3.19,3.18,3.19,3.35,3.22,3.17,3.27,3.83,4.71,10.36,13.8,15.71,36.45,40.06,41.05,31.7,19.89,24.78,9.41,3.85,4.26,3.72
6,2019,1,17,0.5,0.4,0.3,0.4,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.6,0.7,0.7,0.6,0.7,0.8,0.9,1.1,0.6,0.9,0.7
7,2019,1,17,71.0,37.0,18.0,25.0,23.0,29.0,68.0,104.0,123.0,111.0,90.0,106.0,91.0,102.0,121.0,105.0,74.0,119.0,182.0,179.0,231.0,80.0,137.0,125.0
8,2019,1,17,80.0,62.0,49.0,59.0,60.0,58.0,73.0,89.0,98.0,95.0,85.0,90.0,85.0,89.0,104.0,104.0,91.0,101.0,125.0,137.0,144.0,87.0,102.0,89.0
12,2019,1,17,189.0,119.0,76.0,97.0,95.0,102.0,178.0,249.0,286.0,266.0,223.0,252.0,224.0,245.0,289.0,265.0,204.0,283.0,403.0,412.0,497.0,210.0,313.0,281.0
14,2019,1,17,3.58,5.58,8.93,4.27,3.95,11.87,3.71,3.72,3.97,4.65,5.32,5.74,7.64,7.39,8.13,7.53,7.37,5.29,4.03,3.79,3.7,3.84,3.56,3.38
6,2019,1,18,0.9,0.7,0.5,0.4,0.3,0.3,0.6,0.8,1.0,1.1,0.7,0.7,0.5,0.4,0.3,0.4,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.8
7,2019,1,18,168.0,110.0,56.0,33.0,35.0,37.0,104.0,165.0,269.0,264.0,242.0,146.0,116.0,68.0,37.0,33.0,33.0,38.0,57.0,52.0,41.0,74.0,94.0,153.0
8,2019,1,18,97.0,82.0,50.0,48.0,49.0,46.0,68.0,91.0,123.0,130.0,144.0,114.0,105.0,82.0,51.0,48.0,53.0,58.0,86.0,89.0,82.0,92.0,97.0,112.0
12,2019,1,18,355.0,251.0,136.0,98.0,103.0,102.0,227.0,344.0,536.0,534.0,515.0,337.0,282.0,186.0,109.0,99.0,103.0,117.0,174.0,169.0,146.0,206.0,242.0,348.0
14,2019,1,18,3.27,3.37,3.29,4.23,4.05,3.33,3.22,3.14,3.29,3.66,4.49,6.36,9.36,15.57,37.55,38.76,39.25,34.16,23.41,15.22,14.33,6.47,3.76,3.5
6,2019,1,19,0.6,0.5,0.4,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.4,0.4,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4
7,2019,1,19,55.0,58.0,36.0,33.0,44.0,38.0,84.0,128.0,177.0,132.0,84.0,76.0,60.0,65.0,31.0,31.0,33.0,35.0,30.0,41.0,47.0,69.0,61.0,47.0
8,2019,1,19,87.0,77.0,63.0,55.0,61.0,57.0,70.0,80.0,98.0,89.0,74.0,70.0,64.0,72.0,43.0,44.0,48.0,54.0,52.0,67.0,73.0,89.0,77.0,63.0
12,2019,1,19,171.0,167.0,118.0,106.0,128.0,116.0,198.0,276.0,369.0,292.0,203.0,187.0,156.0,171.0,91.0,92.0,98.0,108.0,98.0,130.0,146.0,195.0,171.0,135.0
14,2019,1,19,3.76,3.66,3.24,4.66,3.21,3.19,3.23,3.08,3.2,5.53,8.28,8.99,15.41,13.65,38.17,32.26,31.61,26.6,26.14,15.03,8.32,4.76,5.98,8.21
6,2019,1,20,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.4,0.7,0.9,0.9,0.8,0.8
7,2019,1,20,27.0,23.0,15.0,17.0,19.0,18.0,19.0,18.0,39.0,74.0,31.0,35.0,30.0,25.0,27.0,24.0,19.0,19.0,23.0,97.0,159.0,170.0,107.0,142.0
8,2019,1,20,54.0,48.0,42.0,35.0,39.0,40.0,41.0,36.0,50.0,72.0,47.0,46.0,38.0,33.0,37.0,37.0,29.0,40.0,66.0,115.0,137.0,136.0,120.0,117.0
12,2019,1,20,96.0,84.0,65.0,61.0,67.0,67.0,70.0,63.0,110.0,185.0,94.0,99.0,85.0,72.0,78.0,73.0,57.0,69.0,101.0,264.0,381.0,397.0,284.0,336.0
14,2019,1,20,11.96,14.79,13.82,12.99,7.49,7.24,8.75,11.16,5.16,11.43,41.89,46.98,55.72,61.7,59.07,56.52,59.79,48.97,26.05,5.33,4.11,3.79,4.02,3.7
6,2019,1,21,0.8,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.7,1.2,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.7,0.7
7,2019,1,21,103.0,77.0,64.0,51.0,43.0,69.0,61.0,77.0,130.0,281.0,110.0,28.0,42.0,42.0,41.0,42.0,45.0,47.0,41.0,54.0,68.0,93.0,99.0,135.0
8,2019,1,21,107.0,93.0,80.0,70.0,69.0,77.0,70.0,79.0,100.0,153.0,104.0,45.0,54.0,50.0,55.0,57.0,63.0,68.0,74.0,87.0,107.0,116.0,124.0,122.0
12,2019,1,21,265.0,211.0,178.0,148.0,135.0,183.0,163.0,198.0,299.0,584.0,273.0,88.0,118.0,115.0,118.0,121.0,132.0,141.0,137.0,170.0,211.0,258.0,276.0,329.0
14,2019,1,21,3.7,3.69,3.6,3.72,3.69,3.58,3.63,3.56,3.49,4.28,12.13,40.46,40.82,44.4,46.44,46.24,42.69,38.06,33.76,24.71,12.74,8.5,2.92,3.08
6,2019,1,22,0.7,1.0,0.5,0.4,0.4,0.4,0.9,1.1,0.8,0.9,0.6,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.3
7,2019,1,22,152.0,113.0,58.0,42.0,39.0,46.0,163.0,266.0,219.0,287.0,174.0,50.0,23.0,21.0,19.0,21.0,22.0,23.0,31.0,40.0,36.0,23.0,19.0,27.0
8,2019,1,22,129.0,114.0,85.0,71.0,66.0,70.0,105.0,141.0,134.0,155.0,117.0,59.0,34.0,27.0,25.0,31.0,36.0,49.0,62.0,62.0,74.0,60.0,54.0,52.0
12,2019,1,22,362.0,287.0,173.0,135.0,125.0,140.0,354.0,549.0,469.0,595.0,384.0,135.0,70.0,59.0,54.0,64.0,69.0,85.0,109.0,123.0,129.0,95.0,83.0,93.0
14,2019,1,22,3.03,3.15,3.09,3.2,3.51,3.24,3.28,3.5,3.54,3.91,4.93,27.04,44.23,54.52,58.76,55.56,52.67,38.72,23.58,25.54,17.83,28.07,28.52,28.42
6,2019,1,23,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
7,2019,1,23,18.0,13.0,14.0,11.0,12.0,14.0,14.0,20.0,22.0,21.0,24.0,20.0,19.0,19.0,20.0,17.0,19.0,19.0,17.0,21.0,22.0,14.0,15.0,13.0
8,2019,1,23,35.0,13.0,10.0,6.0,7.0,9.0,19.0,33.0,42.0,42.0,40.0,27.0,20.0,18.0,19.0,17.0,21.0,25.0,25.0,31.0,28.0,19.0,18.0,12.0
12,2019,1,23,63.0,33.0,31.0,23.0,26.0,31.0,40.0,64.0,76.0,74.0,76.0,57.0,49.0,48.0,49.0,44.0,51.0,53.0,52.0,62.0,62.0,40.0,41.0,32.0
14,2019,1,23,44.49,65.3,71.3,72.8,72.6,71.8,63.47,52.58,47.01,45.31,48.71,51.49,62.71,67.44,69.36,70.11,67.59,66.32,65.86,65.3,65.96,71.05,70.4,73.79
6,2019,1,24,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.4,1.1,0.9,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.5,0.5,0.5,0.6,0.6,0.8,1.0
7,2019,1,24,13.0,14.0,11.0,12.0,11.0,13.0,15.0,57.0,270.0,223.0,77.0,55.0,38.0,41.0,47.0,28.0,45.0,67.0,104.0,70.0,68.0,89.0,173.0,218.0
8,2019,1,24,10.0,12.0,7.0,6.0,6.0,8.0,15.0,61.0,172.0,155.0,85.0,72.0,55.0,58.0,64.0,42.0,64.0,91.0,112.0,104.0,99.0,105.0,127.0,139.0
12,2019,1,24,29.0,34.0,24.0,24.0,23.0,27.0,38.0,148.0,585.0,496.0,203.0,156.0,113.0,120.0,136.0,85.0,133.0,194.0,271.0,211.0,204.0,242.0,392.0,473.0
14,2019,1,24,74.4,72.31,76.41,77.87,76.85,75.04,70.96,48.21,4.87,6.34,21.46,28.17,39.69,38.22,39.68,48.82,36.79,17.13,7.12,6.92,9.7,7.02,4.23,4.13
6,2019,1,25,1.0,0.7,0.4,0.4,0.4,0.5,0.4,0.7,0.6,0.8,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.7,0.7,0.7,0.5,0.4,0.4
7,2019,1,25,183.0,101.0,63.0,56.0,66.0,83.0,56.0,114.0,111.0,172.0,129.0,37.0,34.0,48.0,41.0,41.0,51.0,87.0,144.0,112.0,99.0,56.0,57.0,55.0
8,2019,1,25,129.0,100.0,86.0,77.0,77.0,79.0,68.0,88.0,92.0,112.0,97.0,53.0,44.0,61.0,55.0,58.0,72.0,99.0,139.0,128.0,124.0,93.0,89.0,81.0
12,2019,1,25,410.0,254.0,182.0,163.0,178.0,206.0,155.0,262.0,261.0,376.0,296.0,110.0,96.0,135.0,118.0,121.0,150.0,232.0,360.0,299.0,277.0,180.0,176.0,166.0
14,2019,1,25,4.14,4.15,4.16,4.08,4.04,4.02,4.16,4.18,4.53,5.66,11.37,35.32,48.95,43.05,48.11,45.47,37.83,21.36,5.35,5.28,6.6,14.82,15.66,18.68
6,2019,1,26,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.5,0.4,0.3,0.4,0.3,0.3,0.3,0.5,0.9,1.1,1.2,1.1,0.4
7,2019,1,26,81.0,40.0,40.0,40.0,25.0,24.0,49.0,49.0,76.0,97.0,115.0,80.0,61.0,46.0,39.0,26.0,25.0,38.0,86.0,208.0,257.0,289.0,181.0,50.0
8,2019,1,26,99.0,70.0,64.0,62.0,51.0,52.0,57.0,55.0,66.0,69.0,82.0,79.0,70.0,62.0,54.0,38.0,36.0,60.0,96.0,142.0,170.0,180.0,141.0,82.0
12,2019,1,26,224.0,131.0,125.0,124.0,90.0,88.0,131.0,130.0,184.0,217.0,258.0,202.0,164.0,133.0,114.0,77.0,74.0,119.0,228.0,460.0,564.0,623.0,419.0,158.0
14,2019,1,26,4.07,5.57,6.43,3.98,4.85,5.09,3.76,4.57,4.1,6.59,10.02,17.46,25.8,33.01,41.71,49.52,50.94,37.75,16.09,4.07,4.04,4.0,4.06,13.04
6,2019,1,27,0.8,0.4,0.6,0.6,0.4,0.6,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2
