Hora,I1,I2,I3,I4,I5,I6,I7,I8
21,327.0,453.6,261.6,195.3,522.0,390.15,262.05,458.19375
6,300.0,428.4,249.6,183.6,496.8,373.5,248.1,429.1875
7,393.0,529.2,302.4,229.5,627.6,469.35,319.65,544.29375
8,456.0,640.5,373.8,276.975,736.5,556.9875,370.4625,651.7546875
9,384.0,688.8,358.8,253.35,630.6,456.075,299.625,526.771875
10,333.0,478.8,270.0,208.35,568.2,432.675,289.425,484.246875
11,327.0,451.5,270.0,202.05,543.0,408.825,273.075,463.640625
12,318.0,445.2,258.0,192.15,517.8,395.775,266.325,455.634375
13,327.0,453.6,255.6,189.45,502.2,382.725,252.375,449.728125
14,333.0,470.4,273.6,202.5,531.6,404.55,266.85,472.89375
15,342.0,491.4,283.2,214.2,571.2,433.8,286.2,502.425
16,315.0,438.9,258.6,194.175,520.5,387.7875,260.0625,452.2546875
17,345.0,476.7,271.8,205.425,547.5,408.7125,274.2375,477.2578125
18,321.0,468.3,275.4,211.275,540.9,420.6375,279.4125,485.9859375
19,381.0,506.1,281.4,206.325,548.7,427.1625,279.1875,500.4890625
20,369.0,522.9,303.0,220.725,599.1,453.2625,310.6875,561.6515625
21,327.0,455.7,261.0,194.175,518.1,385.0875,259.1625,455.6671875
6,312.0,443.1,247.8,184.725,491.1,378.5625,249.7875,437.128125
7,390.0,535.5,306.6,230.175,621.3,468.7875,319.4625,550.4296875
8,450.0,869.4,433.2,302.85,780.6,568.125,372.975,653.953125
9,390.0,529.2,296.4,229.95,728.4,519.75,336.45,546.39375
10,357.0,518.7,291.0,224.325,575.1,440.6625,280.0875,511.7765625
11,348.0,470.4,260.4,192.15,513.0,420.75,273.45,474.46875
12,321.0,453.6,273.6,198.9,534.0,391.05,282.3,478.0125
13,324.0,455.7,253.8,191.475,512.1,384.6375,256.6125,442.9359375
14,357.0,493.5,282.6,213.075,555.3,481.275,291.225,492.121875
15,360.0,493.5,283.8,212.625,547.5,421.3125,279.6375,496.6828125
16,324.0,459.9,261.0,193.275,524.1,389.1375,260.5125,452.6484375
17,345.0,487.2,276.0,207.9,546.0,406.35,275.85,484.96875
18,336.0,491.4,282.0,210.15,529.8,409.275,280.425,503.671875
19,333.0,478.8,267.6,205.65,545.4,406.125,280.575,537.20625
20,351.0,493.5,285.0,211.275,605.7,446.7375,280.9125,499.8984375
21,333.0,453.6,259.2,191.7,519.6,425.7,270.3,461.2125
6,303.0,422.1,244.2,186.975,491.7,376.9875,245.6625,437.5546875
7,363.0,514.5,307.8,227.025,605.1,442.9125,298.8375,530.2828125
8,606.0,753.9,396.6,285.525,757.5,568.4625,373.0875,658.2515625
9,414.0,560.7,368.4,260.55,882.0,548.55,331.65,563.19375
10,369.0,499.8,295.2,225.0,585.6,432.0,279.6,479.85
11,345.0,466.2,273.6,207.0,540.0,393.3,265.5,465.4125
12,330.0,453.6,264.0,207.0,532.8,392.4,261.6,453.6
13,309.0,436.8,248.4,189.45,502.2,379.125,262.35,447.95625
14,336.0,472.5,271.8,206.325,534.3,394.7625,259.9875,479.4890625
15,363.0,600.6,314.4,222.3,582.0,436.05,285.75,504.13125
16,324.0,453.6,262.8,192.15,522.6,388.575,262.725,450.384375
17,336.0,480.9,275.4,208.575,558.9,411.1875,276.2625,476.9296875
18,345.0,470.4,283.2,205.2,568.8,402.3,280.5,549.675
19,372.0,558.6,303.6,214.65,552.6,405.225,285.075,501.440625
20,393.0,564.9,310.2,241.425,585.9,460.9125,297.6375,491.4328125
21,324.0,457.8,262.8,198.45,531.0,397.125,260.775,454.978125
6,300.0,424.2,242.4,185.4,508.8,374.4,252.0,462.0
7,405.0,548.1,318.6,240.975,614.1,460.6875,297.5625,608.934375
8,477.0,911.4,445.2,304.65,780.6,571.725,370.575,658.153125
9,378.0,554.4,306.0,228.15,623.4,478.575,304.725,621.46875
10,351.0,514.5,294.6,216.675,576.9,441.3375,282.7125,549.346875
11,324.0,459.9,264.6,193.725,512.7,401.0625,262.0875,468.7265625
12,336.0,459.9,264.6,196.425,530.7,388.0125,263.7375,459.6703125
13,321.0,451.5,272.4,200.25,523.8,381.825,250.875,446.315625
14,324.0,459.9,275.4,208.575,558.9,403.9875,279.8625,561.159375
15,366.0,495.6,285.6,214.2,568.8,425.7,275.1,492.7125
16,318.0,447.3,261.0,195.975,520.5,393.1875,286.125,472.959375
17,348.0,489.3,275.4,205.875,545.7,408.0375,272.8125,473.9109375
18,312.0,472.5,282.6,217.575,551.7,408.4875,264.5625,470.8921875
19,384.0,525.0,289.2,223.65,603.0,424.125,290.175,503.803125
20,339.0,474.6,295.2,227.7,627.6,481.95,310.65,519.61875
21,315.0,453.6,262.8,195.75,527.4,390.375,260.925,461.409375
6,327.0,441.0,252.0,188.1,493.2,373.95,255.45,439.81875
7,378.0,527.1,298.2,224.325,620.7,459.5625,304.3875,520.4390625
8,477.0,648.9,370.2,273.825,729.9,547.3125,366.0375,641.5828125
9,414.0,562.8,408.0,276.3,663.6,490.05,322.95,572.38125
10,363.0,495.6,289.2,211.05,557.4,437.625,289.875,501.440625
11,339.0,459.9,263.4,199.575,527.7,392.2875,260.3625,469.3171875
12,333.0,468.3,262.2,198.225,518.7,394.3125,258.6375,446.8078125
13,312.0,443.1,250.2,189.225,506.7,384.4125,257.7375,446.0203125
14,360.0,480.9,281.4,211.725,551.1,419.0625,305.775,519.553125
15,336.0,483.0,284.4,216.45,583.8,436.725,278.775,493.828125
16,318.0,441.0,250.8,190.35,503.4,383.175,253.725,453.009375
17,345.0,533.4,291.6,211.95,558.6,420.075,280.425,557.94375
18,324.0,466.2,260.4,195.75,532.2,410.175,285.525,491.334375
19,378.0,501.9,288.6,209.925,577.5,418.1625,289.3875,492.6140625
20,387.0,541.8,295.2,225.0,614.4,473.4,310.2,552.825
21,330.0,462.0,265.2,198.45,523.8,432.45,309.9,495.8625
6,315.0,430.5,249.0,191.475,495.3,378.3375,253.3125,444.2484375
7,378.0,535.5,313.8,233.775,638.1,476.8875,320.9625,539.1421875
8,450.0,634.2,372.0,279.0,746.4,555.3,369.9,655.4625
9,405.0,535.5,304.2,228.375,633.3,476.8875,310.1625,556.9921875
10,450.0,581.7,316.2,219.375,580.5,435.4875,350.325,566.934375
11,333.0,459.9,284.4,209.25,538.2,410.625,266.475,474.665625
12,333.0,468.3,263.4,195.975,520.5,387.7875,260.0625,462.7546875
13,327.0,470.4,260.4,195.75,517.8,379.575,252.525,437.259375
14,330.0,455.7,265.8,203.175,544.5,398.5875,273.2625,478.5046875
15,330.0,462.0,265.2,203.85,557.4,430.425,289.875,495.140625
16,360.0,480.9,269.4,195.525,512.7,390.2625,254.8875,456.1265625
17,342.0,476.7,275.4,206.775,556.5,419.2875,278.9625,489.7921875
18,336.0,476.7,276.6,214.425,569.1,416.8125,276.9375,581.240625
19,366.0,525.0,285.6,207.0,573.6,418.5,271.5,481.1625
20,417.0,539.7,310.2,297.45,687.0,506.025,313.875,514.040625
21,315.0,447.3,253.8,194.175,525.3,389.5875,281.325,468.759375
6,324.0,449.4,259.2,190.8,508.8,387.0,252.6,475.65
7,366.0,531.3,304.2,233.775,623.7,462.4875,314.9625,535.9921875
8,450.0,644.7,372.6,281.025,751.5,557.2125,375.3375,653.9203125
9,369.0,512.4,301.2,233.55,601.8,445.275,297.225,549.871875
10,444.0,550.2,310.8,217.35,594.6,424.575,295.125,522.834375
11,321.0,445.2,267.6,197.55,517.8,392.175,261.525,451.434375
12,324.0,451.5,255.0,192.825,521.1,391.6125,287.475,478.340625
13,324.0,447.3,251.4,190.575,503.7,383.2875,256.1625,442.5421875
14,363.0,567.0,300.0,220.5,579.6,424.35,272.25,462.91875
15,339.0,470.4,272.4,212.85,552.6,426.825,283.875,496.190625
16,318.0,491.4,295.2,207.9,534.0,400.05,261.75,453.73125
17,342.0,483.0,276.0,204.3,553.2,418.05,317.1,512.6625
18,432.0,701.4,339.6,230.85,562.2,399.825,271.275,487.265625
19,372.0,522.9,285.0,211.275,584.1,424.2375,278.2125,478.6359375
20,345.0,506.1,310.2,257.85,631.8,474.525,296.175,517.453125
21,318.0,451.5,257.4,191.025,513.9,388.9125,258.0375,452.5828125
6,306.0,428.4,249.6,190.8,494.4,367.2,243.6,442.05
7,474.0,600.6,319.2,239.4,614.4,460.8,316.8,558.6
8,624.0,756.0,405.6,292.5,752.4,553.95,369.45,648.76875
9,375.0,548.1,301.8,235.575,604.5,455.2875,318.5625,562.2421875
10,342.0,474.6,274.8,218.25,574.2,429.525,295.575,498.028125
11,339.0,466.2,262.8,196.65,531.0,404.325,265.575,463.378125
12,315.0,445.2,258.0,197.55,532.2,399.375,267.525,454.584375
13,327.0,457.8,256.8,189.0,511.2,384.3,263.4,453.075
14,324.0,455.7,294.0,213.75,563.4,407.475,272.625,463.246875
15,369.0,493.5,273.0,208.575,556.5,408.4875,268.1625,490.8421875
16,327.0,451.5,257.4,190.125,510.3,411.525,264.375,456.028125
17,336.0,470.4,268.8,203.4,552.0,412.2,273.0,476.175
18,330.0,459.9,256.2,199.575,522.9,403.0875,275.9625,459.8671875
19,384.0,499.8,296.4,210.15,568.2,423.675,286.425,494.221875
20,375.0,533.4,285.6,214.2,585.6,460.8,291.6,544.95
21,342.0,470.4,267.6,194.85,521.4,430.65,275.55,474.20625
6,312.0,430.5,250.2,191.025,497.1,368.2125,245.1375,443.3953125
7,387.0,543.9,317.4,235.125,615.9,464.9625,307.3875,541.9640625
8,477.0,648.9,369.0,276.975,1012.2,949.95,503.85,762.16875
9,393.0,550.2,315.6,243.45,653.4,491.625,313.875,564.440625
10,363.0,621.6,324.0,222.3,579.6,444.15,299.25,505.44375
11,348.0,472.5,275.4,202.275,524.1,405.3375,262.3125,450.0234375
12,330.0,462.0,260.4,206.1,529.2,392.85,260.55,481.1625
13,324.0,447.3,252.6,191.025,501.9,380.8125,250.5375,446.0203125
14,348.0,485.1,268.2,197.775,537.3,401.2875,268.1625,471.9421875
15,354.0,483.0,274.8,207.45,555.0,406.125,275.775,491.203125
16,318.0,451.5,258.6,193.275,514.5,385.5375,256.9125,447.3984375
17,339.0,537.6,291.6,211.95,561.0,419.175,277.725,486.609375
18,372.0,493.5,288.6,218.025,583.5,422.2125,267.9375,490.6453125
19,372.0,527.1,283.8,217.125,553.5,434.3625,277.9875,501.5390625
20,417.0,535.5,363.6,243.45,639.0,488.025,305.475,546.590625
21,327.0,449.4,256.8,194.4,520.8,393.3,263.1,452.8125
6,309.0,428.4,252.0,186.3,500.4,373.05,245.55,424.85625
7,366.0,531.3,301.8,223.875,617.7,471.0375,303.4125,521.6859375
8,465.0,644.7,364.2,276.975,736.5,556.9875,368.0625,651.7546875
9,366.0,533.4,316.8,236.7,649.2,473.85,309.15,547.70625
10,333.0,480.9,291.0,216.225,561.9,412.3125,298.875,644.83125
11,318.0,459.9,271.8,200.925,541.5,434.925,274.575,479.653125
12,321.0,459.9,279.6,201.15,522.6,390.375,264.525,456.159375
13,327.0,453.6,256.8,192.6,508.8,385.2,253.2,444.15
14,354.0,497.7,332.4,225.45,562.2,407.025,279.675,498.815625
15,330.0,483.0,283.2,212.4,576.0,430.2,286.2,483.525
16,321.0,451.5,255.0,191.925,510.3,391.1625,257.5875,452.1890625
17,351.0,485.1,279.0,209.025,557.1,414.1125,272.4375,484.0828125
18,342.0,462.0,272.4,204.75,546.6,402.975,263.925,466.134375
19,366.0,510.3,291.0,207.225,573.9,415.0125,277.5375,482.2453125
20,378.0,499.8,292.8,221.4,624.0,432.0,304.8,514.5
21,315.0,441.0,254.4,191.7,514.8,383.85,258.75,451.10625
6,309.0,438.9,250.2,188.325,493.5,379.4625,250.0875,428.8265625
7,363.0,525.0,312.0,229.5,610.8,463.05,299.55,662.8125
8,450.0,634.2,362.4,278.1,752.4,559.35,374.85,651.39375
9,405.0,556.5,311.4,234.675,608.1,449.4375,316.6125,531.1359375
10,357.0,491.4,282.0,206.55,573.0,439.875,282.225,498.946875
11,384.0,506.1,276.6,200.025,528.3,396.1125,304.875,508.265625
12,315.0,449.4,256.8,193.5,517.2,390.15,256.05,448.74375
13,324.0,449.4,258.0,193.95,515.4,384.075,255.225,448.021875
14,360.0,476.7,306.0,213.75,570.6,431.775,285.525,482.934375
15,351.0,476.7,282.6,215.775,685.8,467.775,295.125,506.034375
16,327.0,459.9,259.8,196.425,528.3,394.3125,257.4375,443.6578125
17,339.0,474.6,272.4,203.85,545.4,415.125,277.575,486.478125
18,366.0,501.9,275.4,204.075,557.7,410.7375,277.3125,488.3484375
19,333.0,520.8,286.8,211.05,562.2,432.225,282.075,475.715625
20,336.0,483.0,303.6,215.55,609.0,435.375,283.125,499.734375
21,315.0,453.6,259.2,194.4,520.8,391.5,256.5,451.2375
6,321.0,449.4,253.2,185.85,509.4,376.425,246.675,430.040625
7,393.0,550.2,303.6,232.65,603.0,449.325,302.175,545.803125
8,471.0,653.1,369.0,276.075,990.6,645.075,403.425,678.496875
9,393.0,651.0,349.2,240.75,635.4,474.075,324.825,550.921875
10,366.0,508.2,297.6,225.9,594.0,435.15,284.25,488.11875
11,342.0,466.2,262.8,194.85,521.4,398.925,258.975,472.303125
12,324.0,459.9,262.2,194.625,557.4,407.025,267.675,467.315625
13,315.0,438.9,256.2,190.575,503.7,381.4875,256.7625,440.9671875
14,330.0,455.7,268.2,203.175,542.1,412.0875,268.1625,469.8421875
15,342.0,472.5,281.4,213.525,572.7,418.1625,276.1875,474.7640625
16,327.0,455.7,258.6,194.175,520.5,394.9875,257.6625,454.3546875
17,348.0,478.8,273.6,206.1,553.2,416.25,277.95,478.40625
18,342.0,468.3,281.4,217.125,587.1,428.9625,274.9875,459.0140625
19,348.0,476.7,285.0,210.375,551.7,404.8875,289.7625,484.5421875
20,402.0,535.5,297.0,210.375,597.3,474.1875,317.6625,550.9546875
21,333.0,459.9,257.4,191.925,510.3,380.3625,252.7875,447.9890625
6,303.0,426.3,249.0,191.475,512.1,384.075,275.25,457.14375
7,399.0,531.3,303.0,227.025,595.5,439.3125,304.8375,529.2328125
8,456.0,646.8,374.4,279.0,753.6,561.6,367.2,651.0
9,381.0,531.3,304.2,222.975,606.9,452.5875,298.4625,544.6546875
10,363.0,525.0,289.2,216.45,588.6,418.725,271.575,506.428125
11,333.0,478.8,277.2,202.95,525.0,396.675,295.65,500.19375
12,315.0,451.5,263.4,197.775,525.3,387.7875,263.6625,459.6046875
13,309.0,436.8,254.4,189.9,500.4,374.85,253.35,437.98125
14,351.0,476.7,277.8,204.975,539.7,402.1875,266.0625,486.9046875
15,360.0,508.2,292.8,218.7,579.6,418.95,275.25,578.2875
16,333.0,462.0,264.0,198.0,516.0,384.3,260.1,497.175
17,351.0,491.4,277.2,204.75,551.4,417.375,273.525,480.834375
18,351.0,474.6,264.0,194.4,525.6,396.9,279.9,478.0125
19,354.0,495.6,283.2,205.2,576.0,423.0,288.6,506.625
20,399.0,552.3,306.6,240.075,588.9,445.8375,299.8125,516.4359375
21,315.0,441.0,258.0,193.05,511.8,384.525,255.375,450.253125
6,303.0,434.7,252.6,184.725,488.7,363.2625,247.0875,445.1015625
7,393.0,558.6,318.0,240.75,810.0,523.35,335.25,574.74375
8,471.0,657.3,367.8,273.825,737.1,550.0125,371.7375,657.0703125
9,414.0,667.8,344.4,244.35,781.2,512.55,324.45,565.29375
10,339.0,508.2,295.2,216.0,573.6,416.7,275.7,510.0375
11,339.0,468.3,268.2,198.675,528.9,399.9375,270.1125,479.9484375
12,333.0,468.3,268.2,199.575,534.9,396.7875,266.6625,458.0296875
13,321.0,441.0,256.8,189.0,513.6,387.0,258.6,450.975
14,336.0,470.4,264.0,196.2,532.8,392.4,265.2,458.85
15,351.0,501.9,276.6,229.05,583.8,418.725,273.975,521.45625
16,333.0,504.0,271.2,216.0,540.0,395.1,263.7,461.7375
17,336.0,470.4,268.8,201.6,542.4,412.2,276.6,485.625
18,396.0,604.8,321.6,216.0,585.6,426.6,267.0,470.925
19,360.0,483.0,280.8,217.8,595.2,419.4,281.4,515.025
20,357.0,518.7,303.0,228.825,749.4,484.425,354.15,555.58125
21,330.0,459.9,257.4,196.425,523.5,392.5125,261.6375,449.4328125
6,309.0,432.6,247.2,189.9,498.0,368.55,251.25,442.44375
7,405.0,546.0,300.0,230.4,614.4,455.4,306.6,547.575
8,474.0,659.4,368.4,279.45,754.2,569.025,379.275,653.165625
9,390.0,560.7,310.2,231.525,596.7,454.1625,301.3875,530.4140625
10,372.0,512.4,291.6,220.95,565.8,413.775,273.525,482.934375
11,342.0,476.7,263.4,199.575,520.5,391.3875,289.725,482.409375
12,318.0,449.4,260.4,193.05,509.4,387.225,255.075,456.290625
13,327.0,453.6,258.0,192.15,503.4,374.175,255.525,439.884375
14,342.0,537.6,296.4,214.65,550.2,418.725,272.775,478.078125
15,369.0,613.2,309.6,216.9,570.0,413.55,272.25,479.71875
16,327.0,453.6,254.4,189.0,518.4,390.6,256.2,442.575
17,339.0,472.5,308.4,220.95,575.4,420.975,274.725,481.884375
18,369.0,487.2,266.4,197.1,529.2,396.45,270.15,465.28125
19,363.0,514.5,294.6,217.575,556.5,433.6875,327.525,544.884375
20,390.0,541.8,294.0,226.35,573.0,452.475,312.825,513.121875
21,327.0,449.4,254.4,191.7,510.0,380.25,256.35,444.80625
6,318.0,451.5,251.4,187.875,490.5,372.9375,245.5125,435.3234375
7,360.0,510.3,305.4,231.525,606.3,445.1625,295.9875,517.2890625
8,450.0,638.4,362.4,276.3,747.6,555.75,373.65,656.64375
