x,y,z,l,t,h,label
0.03,-0.02,0.02,745.0,23.3,47.0,1
0.0,-0.02,0.01,745.5,23.3,47.0,1
0.02,-0.02,0.01,746.0,23.4,47.0,1
0.01,-0.02,0.0,745.5,23.35,47.0,1
0.02,-0.02,0.0,745.0,23.3,47.0,1
0.01,-0.02,0.0,745.0,23.3,47.0,1
-0.01,-0.04,0.02,745.5,23.3,47.0,1
0.0,-0.02,-0.01,746.0,23.4,47.0,1
0.02,-0.04,0.02,745.5,23.35,47.0,1
-0.01,-0.02,-0.05,745.0,23.3,47.0,1
0.0,-0.0,-0.02,745.5,23.4,47.0,1
0.0,-0.02,0.0,746.0,23.4,47.0,1
-0.0,-0.03,-0.01,745.0,23.4,47.0,1
0.02,-0.03,0.01,744.0,23.35,47.0,1
0.0,-0.05,0.04,745.0,23.3,47.0,1
0.0,-0.0,0.02,744.5,23.3,47.0,1
0.0,-0.01,-0.04,745.0,23.3,47.0,1
-0.01,-0.02,-0.03,745.5,23.3,47.5,1
0.02,-0.01,-0.02,746.0,23.3,48.0,1
0.01,0.0,0.01,746.0,23.3,47.0,1
0.01,0.0,-0.1,745.0,23.4,47.0,1
0.02,-0.05,0.01,745.0,23.3,47.0,1
0.02,-0.05,0.01,745.0,23.35,47.5,1
0.0,-0.02,0.01,745.0,23.4,48.0,1
0.0,-0.04,0.01,745.5,23.4,48.0,1
0.02,-0.03,0.01,745.5,23.4,48.0,1
0.0,-0.02,-0.01,745.0,23.3,48.0,1
0.0,-0.04,0.0,746.0,23.35,48.0,1
0.02,-0.02,-0.01,745.0,23.4,48.0,1
0.02,-0.04,-0.01,745.0,23.3,49.0,1
0.0,-0.01,0.0,746.0,23.4,49.0,1
0.01,-0.02,0.0,745.0,23.35,49.0,1
0.0,-0.03,-0.01,745.5,23.35,48.5,1
0.0,-0.05,-0.01,745.0,23.4,48.0,1
-0.01,-0.01,0.01,746.0,23.4,48.0,1
0.0,-0.05,-0.02,746.0,23.4,48.0,1
0.0,-0.04,-0.01,746.0,23.35,48.0,1
0.02,-0.06,0.0,746.0,23.3,48.0,1
-0.0,-0.01,-0.02,745.0,23.3,48.0,1
-0.0,-0.02,-0.01,745.5,23.4,48.0,1
0.0,-0.05,0.17,745.0,23.4,48.0,1
0.01,-0.02,-0.02,745.0,23.4,48.0,1
0.02,-0.05,0.0,745.0,23.4,48.0,1
-0.0,-0.02,-0.01,746.0,23.4,48.0,1
0.02,-0.05,0.04,746.0,23.3,48.0,1
0.0,-0.01,0.0,746.0,23.3,48.0,1
0.01,-0.05,0.02,745.0,23.35,48.0,1
0.0,0.02,0.01,745.0,23.4,48.0,1
0.02,0.01,0.01,745.0,23.3,48.0,1
0.02,-0.05,0.05,746.0,23.3,48.0,1
0.0,-0.02,0.0,745.5,23.35,48.0,1
0.0,-0.05,0.0,745.0,23.4,48.0,1
0.0,-0.05,0.0,745.5,23.3,48.0,1
0.02,-0.01,-0.03,746.0,23.4,48.0,1
-0.02,0.02,0.0,746.0,23.3,48.0,1
-0.0,-0.02,0.0,745.0,23.3,48.0,1
0.0,-0.02,0.0,745.0,23.3,48.0,1
-0.0,-0.05,0.01,745.0,23.4,48.0,1
0.0,-0.05,-0.02,745.0,23.4,48.0,1
0.0,-0.02,-0.02,745.0,23.4,48.0,1
0.0,-0.01,-0.02,745.5,23.4,48.0,1
0.02,-0.02,0.02,745.0,23.4,48.0,1
-0.0,-0.02,0.0,745.5,23.3,48.0,1
0.18,-0.05,-0.02,745.0,23.3,48.0,1
0.02,-0.0,-0.02,745.0,23.35,47.5,1
0.01,-0.02,-0.02,746.0,23.35,47.0,1
0.0,-0.05,0.02,745.0,23.3,47.0,1
-0.0,-0.04,0.01,746.0,23.4,48.0,1
0.0,-0.02,-0.02,746.0,23.3,48.0,1
0.01,-0.0,0.0,745.5,23.35,48.0,1
-0.01,-0.01,0.01,744.0,23.4,48.0,1
0.0,-0.02,0.0,745.5,23.4,48.0,1
0.0,-0.05,-0.01,745.0,23.4,48.0,1
0.0,-0.06,-0.01,746.0,23.4,48.0,1
0.02,-0.05,-0.02,745.0,23.35,48.0,1
-0.01,-0.02,-0.02,745.0,23.3,48.0,1
-0.0,-0.05,0.0,745.0,23.4,48.0,1
-0.01,-0.02,0.01,745.0,23.3,48.0,1
0.01,-0.02,-0.01,744.5,23.35,48.0,1
-0.0,-0.02,-0.01,745.5,23.4,48.0,1
0.0,0.04,-2.04,73.83333333333333,23.683333333333326,47.0,2
0.02,0.02,-2.02,74.0,23.7,47.0,2
0.07,0.01,-2.05,76.0,23.7,47.0,2
0.02,0.04,-2.05,74.5,23.7,47.0,2
0.02,0.06,-2.05,75.0,23.7,47.0,2
0.03,0.04,-2.01,75.0,23.7,47.0,2
0.02,0.02,-2.05,75.0,23.7,47.0,2
0.02,-0.02,-2.04,76.0,23.7,47.0,2
0.02,0.06,-2.02,75.0,23.7,47.0,2
0.0,0.04,-2.09,75.0,23.7,47.0,2
0.02,0.04,-2.02,74.5,23.8,47.0,2
0.01,0.04,-2.04,74.5,23.8,47.0,2
0.03,0.02,-2.05,74.0,23.8,47.0,2
0.01,-0.04,-2.05,74.5,23.8,47.0,2
0.03,0.06,-2.04,74.0,23.8,47.0,2
0.02,0.03,-2.04,74.5,23.8,47.0,2
0.02,0.06,-1.98,75.0,23.8,47.0,2
-0.0,0.15,-2.02,75.0,23.8,47.0,2
0.0,0.05,-2.04,74.5,23.8,47.0,2
0.04,0.06,-2.05,74.0,23.8,47.0,2
0.0,0.0,-2.03,75.0,23.8,47.0,2
0.04,0.06,-2.04,74.0,23.8,46.0,2
0.0,0.0,-2.03,73.5,23.8,46.0,2
0.02,0.01,-2.05,73.0,23.8,46.0,2
0.02,0.1,-2.05,73.0,23.8,46.0,2
0.02,0.04,-2.06,74.0,23.8,46.0,2
0.0,0.02,-2.06,74.0,23.8,46.0,2
0.02,0.03,-2.02,75.0,23.8,46.0,2
0.0,-0.01,-2.05,73.0,23.8,46.0,2
0.02,0.04,-2.04,74.5,23.8,46.0,2
0.01,0.01,-2.05,73.5,23.8,46.0,2
0.03,0.04,-2.05,74.0,23.8,46.0,2
0.01,0.05,-2.04,73.5,23.8,46.0,2
0.02,0.04,-2.04,74.0,23.8,46.0,2
0.02,0.08,-2.02,74.0,23.8,46.0,2
0.0,0.06,-2.04,76.0,23.9,46.0,2
0.02,0.05,-2.04,76.0,23.9,46.0,2
0.01,0.06,-1.92,76.5,23.85,46.0,2
0.03,0.04,-2.04,75.0,23.8,46.0,2
0.01,0.08,-2.04,76.5,23.8,46.0,2
0.0,0.06,-2.06,76.0,23.9,46.0,2
0.01,0.02,-2.05,76.5,23.9,46.0,2
0.0,0.04,-2.02,77.0,23.9,46.0,2
0.02,0.02,-2.05,75.5,23.9,46.0,2
0.01,0.02,-2.02,77.0,23.8,46.0,2
0.0,0.06,-2.08,76.0,23.9,46.0,2
0.01,0.06,-2.04,75.0,23.9,46.0,2
0.0,0.02,-2.01,75.0,23.9,46.0,2
0.02,0.05,-2.04,77.0,23.8,46.0,2
0.02,0.08,-2.05,76.0,23.8,46.0,2
0.02,0.03,-2.03,76.5,23.85,46.0,2
0.01,0.01,-2.05,76.5,23.9,46.0,2
0.0,0.06,-2.06,75.0,23.9,46.0,2
0.01,0.06,-2.04,76.5,23.8,46.0,2
0.0,0.01,-2.04,78.0,23.9,46.0,2
0.01,0.04,-2.04,76.5,23.9,46.0,2
0.02,0.02,-2.05,76.0,23.9,46.0,2
0.01,0.04,-2.05,77.0,23.9,46.0,2
0.02,0.05,-2.05,76.5,23.9,46.0,2
0.0,0.06,-2.04,76.0,23.9,46.0,2
0.0,0.01,-2.04,76.0,23.85,46.0,2
0.0,0.04,-2.02,77.0,23.8,46.0,2
0.0,0.05,-2.03,75.5,23.9,46.0,2
0.0,0.02,-2.04,76.0,23.8,46.0,2
0.01,0.04,-2.05,76.5,23.85,46.0,2
0.0,0.02,-2.06,76.0,23.85,46.0,2
0.02,0.04,-2.04,75.0,23.8,46.0,2
0.01,0.05,-2.04,76.0,23.9,46.0,2
0.0,0.08,-2.05,76.0,23.8,46.0,2
0.01,0.04,-2.03,76.0,23.8,46.0,2
0.01,0.05,-2.05,76.0,23.85,46.0,2
-0.01,0.01,-2.06,77.0,23.9,46.0,2
0.01,0.06,-2.03,76.0,23.9,46.0,2
0.0,0.08,-2.02,76.0,23.9,46.0,2
0.02,0.04,-2.02,76.5,23.9,46.0,2
0.0,-0.01,-2.06,76.0,23.9,46.0,2
0.01,0.04,-2.02,76.0,23.9,46.0,2
0.0,0.05,-2.03,76.0,23.8,46.0,2
0.02,-0.01,-2.04,75.0,23.9,46.0,2
0.0,-0.0,-2.03,77.0,23.9,46.0,2
0.03,0.06,-2.02,76.0,23.9,46.0,2
0.01,0.05,-2.06,76.5,23.9,46.0,2
0.0,0.06,-2.04,77.0,23.8,46.0,2
0.01,0.02,-2.02,76.5,23.85,46.0,2
0.02,-0.01,-2.02,76.5,23.9,46.0,2
0.0,0.04,-2.0,76.0,23.9,46.0,2
-0.0,0.03,-2.03,76.0,23.8,46.0,2
0.0,0.04,-2.05,76.0,23.8,46.0,2
0.02,0.03,-2.02,77.0,23.85,46.0,2
0.0,0.06,-2.02,76.0,23.9,46.0,2
0.02,0.06,-2.07,75.5,23.9,46.0,2
0.01,0.04,-2.05,76.5,23.9,46.0,2
0.02,0.06,-2.04,76.0,23.9,46.0,2
0.02,0.04,-2.05,77.0,23.9,46.0,2
0.0,0.02,-2.0,75.0,23.9,46.0,2
0.02,0.02,-2.06,76.5,23.9,46.0,2
0.0,-0.01,-2.01,76.0,23.9,46.0,2
0.02,0.04,-2.04,76.5,23.9,46.0,2
0.0,0.04,-2.04,76.0,23.9,46.0,2
0.0,0.06,-2.0,77.0,23.9,46.0,2
0.02,0.05,-2.04,77.0,23.9,46.0,2
0.0,0.02,-2.04,76.0,23.9,46.0,2
0.01,0.05,-2.05,75.5,23.95,46.0,2
0.0,0.02,-2.01,75.0,24.0,46.0,2
0.02,0.02,-2.05,76.5,23.9,46.0,2
0.01,0.04,-2.01,76.5,23.9,46.0,2
0.0,0.04,-2.06,77.0,24.0,46.0,2
0.02,0.06,-2.05,76.5,24.0,46.0,2
0.04,0.01,-2.02,77.0,24.0,46.0,2
-0.0,0.08,-2.04,76.5,23.9,46.0,2
0.02,0.04,-2.04,77.0,23.9,46.0,2
0.01,0.05,-2.05,75.5,23.9,46.0,2
-0.0,0.08,-2.04,76.0,23.9,46.0,2
0.02,0.29,-2.01,76.0,23.9,46.0,2
-0.01,0.05,-2.07,77.0,23.9,46.0,2
0.02,0.1,-2.02,76.0,23.9,46.0,2
0.0,0.04,-2.05,76.5,23.95,46.0,2
0.01,0.04,-2.02,76.5,23.95,46.0,2
0.02,0.04,-2.06,77.0,23.9,46.0,2
0.02,0.02,-2.04,75.5,23.9,46.0,2
0.0,0.08,-2.04,77.0,23.9,46.0,2
0.0,0.02,-2.02,76.0,23.95,46.0,2
-0.01,0.04,-2.04,76.0,24.0,46.0,2
0.0,0.06,-2.04,76.0,24.0,46.0,2
0.01,0.03,-2.04,76.5,24.0,46.0,2
0.02,0.04,-2.02,76.0,24.0,46.0,2
0.01,0.02,-2.0,76.5,24.0,46.0,2
0.0,0.04,-2.04,77.0,24.0,46.0,2
-0.0,0.02,-2.05,76.5,24.0,46.0,2
0.0,0.04,-2.04,77.0,24.0,46.0,2
0.01,0.07,-2.03,76.5,24.0,46.0,2
0.0,0.06,-2.02,75.5,24.0,46.0,2
0.03,0.04,-2.04,77.0,24.0,46.0,2
0.02,0.04,-2.04,77.0,24.0,46.0,2
0.02,0.02,-2.01,76.0,24.0,46.0,2
0.03,0.02,-2.05,77.0,24.0,46.0,2
0.0,0.04,-2.05,77.0,24.0,46.0,2
0.0,0.02,-2.05,76.5,24.0,46.0,2
0.0,0.05,-2.03,77.0,24.0,46.0,2
0.0,0.04,-2.05,76.0,24.0,46.0,2
0.02,0.06,-2.01,77.0,24.0,46.0,2
0.03,0.06,-2.02,77.0,24.0,46.0,2
0.01,0.05,-2.04,76.0,24.0,46.0,2
0.0,0.02,-2.04,76.0,24.0,46.0,2
0.01,0.06,-2.02,76.5,24.0,46.0,2
0.01,0.06,-2.02,77.0,24.0,46.0,2
0.0,0.06,-2.04,77.0,24.0,46.0,2
0.01,0.01,-2.04,78.0,24.0,47.0,2
0.02,0.06,-2.04,78.0,24.0,48.0,2
0.01,0.04,-2.04,78.0,24.0,48.0,2
0.0,0.04,-2.04,77.5,24.0,48.0,2
0.0,0.06,-2.06,77.0,24.0,48.0,2
0.01,0.02,-2.01,77.5,24.0,48.0,2
0.0,0.02,-2.01,78.0,24.0,48.0,2
0.01,0.01,-2.04,77.5,24.0,48.0,2
0.02,-0.01,-2.08,78.0,24.0,48.0,2
0.01,0.04,-2.05,77.0,24.0,48.0,2
0.02,0.02,-2.06,77.0,24.0,48.0,2
0.0,0.06,-2.04,77.0,24.0,48.0,2
0.01,0.0,-2.03,76.0,24.0,47.5,2
0.03,0.04,-2.05,78.0,24.0,47.0,2
0.02,0.05,-2.02,78.0,24.0,47.0,2
0.02,-0.02,-2.02,77.0,24.0,47.0,2
0.0,0.06,-2.05,77.5,24.0,47.0,2
-0.0,0.06,-2.04,78.5,24.0,46.5,2
-0.01,0.02,-2.05,79.0,24.0,46.0,2
0.01,0.02,-2.02,78.5,24.0,46.0,2
0.02,0.02,-2.05,78.0,24.0,46.0,2
0.0,0.04,-2.04,77.5,24.0,46.0,2
0.02,0.04,-2.02,77.0,24.0,46.0,2
0.02,0.02,-2.05,78.5,24.0,46.0,2
0.02,0.04,-2.04,77.0,24.0,46.0,2
0.0,0.04,-2.04,77.0,24.0,45.0,2
0.0,0.04,-2.02,78.0,24.0,45.0,2
0.03,0.01,-2.02,78.0,24.0,45.0,2
0.0,0.02,-2.02,78.5,24.0,45.0,2
0.0,0.06,-2.05,76.0,24.0,45.0,2
0.02,0.04,-2.03,76.0,24.0,45.0,2
0.01,0.09,-2.04,76.5,24.0,45.0,2
0.0,0.04,-2.02,76.0,24.0,45.0,2
0.01,0.04,-2.02,77.0,24.0,45.0,2
0.0,0.04,-2.04,78.0,24.0,45.0,2
0.02,0.01,-2.03,76.5,24.0,45.0,2
0.0,0.06,-2.06,75.0,24.0,45.0,2
0.02,0.04,-2.04,76.0,24.0,45.0,2
0.01,0.04,-2.06,76.5,24.0,45.0,2
0.0,0.04,-2.04,77.0,24.0,45.0,2
0.02,0.04,-2.04,76.5,24.0,45.0,2
1.03,-0.01,-1.0,63.0,24.55384615384616,44.76923076923077,3
1.02,-0.03,-0.98,70.0,24.6,44.0,3
1.02,-0.02,-1.0,71.0,24.65,44.0,3
1.03,-0.05,-0.96,70.0,24.7,44.0,3
1.02,-0.02,-1.0,75.0,24.7,44.0,3
1.0,-0.05,-0.97,74.0,24.8,44.0,3
1.01,-0.02,-0.98,75.0,24.8,44.0,3
1.01,-0.01,-0.99,75.0,24.8,44.0,3
1.02,-0.04,-0.97,74.0,24.8,44.0,3
1.02,-0.02,-0.98,74.0,24.7,44.0,3
1.03,-0.02,-0.97,74.0,24.8,44.0,3
1.02,-0.04,-1.0,76.5,24.8,44.0,3
1.03,-0.05,-1.0,78.0,24.8,44.0,3
1.02,-0.03,-1.0,77.5,24.8,45.0,3
1.03,0.01,-0.97,77.0,24.8,46.0,3
1.02,-0.02,-0.98,77.5,24.8,45.5,3
1.01,-0.02,-0.99,77.0,24.8,45.5,3
1.0,-0.02,-0.99,77.0,24.8,46.0,3
1.01,0.01,-1.0,77.0,24.8,46.0,3
1.01,-0.02,-0.96,78.0,24.9,47.0,3
1.0,-0.02,-1.02,78.0,24.9,47.0,3
1.03,0.02,-1.0,77.0,24.9,47.0,3
1.03,-0.04,-0.96,77.5,24.9,48.0,3
1.01,-0.03,-0.96,77.5,24.9,48.0,3
1.04,-0.05,-0.99,78.0,24.9,48.0,3
1.02,-0.04,-0.98,77.0,24.95,48.5,3
1.01,-0.02,-0.97,78.0,25.0,49.0,3
1.01,-0.03,-0.97,77.0,24.9,49.0,3
1.02,-0.0,-1.0,73.5,24.9,49.0,3
1.07,-0.02,-0.97,73.0,24.9,49.0,3
1.0,-0.02,-1.0,69.0,24.9,49.0,3
1.01,-0.02,-0.96,69.0,24.9,49.0,3
1.02,-0.02,-1.0,69.0,25.0,49.0,3
1.01,-0.02,-0.99,111.0,24.9,48.0,3
1.01,-0.02,-1.06,103.5,24.9,47.5,3
1.02,-0.04,-0.98,105.5,24.9,46.5,3
1.05,-0.02,-1.06,117.0,24.9,46.0,3
1.02,-0.03,-0.99,107.5,24.9,45.0,3
1.01,-0.02,-1.01,104.0,24.9,45.0,3
1.02,0.0,-1.12,106.5,24.9,44.5,3
1.01,-0.05,-0.99,71.0,24.9,44.0,3
1.0,-0.02,-1.0,71.5,24.9,44.0,3
1.0,-0.02,-1.0,71.0,25.0,43.0,3
1.01,-0.05,-0.99,70.0,24.9,43.0,3
1.01,-0.04,-0.98,70.5,24.9,43.0,3
1.01,-0.05,-0.99,71.0,24.9,43.0,3
1.02,-0.03,-1.0,70.0,25.0,43.0,3
1.01,-0.02,-1.0,70.0,24.9,43.0,3
1.02,-0.04,-1.0,70.0,24.95,43.0,3
1.02,-0.01,-1.02,70.0,24.95,42.5,3
1.03,-0.01,-0.99,70.0,24.9,42.0,3
1.01,-0.02,-0.99,70.0,24.9,42.0,3
1.01,-0.05,-0.96,71.0,24.9,42.0,3
1.02,-0.05,-0.98,70.0,24.9,42.0,3
1.01,-0.01,-1.01,70.0,24.9,42.0,3
1.02,-0.01,-0.97,70.0,24.9,42.0,3
1.02,-0.03,-1.0,69.5,24.9,42.0,3
1.01,-0.05,-1.03,70.0,24.9,42.0,3
1.04,-0.05,-0.98,71.0,24.9,42.0,3
1.03,-0.01,-1.01,70.0,24.9,42.0,3
1.02,0.0,-1.02,69.0,24.9,42.0,3
1.03,-0.02,-0.96,69.0,24.9,42.0,3
1.02,-0.01,-1.0,69.0,24.9,42.0,3
1.03,-0.03,-0.97,69.0,24.9,42.0,3
1.0,-0.02,-1.0,69.0,24.9,42.0,3
1.02,-0.02,-1.02,69.5,24.9,42.0,3
1.04,-0.01,-0.97,69.0,24.9,42.0,3
1.02,-0.04,-1.0,69.0,24.9,42.0,3
1.02,-0.03,-1.01,70.0,24.9,42.0,3
1.03,-0.05,-0.95,70.0,24.9,42.0,3
1.02,-0.02,-0.98,69.0,24.8,42.0,3
1.03,-0.02,-1.03,69.0,24.8,42.0,3
1.05,0.0,-1.0,69.5,24.85,42.0,3
1.01,-0.02,-0.97,69.0,24.9,42.0,3
1.02,-0.03,-1.0,69.0,24.8,42.0,3
1.06,-0.03,-1.02,69.5,24.9,42.0,3
1.03,-0.01,-1.03,70.0,24.8,42.0,3
1.02,-0.0,-1.0,69.0,24.8,42.0,3
1.01,-0.02,-0.97,69.0,24.8,42.0,3
1.04,-0.01,-0.95,69.5,24.8,42.0,3
1.01,-0.02,-0.97,69.0,24.8,43.0,3
1.02,-0.04,-1.0,69.0,24.8,43.0,3
1.02,-0.02,-0.98,71.5,24.8,43.0,3
1.01,-0.05,-0.99,74.0,24.8,43.0,3
1.03,-0.02,-0.98,73.5,24.8,43.0,3
1.03,-0.02,-1.0,74.0,24.8,43.0,3
1.02,-0.02,-0.99,74.0,24.75,43.0,3
1.01,-0.01,-0.98,74.5,24.7,43.0,3
1.0,-0.02,-1.0,74.0,24.7,43.0,3
1.0,-0.02,-1.0,74.0,24.7,43.0,3
1.01,-0.01,-1.0,74.0,24.8,43.0,3
1.02,-0.01,-0.98,74.5,24.75,43.5,3
1.01,-0.02,-1.0,78.0,24.7,44.0,3
1.0,-0.06,-0.98,76.5,24.7,44.0,3
1.0,-0.02,-1.0,76.0,24.7,44.0,3
1.02,-0.01,-0.98,72.0,24.7,44.0,3
1.01,-0.05,-0.99,69.5,24.7,43.5,3
1.01,-0.02,-0.99,69.0,24.7,43.0,3
1.02,-0.03,-1.01,70.0,24.7,43.0,3
1.0,-0.02,-1.0,70.0,24.7,43.0,3
1.02,-0.03,-0.98,70.0,24.65,43.0,3
0.99,-0.02,-0.99,70.0,24.6,43.0,3
1.04,-0.05,-0.98,70.0,24.6,43.0,3
1.05,-0.04,-0.97,69.5,24.6,43.0,3
1.01,-0.02,-1.01,68.0,24.6,43.0,3
1.01,-0.02,-0.98,69.0,24.6,43.0,3
1.03,-0.01,-0.99,70.0,24.6,43.0,3
1.02,-0.06,-1.01,68.5,24.6,43.0,3
1.0,-0.02,-0.99,68.0,24.6,43.0,3
1.02,-0.03,-0.98,69.0,24.6,43.0,3
1.0,-0.02,-1.01,69.0,24.6,43.0,3
1.03,-0.02,-1.0,70.0,24.6,43.0,3
1.02,-0.05,-0.98,69.0,24.6,43.0,3
1.04,-0.01,-1.01,69.0,24.5,43.0,3
1.01,-0.03,-0.99,69.5,24.55,43.0,3
1.02,-0.0,-1.02,69.5,24.55,43.5,3
1.04,0.02,-1.0,70.0,24.5,44.0,3
1.03,-0.0,-1.1,69.0,24.5,44.0,3
1.0,-0.05,-0.99,69.0,24.5,44.0,3
1.0,-0.02,-0.99,68.5,24.5,44.0,3
1.01,-0.02,-1.0,69.0,24.5,44.0,3
1.01,-0.01,-0.98,72.0,24.5,44.0,3
1.02,-0.0,-1.0,72.0,24.5,44.0,3
1.01,-0.05,-0.99,72.0,24.5,45.0,3
1.0,-0.04,-1.0,70.5,24.5,45.0,3
1.03,-0.05,-1.0,70.0,24.5,45.0,3
1.02,-0.03,-0.98,70.0,24.5,45.0,3
1.0,-0.05,-0.99,74.0,24.5,45.0,3
1.0,-0.04,-1.0,72.5,24.5,44.5,3
1.02,-0.02,-0.99,73.0,24.5,44.0,3
1.0,-0.02,-1.0,72.0,24.5,44.0,3
