LapTime,LapNumber,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedST,Compound,TyreLife,Team,Driver
93.426,25,0,34.297,29.514,29.615,310.0,HARD,7.0,Red Bull Racing,PER
93.072,26,0,34.241,29.351,29.48,310.0,HARD,8.0,Red Bull Racing,PER
92.891,27,0,34.112,29.284,29.495,311.0,HARD,9.0,Red Bull Racing,PER
93.025,28,0,34.182,29.345,29.498,309.0,HARD,10.0,Red Bull Racing,PER
92.726,29,0,34.043,29.262,29.421,313.0,HARD,11.0,Red Bull Racing,PER
92.554,31,0,34.028,29.154,29.372,313.0,HARD,13.0,Red Bull Racing,PER
92.498,32,0,33.955,29.106,29.437,312.0,HARD,14.0,Red Bull Racing,PER
92.55,33,0,34.073,29.135,29.342,310.0,HARD,15.0,Red Bull Racing,PER
92.294,34,0,33.89,29.064,29.34,313.0,HARD,16.0,Red Bull Racing,PER
92.68,35,0,33.959,29.282,29.439,309.0,HARD,17.0,Red Bull Racing,PER
92.292,36,0,33.794,29.133,29.365,313.0,HARD,18.0,Red Bull Racing,PER
92.638,37,0,33.821,29.069,29.748,314.0,HARD,19.0,Red Bull Racing,PER
92.188,38,0,33.721,29.122,29.345,315.0,HARD,20.0,Red Bull Racing,PER
93.19,39,0,34.355,29.362,29.473,312.0,HARD,21.0,Red Bull Racing,PER
92.83,40,0,34.138,29.218,29.474,319.0,HARD,22.0,Red Bull Racing,PER
92.637,41,0,33.911,29.329,29.397,311.0,HARD,23.0,Red Bull Racing,PER
92.235,42,0,33.851,29.083,29.301,314.0,HARD,24.0,Red Bull Racing,PER
92.308,43,0,33.976,29.04,29.292,315.0,HARD,25.0,Red Bull Racing,PER
92.267,44,0,33.81,29.112,29.345,314.0,HARD,26.0,Red Bull Racing,PER
92.419,45,0,33.903,29.16,29.356,312.0,HARD,27.0,Red Bull Racing,PER
92.933,46,0,34.254,29.289,29.39,314.0,HARD,28.0,Red Bull Racing,PER
92.895,47,0,34.214,29.228,29.453,316.0,HARD,29.0,Red Bull Racing,PER
93.075,48,0,34.145,29.386,29.544,313.0,HARD,30.0,Red Bull Racing,PER
93.306,49,0,34.169,29.538,29.599,318.0,HARD,31.0,Red Bull Racing,PER
93.691,50,0,34.337,29.466,29.888,314.0,HARD,32.0,Red Bull Racing,PER
97.68,2,0,36.595,30.654,30.431,318.0,MEDIUM,2.0,Red Bull Racing,VER
96.526,3,0,36.02,30.417,30.089,342.0,MEDIUM,3.0,Red Bull Racing,VER
96.503,4,0,36.021,30.177,30.305,321.0,MEDIUM,4.0,Red Bull Racing,VER
95.359,5,0,35.096,30.116,30.147,318.0,MEDIUM,5.0,Red Bull Racing,VER
95.84,6,0,35.547,30.1,30.193,313.0,MEDIUM,6.0,Red Bull Racing,VER
95.687,7,0,35.409,30.025,30.253,336.0,MEDIUM,7.0,Red Bull Racing,VER
95.129,8,0,35.091,30.143,29.895,314.0,MEDIUM,8.0,Red Bull Racing,VER
95.561,9,0,35.45,30.017,30.094,325.0,MEDIUM,9.0,Red Bull Racing,VER
95.443,10,0,35.434,30.05,29.959,314.0,MEDIUM,10.0,Red Bull Racing,VER
95.306,11,0,35.387,29.767,30.152,295.0,MEDIUM,11.0,Red Bull Racing,VER
94.848,12,0,34.856,29.984,30.008,309.0,MEDIUM,12.0,Red Bull Racing,VER
95.183,13,0,35.069,29.867,30.247,334.0,MEDIUM,13.0,Red Bull Racing,VER
94.2,14,0,34.609,29.784,29.807,309.0,MEDIUM,14.0,Red Bull Racing,VER
94.499,15,0,34.815,29.832,29.852,313.0,MEDIUM,15.0,Red Bull Racing,VER
94.443,16,0,34.863,29.584,29.996,310.0,MEDIUM,16.0,Red Bull Racing,VER
93.79,17,0,34.315,29.711,29.764,310.0,MEDIUM,17.0,Red Bull Racing,VER
134.348,18,0 days 01:32:15.366000,48.991,40.059,45.298,197.0,MEDIUM,18.0,Red Bull Racing,VER
96.946,21,0,36.872,29.989,30.085,318.0,HARD,3.0,Red Bull Racing,VER
94.973,22,0,35.462,29.71,29.801,319.0,HARD,4.0,Red Bull Racing,VER
94.115,23,0,35.197,29.397,29.521,334.0,HARD,5.0,Red Bull Racing,VER
94.146,24,0,34.754,29.349,30.043,312.0,HARD,6.0,Red Bull Racing,VER
92.933,25,0,33.994,29.387,29.552,310.0,HARD,7.0,Red Bull Racing,VER
92.94,26,0,34.131,29.347,29.462,309.0,HARD,8.0,Red Bull Racing,VER
92.838,27,0,34.129,29.235,29.474,310.0,HARD,9.0,Red Bull Racing,VER
92.869,28,0,34.108,29.273,29.488,311.0,HARD,10.0,Red Bull Racing,VER
92.67,29,0,34.023,29.222,29.425,309.0,HARD,11.0,Red Bull Racing,VER
92.877,30,0,34.18,29.228,29.469,312.0,HARD,12.0,Red Bull Racing,VER
92.382,31,0,33.896,29.086,29.4,311.0,HARD,13.0,Red Bull Racing,VER
92.4,32,0,33.879,29.152,29.369,312.0,HARD,14.0,Red Bull Racing,VER
92.387,33,0,33.895,29.164,29.328,312.0,HARD,15.0,Red Bull Racing,VER
92.341,34,0,33.965,29.029,29.347,311.0,HARD,16.0,Red Bull Racing,VER
92.249,35,0,33.736,29.176,29.337,309.0,HARD,17.0,Red Bull Racing,VER
92.384,36,0,33.812,29.204,29.368,311.0,HARD,18.0,Red Bull Racing,VER
92.496,37,0,33.844,29.29,29.362,312.0,HARD,19.0,Red Bull Racing,VER
93.123,38,0,34.607,29.176,29.34,312.0,HARD,20.0,Red Bull Racing,VER
92.432,39,0,33.87,29.263,29.299,314.0,HARD,21.0,Red Bull Racing,VER
92.606,40,0,33.947,29.238,29.421,312.0,HARD,22.0,Red Bull Racing,VER
92.638,41,0,34.131,29.221,29.286,315.0,HARD,23.0,Red Bull Racing,VER
92.274,42,0,33.899,29.131,29.244,317.0,HARD,24.0,Red Bull Racing,VER
92.343,43,0,33.863,29.151,29.329,311.0,HARD,25.0,Red Bull Racing,VER
92.848,44,0,33.922,29.333,29.593,312.0,HARD,26.0,Red Bull Racing,VER
92.968,45,0,34.195,29.328,29.445,315.0,HARD,27.0,Red Bull Racing,VER
93.148,46,0,34.3,29.362,29.486,313.0,HARD,28.0,Red Bull Racing,VER
93.238,47,0,34.414,29.397,29.427,314.0,HARD,29.0,Red Bull Racing,VER
93.607,48,0,34.375,29.582,29.65,315.0,HARD,30.0,Red Bull Racing,VER
93.835,49,0,34.363,29.448,30.024,299.0,HARD,31.0,Red Bull Racing,VER
91.906,50,0,33.543,29.045,29.318,316.0,HARD,32.0,Red Bull Racing,VER
95.567,2,0,35.455,29.923,30.189,302.0,MEDIUM,2.0,Aston Martin,ALO
95.14,3,0,35.124,29.831,30.185,297.0,MEDIUM,3.0,Aston Martin,ALO
96.664,4,0,36.573,30.03,30.061,315.0,MEDIUM,4.0,Aston Martin,ALO
94.92,5,0,35.148,29.797,29.975,320.0,MEDIUM,5.0,Aston Martin,ALO
94.658,6,0,35.123,29.671,29.864,318.0,MEDIUM,6.0,Aston Martin,ALO
94.422,7,0,34.921,29.68,29.821,317.0,MEDIUM,7.0,Aston Martin,ALO
94.398,8,0,34.912,29.621,29.865,316.0,MEDIUM,8.0,Aston Martin,ALO
94.4,9,0,34.878,29.666,29.856,316.0,MEDIUM,9.0,Aston Martin,ALO
94.835,10,0,34.913,29.739,30.183,300.0,MEDIUM,10.0,Aston Martin,ALO
94.982,11,0,35.137,29.742,30.103,300.0,MEDIUM,11.0,Aston Martin,ALO
94.927,12,0,34.857,29.907,30.163,300.0,MEDIUM,12.0,Aston Martin,ALO
94.918,13,0,34.975,29.846,30.097,302.0,MEDIUM,13.0,Aston Martin,ALO
94.837,14,0,34.852,29.842,30.143,301.0,MEDIUM,14.0,Aston Martin,ALO
94.717,15,0,34.865,29.771,30.081,300.0,MEDIUM,15.0,Aston Martin,ALO
94.842,16,0,34.872,29.77,30.2,299.0,MEDIUM,16.0,Aston Martin,ALO
94.595,17,0,34.856,29.735,30.004,300.0,MEDIUM,17.0,Aston Martin,ALO
129.623,18,0 days 01:31:55.100000,39.863,43.937,45.823,186.0,MEDIUM,18.0,Aston Martin,ALO
96.033,21,0,36.023,29.89,30.12,297.0,HARD,4.0,Aston Martin,ALO
94.738,22,0,35.173,29.668,29.897,304.0,HARD,5.0,Aston Martin,ALO
94.771,23,0,35.076,29.755,29.94,300.0,HARD,6.0,Aston Martin,ALO
94.836,24,0,34.959,29.734,30.143,301.0,HARD,7.0,Aston Martin,ALO
94.136,25,0,35.384,29.245,29.507,319.0,HARD,8.0,Aston Martin,ALO
94.119,26,0,34.67,29.587,29.862,304.0,HARD,9.0,Aston Martin,ALO
94.246,27,0,34.815,29.586,29.845,302.0,HARD,10.0,Aston Martin,ALO
94.062,28,0,34.679,29.571,29.812,303.0,HARD,11.0,Aston Martin,ALO
93.988,29,0,34.661,29.501,29.826,299.0,HARD,12.0,Aston Martin,ALO
93.654,30,0,34.46,29.453,29.741,301.0,HARD,13.0,Aston Martin,ALO
93.605,31,0,34.417,29.408,29.78,300.0,HARD,14.0,Aston Martin,ALO
93.401,32,0,34.257,29.397,29.747,300.0,HARD,15.0,Aston Martin,ALO
93.337,33,0,34.253,29.39,29.694,299.0,HARD,16.0,Aston Martin,ALO
93.22,34,0,34.337,29.274,29.609,300.0,HARD,17.0,Aston Martin,ALO
93.514,35,0,34.29,29.458,29.766,299.0,HARD,18.0,Aston Martin,ALO
93.323,36,0,34.262,29.348,29.713,299.0,HARD,19.0,Aston Martin,ALO
93.175,37,0,34.266,29.261,29.648,299.0,HARD,20.0,Aston Martin,ALO
93.174,38,0,34.168,29.302,29.704,299.0,HARD,21.0,Aston Martin,ALO
93.249,39,0,34.242,29.35,29.657,300.0,HARD,22.0,Aston Martin,ALO
92.768,40,0,34.115,29.16,29.493,301.0,HARD,23.0,Aston Martin,ALO
93.127,41,0,34.174,29.272,29.681,299.0,HARD,24.0,Aston Martin,ALO
93.156,42,0,34.288,29.155,29.713,301.0,HARD,25.0,Aston Martin,ALO
93.207,43,0,34.313,29.208,29.686,299.0,HARD,26.0,Aston Martin,ALO
93.189,44,0,34.252,29.183,29.754,299.0,HARD,27.0,Aston Martin,ALO
93.075,45,0,34.293,29.216,29.566,299.0,HARD,28.0,Aston Martin,ALO
92.979,46,0,34.213,29.201,29.565,300.0,HARD,29.0,Aston Martin,ALO
92.887,47,0,34.113,29.21,29.564,300.0,HARD,30.0,Aston Martin,ALO
92.802,48,0,34.118,29.146,29.538,298.0,HARD,31.0,Aston Martin,ALO
92.815,49,0,34.046,29.224,29.545,299.0,HARD,32.0,Aston Martin,ALO
92.24,50,0,33.731,29.096,29.413,311.0,HARD,33.0,Aston Martin,ALO
96.114,2,0,35.845,29.989,30.28,303.0,MEDIUM,2.0,Mercedes,RUS
95.3,3,0,35.308,30.037,29.955,314.0,MEDIUM,3.0,Mercedes,RUS
95.596,4,0,35.451,30.01,30.135,304.0,MEDIUM,4.0,Mercedes,RUS
95.423,5,0,35.261,30.013,30.149,313.0,MEDIUM,5.0,Mercedes,RUS
95.477,6,0,35.384,29.855,30.238,302.0,MEDIUM,6.0,Mercedes,RUS
95.256,7,0,35.248,29.896,30.112,299.0,MEDIUM,7.0,Mercedes,RUS
95.157,8,0,35.066,29.967,30.124,298.0,MEDIUM,8.0,Mercedes,RUS
95.89,9,0,35.327,30.296,30.267,300.0,MEDIUM,9.0,Mercedes,RUS
95.265,10,0,35.133,29.965,30.167,303.0,MEDIUM,10.0,Mercedes,RUS
95.4,11,0,35.215,30.009,30.176,299.0,MEDIUM,11.0,Mercedes,RUS
95.283,12,0,35.173,29.953,30.157,298.0,MEDIUM,12.0,Mercedes,RUS
95.043,13,0,34.973,29.898,30.172,301.0,MEDIUM,13.0,Mercedes,RUS
94.94,14,0,34.925,29.864,30.151,298.0,MEDIUM,14.0,Mercedes,RUS
94.946,15,0,34.801,29.994,30.151,295.0,MEDIUM,15.0,Mercedes,RUS
95.12,16,0,34.954,29.958,30.208,299.0,MEDIUM,16.0,Mercedes,RUS
94.892,17,0,34.825,29.893,30.174,300.0,MEDIUM,17.0,Mercedes,RUS
132.217,18,0 days 01:32:05.756000,43.181,42.922,46.114,241.0,MEDIUM,18.0,Mercedes,RUS
96.802,21,0,36.791,30.01,30.001,311.0,HARD,3.0,Mercedes,RUS
95.07,22,0,35.387,29.805,29.878,312.0,HARD,4.0,Mercedes,RUS
94.958,23,0,34.995,29.648,30.315,296.0,HARD,5.0,Mercedes,RUS
95.063,24,0,35.3,29.796,29.967,306.0,HARD,6.0,Mercedes,RUS
94.106,25,0,34.714,29.586,29.806,305.0,HARD,7.0,Mercedes,RUS
94.493,26,0,34.954,29.744,29.795,310.0,HARD,8.0,Mercedes,RUS
94.118,27,0,34.807,29.52,29.791,306.0,HARD,9.0,Mercedes,RUS
94.091,28,0,34.764,29.575,29.752,303.0,HARD,10.0,Mercedes,RUS
93.688,29,0,34.505,29.425,29.758,298.0,HARD,11.0,Mercedes,RUS
94.165,30,0,34.598,29.682,29.885,301.0,HARD,12.0,Mercedes,RUS
93.433,31,0,34.298,29.385,29.75,306.0,HARD,13.0,Mercedes,RUS
93.633,32,0,34.355,29.513,29.765,303.0,HARD,14.0,Mercedes,RUS
93.52,33,0,34.438,29.465,29.617,305.0,HARD,15.0,Mercedes,RUS
93.758,34,0,34.527,29.491,29.74,303.0,HARD,16.0,Mercedes,RUS
93.756,35,0,34.486,29.535,29.735,303.0,HARD,17.0,Mercedes,RUS
93.625,36,0,34.459,29.494,29.672,302.0,HARD,18.0,Mercedes,RUS
93.524,37,0,34.432,29.521,29.571,303.0,HARD,19.0,Mercedes,RUS
93.42,38,0,34.261,29.407,29.752,304.0,HARD,20.0,Mercedes,RUS
93.555,39,0,34.407,29.509,29.639,302.0,HARD,21.0,Mercedes,RUS
93.459,40,0,34.44,29.352,29.667,302.0,HARD,22.0,Mercedes,RUS
92.998,41,0,34.181,29.273,29.544,303.0,HARD,23.0,Mercedes,RUS
93.041,42,0,34.243,29.279,29.519,303.0,HARD,24.0,Mercedes,RUS
93.083,43,0,34.195,29.25,29.638,303.0,HARD,25.0,Mercedes,RUS
93.243,44,0,34.26,29.381,29.602,301.0,HARD,26.0,Mercedes,RUS
92.917,45,0,34.139,29.27,29.508,303.0,HARD,27.0,Mercedes,RUS
92.982,46,0,34.188,29.299,29.495,303.0,HARD,28.0,Mercedes,RUS
92.901,47,0,34.167,29.235,29.499,306.0,HARD,29.0,Mercedes,RUS
92.756,48,0,33.841,29.174,29.741,299.0,HARD,30.0,Mercedes,RUS
93.135,49,0,34.245,29.248,29.642,305.0,HARD,31.0,Mercedes,RUS
92.433,50,0,33.785,29.221,29.427,311.0,HARD,32.0,Mercedes,RUS
