acex,acey,acez,gyrox,gyroy,gyroz,timestamp
0.34375,0.01563,0.96875,1.11304,1.8087,-0.76522,19:06.8
0.33984,0.01172,0.96875,1.04348,1.66957,-0.83478,19:06.9
0.34375,0.00781,0.95703,1.32174,2.01739,-0.83478,19:06.9
0.33984,0.01563,0.96094,1.11304,1.87826,-0.76522,19:06.9
0.34375,0.01172,0.96094,1.18261,1.66957,-0.69565,19:07.0
0.34375,0.01172,0.96484,1.11304,2.01739,-1.04348,19:07.0
0.34375,0.01172,0.95703,1.32174,2.08696,-0.69565,19:07.1
0.33984,0.01563,0.96484,1.11304,1.73913,-0.69565,19:07.1
0.34375,0.01172,0.96484,1.32174,1.87826,-1.04348,19:07.1
0.34375,0.01172,0.96094,1.3913,1.73913,-0.62609,19:07.2
0.33984,0.01172,0.96094,1.3913,1.73913,-0.55652,19:07.2
0.33984,0.01563,0.96484,1.18261,1.73913,-0.76522,19:07.3
0.34375,0.01172,0.96484,1.46087,1.66957,-0.90435,19:07.3
0.34766,0.01172,0.96094,1.32174,1.87826,-0.69565,19:07.4
0.34375,0.01563,0.95703,1.11304,1.6,-1.04348,19:07.4
0.33984,0.00781,0.96484,1.3913,1.8087,-0.90435,19:07.5
0.34375,0.01172,0.95703,1.11304,1.66957,-0.48696,19:07.5
0.33594,0.01563,0.96094,0.97391,1.6,-0.90435,19:07.5
0.33984,0.01563,0.96094,1.04348,1.8087,-0.62609,19:07.6
0.33984,0.01172,0.96094,1.11304,1.73913,-0.90435,19:07.6
0.34375,0.00781,0.96484,0.97391,1.87826,-0.90435,19:07.7
0.34766,0.01172,0.96484,1.25217,1.73913,-0.90435,19:07.7
0.34375,0.01172,0.95703,1.04348,1.94783,-0.76522,19:07.8
0.34375,0.01172,0.96484,1.18261,1.73913,-0.90435,19:07.8
0.34766,0.01172,0.96484,1.11304,1.73913,-0.69565,19:07.8
0.34375,0.01172,0.96484,0.90435,1.73913,-0.62609,19:07.9
0.34375,0.01172,0.96094,1.11304,1.73913,-0.76522,19:07.9
0.33984,0.01172,0.96094,1.04348,1.8087,-0.69565,19:08.0
0.34375,0.01172,0.96094,1.25217,1.87826,-0.76522,19:08.0
0.34375,0.01172,0.96094,1.18261,1.8087,-0.76522,19:08.0
0.34375,0.01563,0.95703,1.46087,1.8087,-0.69565,19:08.1
0.34375,0.01563,0.96094,1.25217,1.94783,-0.90435,19:08.1
0.34375,0.01563,0.96484,1.18261,1.73913,-0.69565,19:08.2
0.34375,0.01172,0.96094,1.11304,1.66957,-0.69565,19:08.2
0.34375,0.01563,0.96094,1.3913,1.73913,-0.69565,19:08.3
0.34766,0.01563,0.96484,1.3913,2.01739,-1.04348,19:08.3
0.33984,0.00781,0.96484,1.04348,1.8087,-0.90435,19:08.3
0.35156,0.00781,0.96094,1.3913,1.87826,-0.90435,19:08.4
0.34766,0.00781,0.96875,1.25217,1.8087,-0.90435,19:08.4
0.34375,0.01172,0.96094,1.18261,1.6,-0.83478,19:08.5
0.34375,0.01563,0.96094,0.97391,1.94783,-0.83478,19:08.5
0.33984,0.01172,0.95703,1.18261,1.73913,-1.04348,19:08.6
0.34375,0.01172,0.96094,1.18261,1.94783,-0.76522,19:08.6
0.34766,0.01563,0.96484,1.25217,1.87826,-0.69565,19:08.6
0.34375,0.01172,0.96094,1.18261,1.94783,-0.83478,19:08.7
0.34766,0.00781,0.96875,1.32174,1.87826,-0.76522,19:08.7
0.34375,0.00781,0.96094,1.11304,1.73913,-0.69565,19:08.8
0.34375,0.01172,0.96094,1.18261,1.87826,-0.69565,19:08.8
0.34375,0.01172,0.96094,1.04348,1.87826,-0.76522,19:08.9
0.34375,0.01172,0.96094,1.32174,1.8087,-0.83478,19:08.9
0.34766,0.01172,0.96094,0.97391,1.8087,-0.69565,19:08.9
0.33984,0.01563,0.96484,1.11304,1.87826,-0.83478,19:09.0
0.34375,0.00781,0.96094,1.32174,1.8087,-0.76522,19:09.0
0.34375,0.01172,0.96484,1.3913,1.73913,-0.83478,19:09.1
0.34375,0.01563,0.96094,1.25217,1.87826,-0.69565,19:09.1
0.34375,0.01563,0.96094,1.32174,1.8087,-0.62609,19:09.1
0.34375,0.01172,0.96484,1.11304,1.66957,-0.55652,19:09.2
0.34375,0.01172,0.96094,1.04348,1.8087,-0.76522,19:09.2
0.34375,0.01172,0.96094,0.97391,1.87826,-1.04348,19:09.3
0.34375,0.01172,0.96094,1.25217,1.94783,-0.83478,19:09.3
0.34375,0.01172,0.95703,1.3913,1.8087,-0.90435,19:09.4
0.33984,0.01563,0.96094,1.18261,1.87826,-0.76522,19:09.4
0.34375,0.01172,0.96094,1.11304,1.8087,-1.04348,19:09.4
0.34766,0.01172,0.96094,1.3913,1.87826,-1.11304,19:09.5
0.33984,0.00781,0.96094,1.25217,1.94783,-0.90435,19:09.5
0.34375,0.00781,0.96094,0.90435,1.8087,-0.83478,19:09.6
0.34766,0.01172,0.96094,1.25217,1.73913,-0.69565,19:09.6
0.34375,0.01172,0.96484,1.04348,1.8087,-0.69565,19:09.7
0.33984,0.01172,0.95703,1.11304,1.87826,-0.90435,19:09.7
0.34375,0.00781,0.96484,1.11304,1.8087,-0.90435,19:09.7
0.34375,0.01563,0.96094,1.25217,1.73913,-0.83478,19:09.8
0.34375,0.01172,0.96094,1.11304,1.73913,-0.62609,19:09.8
0.34766,0.01172,0.96094,1.18261,1.8087,-1.11304,19:09.9
0.34375,0.01172,0.96484,1.18261,1.87826,-1.11304,19:09.9
0.34375,0.01563,0.96094,1.11304,1.73913,-1.04348,19:10.0
0.34375,0.00781,0.96094,1.25217,2.08696,-0.76522,19:10.0
0.33984,0.01563,0.96094,1.04348,1.66957,-0.83478,19:10.0
0.34766,0.01172,0.96094,1.18261,1.8087,-0.83478,19:10.1
0.34766,0.01172,0.96094,1.32174,1.8087,-0.90435,19:10.1
0.34766,0.01172,0.96484,1.32174,1.87826,-0.55652,19:10.2
0.34766,0.01172,0.96484,1.04348,1.94783,-0.69565,19:10.2
0.34766,0.01563,0.96484,1.04348,1.8087,-0.83478,19:10.2
0.33984,0.01172,0.96094,1.18261,1.8087,-0.69565,19:10.3
0.33984,0.01172,0.96875,1.11304,1.8087,-0.76522,19:10.3
0.34375,0.01172,0.96094,1.04348,1.8087,-0.97391,19:10.4
0.34375,0.01172,0.96094,1.32174,1.87826,-0.62609,19:10.4
0.34766,0.01563,0.96094,1.32174,1.87826,-0.69565,19:10.5
0.34375,0.01172,0.96094,0.76522,1.73913,-0.97391,19:10.5
0.34766,0.01172,0.96484,1.04348,1.66957,-0.83478,19:10.5
0.34375,0.00781,0.96094,1.32174,1.73913,-0.69565,19:10.6
0.34375,0.00781,0.95703,1.11304,1.8087,-0.76522,19:10.6
0.34375,0.01172,0.96875,1.46087,2.08696,-0.48696,19:10.7
0.34375,0.01172,0.96094,1.11304,1.66957,-0.76522,19:10.7
0.33984,0.01172,0.95703,0.97391,1.66957,-0.62609,19:10.8
0.34375,0.01563,0.96094,1.32174,1.6,-0.83478,19:10.8
0.34375,0.01172,0.95703,1.3913,1.66957,-0.76522,19:10.8
0.34375,0.01172,0.96484,1.32174,1.94783,-0.83478,19:10.9
0.33984,0.01172,0.95703,1.25217,2.01739,-0.97391,19:10.9
0.33984,0.01172,0.96094,1.11304,1.66957,-0.76522,19:11.0
0.34375,0.00781,0.96484,1.25217,1.66957,-0.83478,19:11.0
0.34766,0.01172,0.96094,0.90435,1.94783,-0.76522,19:11.0
0.34375,0.01563,0.96484,1.18261,1.8087,-0.69565,19:11.1
0.34375,0.01172,0.96094,1.18261,1.6,-0.83478,19:11.1
0.34375,0.01172,0.96094,1.11304,1.87826,-0.83478,19:11.2
0.33984,0.01172,0.96094,1.25217,2.29565,-1.04348,19:11.2
0.34766,0.00781,0.96484,0.97391,1.94783,-0.76522,19:11.3
0.34375,0.01172,0.95703,1.32174,1.6,-0.76522,19:11.3
0.34766,0.01172,0.95313,1.32174,1.73913,-0.83478,19:11.3
0.34375,0.01172,0.96484,1.11304,2.01739,-0.97391,19:11.4
0.34375,0.01172,0.95703,1.25217,1.73913,-0.83478,19:11.4
0.34766,0.01172,0.96484,1.11304,1.87826,-0.76522,19:11.5
0.34766,0.00781,0.96094,1.6,1.87826,-0.41739,19:11.5
0.34375,0.01172,0.96484,1.11304,1.8087,-0.76522,19:11.6
0.33984,0.01172,0.96094,1.04348,2.08696,-0.69565,19:11.6
0.34375,0.01563,0.96484,1.46087,2.08696,-0.83478,19:11.6
0.34375,0.01172,0.96094,1.25217,1.94783,-0.97391,19:11.7
0.34375,0.01172,0.96484,1.25217,1.73913,-0.83478,19:11.7
0.34375,0.01172,0.96484,1.04348,1.87826,-0.90435,19:11.8
0.34375,0.00781,0.96094,1.32174,1.73913,-0.69565,19:11.8
0.33984,0.01172,0.95703,1.11304,1.8087,-0.69565,19:11.9
0.34375,0.01563,0.95703,1.04348,1.66957,-0.69565,19:11.9
0.34375,0.01172,0.96484,1.18261,2.01739,-0.55652,19:11.9
0.34375,0.01172,0.96875,1.3913,1.87826,-0.76522,19:12.0
0.34375,0.00781,0.96094,1.25217,1.73913,-0.76522,19:12.0
0.34375,0.01563,0.96875,1.25217,2.01739,-0.62609,19:12.1
0.34375,0.01563,0.96484,1.25217,1.66957,-0.69565,19:12.1
0.34375,0.01172,0.96484,1.25217,1.73913,-0.76522,19:12.1
0.34375,0.00781,0.95703,1.46087,1.8087,-0.62609,19:12.2
0.34766,0.00781,0.96094,1.18261,1.66957,-0.76522,19:12.2
0.33984,0.01172,0.96094,1.25217,1.87826,-0.76522,19:12.3
0.34375,0.01563,0.96094,1.04348,1.6,-0.76522,19:12.3
0.33984,0.01172,0.96094,1.04348,1.66957,-0.83478,19:12.4
0.34375,0.00781,0.96094,1.18261,1.73913,-0.69565,19:12.4
0.34375,0.01563,0.96484,1.3913,2.01739,-0.76522,19:12.4
0.34375,0.01172,0.96094,1.32174,1.53043,-0.76522,19:12.5
0.34375,0.01563,0.95703,1.18261,1.66957,-0.76522,19:12.5
0.34375,0.01172,0.96094,0.97391,1.8087,-1.04348,19:12.6
0.33984,0.01172,0.96094,1.18261,1.66957,-0.76522,19:12.6
0.34375,0.01172,0.95703,1.25217,2.01739,-0.69565,19:12.7
0.34375,0.01172,0.95703,1.18261,1.8087,-0.62609,19:12.7
0.34375,0.01172,0.96094,1.11304,2.01739,-0.62609,19:12.7
0.33984,0.01172,0.96094,1.11304,1.73913,-0.69565,19:12.8
0.33984,0.01563,0.95313,0.97391,1.8087,-0.90435,19:12.8
0.34375,0.01172,0.96094,1.04348,1.87826,-0.76522,19:12.9
0.34375,0.01563,0.95703,1.11304,1.87826,-0.90435,19:12.9
0.34375,0.01172,0.96094,1.18261,1.94783,-0.90435,19:13.0
0.34375,0.01172,0.95703,1.11304,1.94783,-0.76522,19:13.0
0.33984,0.00781,0.96094,1.18261,1.53043,-0.97391,19:13.0
0.34375,0.01172,0.96484,1.04348,1.73913,-0.83478,19:13.1
0.33594,0.01172,0.95703,1.11304,1.8087,-1.18261,19:13.1
0.34375,0.00781,0.96094,1.18261,1.73913,-0.69565,19:13.2
0.34375,0.01172,0.96094,1.25217,1.66957,-0.97391,19:13.2
0.34375,0.01563,0.96094,1.11304,1.66957,-0.62609,19:13.2
0.34375,0.00781,0.96484,1.04348,1.73913,-0.83478,19:13.3
0.34375,0.00781,0.96484,1.11304,1.53043,-0.83478,19:13.3
0.34375,0.01563,0.96094,1.11304,1.53043,-0.69565,19:13.4
0.34375,0.01172,0.96094,1.18261,1.8087,-0.69565,19:13.4
0.34375,0.01172,0.95703,1.04348,1.6,-0.55652,19:13.5
0.33594,0.01172,0.95703,1.3913,1.73913,-0.69565,19:13.5
0.33984,0.01172,0.96094,1.11304,1.87826,-0.90435,19:13.5
0.34766,0.01172,0.95703,1.25217,1.94783,-0.69565,19:13.6
0.33984,0.01563,0.96484,1.04348,1.73913,-0.69565,19:13.6
0.34766,0.00781,0.96484,1.18261,1.73913,-0.69565,19:13.7
0.34375,0.01172,0.95703,1.04348,1.6,-0.90435,19:13.7
0.34766,0.01172,0.95703,1.25217,1.8087,-0.76522,19:13.8
0.34375,0.01172,0.95703,1.18261,1.8087,-1.04348,19:13.8
0.34375,0.01172,0.96094,1.11304,1.8087,-0.90435,19:13.8
0.33984,0.01172,0.96094,1.11304,1.87826,-0.76522,19:13.9
0.34375,0.00781,0.96875,1.04348,1.8087,-0.41739,19:13.9
0.34375,0.00781,0.96094,1.04348,1.94783,-0.97391,19:14.0
0.34375,0.01172,0.96094,1.18261,1.87826,-0.83478,19:14.0
0.33984,0.01172,0.96094,1.04348,1.87826,-0.90435,19:14.1
0.34375,0.00781,0.96484,1.25217,2.01739,-0.90435,19:14.1
0.33984,0.01563,0.96484,1.25217,1.8087,-0.69565,19:14.1
0.34375,0.01172,0.96484,1.11304,2.22609,-0.97391,19:14.2
0.34375,0.01172,0.96094,1.46087,1.8087,-0.97391,19:14.2
0.34375,0.01172,0.95703,1.25217,1.87826,-0.76522,19:14.3
0.33984,0.01172,0.96094,1.11304,1.73913,-0.97391,19:14.3
0.34375,0.01172,0.96094,1.25217,2.08696,-0.83478,19:14.3
0.34375,0.01172,0.96094,1.32174,1.73913,-0.83478,19:14.4
0.34375,0.01563,0.96484,1.25217,1.94783,-0.97391,19:14.4
0.34766,0.01172,0.95703,1.25217,1.87826,-1.04348,19:14.5
0.33984,0.01563,0.96094,1.25217,1.66957,-0.97391,19:14.5
0.33984,0.01172,0.96094,1.25217,1.94783,-0.69565,19:14.6
0.34375,0.01172,0.96094,1.11304,1.8087,-0.69565,19:14.6
0.33594,0.01563,0.96094,0.97391,1.46087,-0.69565,19:14.6
0.33984,0.00781,0.96094,1.11304,1.66957,-0.83478,19:14.7
0.33984,0.01172,0.96484,1.18261,1.87826,-0.69565,19:14.7
0.34375,0.01172,0.96484,1.32174,1.94783,-0.83478,19:14.8
0.34375,0.01172,0.96484,1.32174,1.94783,-0.69565,19:14.8
0.34375,0.01563,0.96094,1.32174,1.73913,-0.83478,19:14.9
0.34375,0.01172,0.96094,1.25217,1.8087,-0.76522,19:14.9
0.34375,0.00781,0.95703,1.11304,1.87826,-0.69565,19:14.9
0.34375,0.01563,0.96484,1.18261,1.6,-0.97391,19:15.0
0.33984,0.01563,0.96094,1.04348,1.87826,-0.76522,19:15.0
0.34375,0.01563,0.96484,1.11304,1.94783,-1.11304,19:15.1
0.34375,0.00781,0.95313,1.18261,1.87826,-0.97391,19:15.1
0.34375,0.01172,0.96484,1.18261,2.01739,-0.83478,19:15.1
0.34766,0.01172,0.96484,1.25217,1.94783,-0.76522,19:15.2
0.34766,0.00781,0.95703,1.18261,1.73913,-0.69565,19:15.2
0.34375,0.01172,0.96094,1.25217,2.01739,-1.04348,19:15.3
0.34766,0.01563,0.96094,1.32174,1.8087,-0.83478,19:15.3
0.34375,0.01172,0.96484,1.04348,1.73913,-0.83478,19:15.4
0.34375,0.01172,0.96094,1.11304,1.73913,-0.76522,19:15.4
0.34375,0.01172,0.96094,1.32174,1.73913,-0.83478,19:15.4
0.33984,0.01172,0.95703,1.3913,1.66957,-0.97391,19:15.5
0.34375,0.01172,0.96094,1.04348,1.66957,-0.83478,19:15.5
0.34375,0.01172,0.95703,1.32174,1.8087,-0.62609,19:15.6
0.34375,0.01172,0.96484,0.97391,1.66957,-0.62609,19:15.6
0.33984,0.01563,0.96094,1.46087,1.87826,-0.97391,19:15.6
0.33984,0.01172,0.96094,0.90435,1.8087,-0.69565,19:15.7
0.33984,0.01563,0.95703,1.46087,1.73913,-0.83478,19:15.7
0.34375,0.01563,0.96094,1.11304,1.87826,-0.90435,19:15.8
0.33984,0.01563,0.96094,1.11304,1.66957,-0.62609,19:15.8
0.33984,0.01172,0.95703,1.04348,1.73913,-0.76522,19:15.9
0.33984,0.01172,0.96484,1.25217,1.94783,-0.76522,19:15.9
0.33984,0.00781,0.96484,1.11304,2.01739,-0.97391,19:16.0
0.34375,0.01172,0.96484,1.46087,1.53043,-0.97391,19:16.0
0.33594,0.01563,0.96094,0.97391,1.8087,-0.76522,19:16.0
0.34766,0.00781,0.96094,1.53043,1.87826,-1.11304,19:16.1
0.33984,0.01172,0.96094,1.18261,1.87826,-0.90435,19:16.1
0.34375,0.01172,0.96094,1.18261,1.94783,-0.90435,19:16.2
0.34375,0.01172,0.96484,1.32174,1.94783,-0.55652,19:16.2
0.34375,0.01563,0.96875,1.18261,1.66957,-0.90435,19:16.3
0.34375,0.01172,0.96094,1.11304,1.8087,-0.55652,19:16.3
0.34766,0.01172,0.95703,1.11304,2.08696,-0.90435,19:16.3
0.34375,0.01172,0.96094,1.11304,1.94783,-0.69565,19:16.4
0.34766,0.00781,0.96484,1.32174,2.01739,-0.76522,19:16.4
0.33984,0.01172,0.96484,1.11304,1.87826,-0.90435,19:16.5
0.34375,0.01563,0.96484,1.32174,1.66957,-0.55652,19:16.5
0.34375,0.01172,0.96094,1.18261,1.8087,-0.76522,19:16.5
0.34375,0.01563,0.96484,1.3913,1.73913,-0.90435,19:16.6
0.33984,0.01172,0.96484,1.32174,1.8087,-0.55652,19:16.6
0.34375,0.01172,0.96484,1.46087,1.73913,-0.83478,19:16.7
0.34766,0.01172,0.96094,1.18261,1.94783,-0.83478,19:16.7
0.34375,0.01172,0.96094,1.32174,1.66957,-0.90435,19:16.8
0.34375,0.01172,0.95703,1.25217,1.8087,-0.69565,19:16.8
0.33984,0.01172,0.96094,1.04348,1.66957,-0.90435,19:16.9
0.33984,0.01563,0.95703,1.18261,1.8087,-0.69565,19:16.9
0.34375,0.01172,0.96484,0.97391,1.94783,-0.83478,19:16.9
0.34375,0.00781,0.96094,1.3913,1.8087,-0.69565,19:17.0
0.33984,0.01172,0.96094,1.04348,1.87826,-0.62609,19:17.0
0.34766,0.01172,0.95703,1.46087,1.94783,-0.97391,19:17.1
0.33984,0.01172,0.96484,1.6,2.08696,-0.83478,19:17.1
0.34375,0.01172,0.96484,1.11304,1.6,-0.76522,19:17.1
0.33984,0.01563,0.96094,0.97391,1.73913,-0.55652,19:17.2
0.33984,0.01953,0.96484,1.32174,1.87826,-0.76522,19:17.2
0.34375,0.00781,0.96094,0.97391,1.94783,-0.69565,19:17.3
0.34375,0.01172,0.96094,1.46087,2.01739,-0.76522,19:17.3
0.33984,0.01172,0.96484,1.18261,1.87826,-0.83478,19:17.4
0.34375,0.01172,0.96094,1.18261,1.66957,-0.62609,19:17.4
0.34375,0.01172,0.96094,1.11304,1.73913,-0.76522,19:17.4
0.34375,0.01172,0.96094,1.11304,1.73913,-0.69565,19:17.5
0.33984,0.01172,0.96094,1.3913,1.94783,-0.76522,19:17.5
0.33984,0.00781,0.96094,0.97391,1.87826,-0.62609,19:17.6
0.34375,0.01172,0.96484,1.46087,1.87826,-0.55652,19:17.6
0.33984,0.01172,0.96094,1.18261,1.87826,-0.76522,19:17.6
0.34375,0.01563,0.96484,1.18261,1.66957,-0.83478,19:17.7
0.34766,0.01172,0.96094,1.11304,1.73913,-0.69565,19:17.7
0.33984,0.01172,0.96094,1.25217,1.8087,-0.55652,19:17.8
0.34766,0.01563,0.96484,1.32174,1.66957,-0.90435,19:17.8
0.34375,0.01172,0.96094,1.18261,1.8087,-0.69565,19:17.9
0.34766,0.01172,0.95313,1.25217,1.6,-0.97391,19:17.9
0.33984,0.00781,0.96094,1.32174,2.01739,-0.90435,19:18.0
0.34375,0.00781,0.96094,1.11304,1.87826,-0.83478,19:18.0
0.34375,0.01172,0.96094,1.18261,1.73913,-1.25217,19:18.0
0.34766,0.01172,0.96484,1.3913,1.53043,-0.83478,19:18.1
0.33984,0.01172,0.96484,1.32174,1.66957,-0.83478,19:18.1
0.34375,0.00781,0.95703,1.32174,1.87826,-0.90435,19:18.2
0.34375,0.01172,0.96094,1.18261,2.01739,-0.76522,19:18.2
0.34766,0.01172,0.96484,1.18261,1.87826,-0.83478,19:18.3
0.34375,0.01172,0.96094,1.32174,1.6,-0.76522,19:18.3
0.33984,0.01172,0.96094,1.18261,1.87826,-0.48696,19:18.3
0.34766,0.00781,0.95703,1.04348,1.73913,-0.83478,19:18.4
0.34375,0.00781,0.96875,1.25217,1.8087,-0.69565,19:18.4
0.34375,0.01563,0.96094,1.32174,1.87826,-0.76522,19:18.5
0.34766,0.01172,0.95703,1.04348,1.73913,-0.76522,19:18.5
0.33984,0.01563,0.96094,1.3913,1.66957,-0.83478,19:18.5
0.34375,0.01563,0.96484,1.46087,1.73913,-1.04348,19:18.6
0.34375,0.01563,0.96094,1.46087,1.8087,-0.97391,19:18.6
0.34766,0.01172,0.96875,1.04348,1.66957,-0.76522,19:18.7
0.33984,0.01172,0.96484,1.25217,1.8087,-0.62609,19:18.7
0.34375,0.00781,0.96094,1.11304,1.73913,-0.55652,19:18.8
0.33984,0.01563,0.96875,1.11304,1.73913,-0.90435,19:18.8
0.34375,0.01172,0.96484,1.11304,1.73913,-1.04348,19:18.8
0.34766,0.01172,0.96484,1.25217,1.8087,-0.90435,19:18.9
0.34375,0.00781,0.96094,1.18261,1.73913,-0.90435,19:18.9
0.34375,0.01172,0.96094,0.97391,1.66957,-0.90435,19:19.0
0.33984,0.01172,0.96094,1.25217,1.8087,-0.76522,19:19.0
