Emo,CLDR Short Name,Other Keywords,theme,category,№,Code,sentimiento,confianzaSentimiento
😳,flushed face,dazed | face | flushed,Smileys & Emotion,face-concerned,70,U+1F633,NEGATIVE,0.9996354579925537
🥺,pleading face,begging | mercy | pleading face | puppy eyes,Smileys & Emotion,face-concerned,71,U+1F97A,NEGATIVE,0.799464762210846
😦,frowning face with open mouth,face | frown | frowning face with open mouth | mouth | open,Smileys & Emotion,face-concerned,72,U+1F626,NEGATIVE,0.9933851361274719
😧,anguished face,anguished | face,Smileys & Emotion,face-concerned,73,U+1F627,NEGATIVE,0.9996870756149292
😨,fearful face,face | fear | fearful | scared,Smileys & Emotion,face-concerned,74,U+1F628,NEGATIVE,0.9862094521522522
😰,anxious face with sweat,anxious face with sweat | blue | cold | face | rushed | sweat,Smileys & Emotion,face-concerned,75,U+1F630,NEGATIVE,0.9999768733978271
😥,sad but relieved face,disappointed | face | relieved | sad but relieved face | whew,Smileys & Emotion,face-concerned,76,U+1F625,NEGATIVE,0.9890919923782349
😢,crying face,cry | crying face | face | sad | tear,Smileys & Emotion,face-concerned,77,U+1F622,NEGATIVE,0.9356016516685486
😭,loudly crying face,cry | face | loudly crying face | sad | sob | tear,Smileys & Emotion,face-concerned,78,U+1F62D,NEGATIVE,0.983467161655426
😱,face screaming in fear,face | face screaming in fear | fear | munch | scared | scream,Smileys & Emotion,face-concerned,79,U+1F631,NEGATIVE,0.9990965127944946
😖,confounded face,confounded | face,Smileys & Emotion,face-concerned,80,U+1F616,NEGATIVE,0.9999375343322754
😣,persevering face,face | persevere | persevering face,Smileys & Emotion,face-concerned,81,U+1F623,POSITIVE,0.9991809725761414
😞,disappointed face,disappointed | face,Smileys & Emotion,face-concerned,82,U+1F61E,NEGATIVE,0.9999243021011353
😓,downcast face with sweat,cold | downcast face with sweat | face | sweat,Smileys & Emotion,face-concerned,83,U+1F613,NEGATIVE,0.9999793767929077
😩,weary face,face | tired | weary,Smileys & Emotion,face-concerned,84,U+1F629,NEGATIVE,0.999984622001648
😫,tired face,face | tired,Smileys & Emotion,face-concerned,85,U+1F62B,NEGATIVE,0.999976634979248
🥱,yawning face,bored | tired | yawn | yawning face,Smileys & Emotion,face-concerned,86,U+1F971,NEGATIVE,0.9999933242797852
😤,face with steam from nose,face | face with steam from nose | triumph | won,Smileys & Emotion,face-negative,87,U+1F624,POSITIVE,0.9706978797912598
😡,pouting face,angry | face | mad | pouting | rage | red,Smileys & Emotion,face-negative,88,U+1F621,NEGATIVE,0.9893054962158203
😠,angry face,angry | face | mad,Smileys & Emotion,face-negative,89,U+1F620,NEGATIVE,0.9974765181541443
🤬,face with symbols on mouth,face with symbols on mouth | swearing | cursing,Smileys & Emotion,face-negative,90,U+1F92C,NEGATIVE,0.9999513626098633
😈,smiling face with horns,face | fairy tale | fantasy | horns | smile | smiling face with horns,Smileys & Emotion,face-negative,91,U+1F608,POSITIVE,0.9997020363807678
👿,angry face with horns,angry face with horns | demon | devil | face | fantasy | imp,Smileys & Emotion,face-negative,92,U+1F47F,NEGATIVE,0.965389609336853
💀,skull,death | face | fairy tale | monster | skull,Smileys & Emotion,face-negative,93,U+1F480,NEGATIVE,0.9996494054794312
☠,skull and crossbones,crossbones | death | face | monster | skull | skull and crossbones,Smileys & Emotion,face-negative,94,U+2620,NEGATIVE,0.9962802529335022
💩,pile of poo,dung | face | monster | pile of poo | poo | poop,Smileys & Emotion,face-costume,95,U+1F4A9,NEGATIVE,0.9999865293502808
🤡,clown face,clown | face,Smileys & Emotion,face-costume,96,U+1F921,NEGATIVE,0.9485942721366882
👹,ogre,creature | face | fairy tale | fantasy | monster | ogre | troll,Smileys & Emotion,face-costume,97,U+1F479,POSITIVE,0.9709569811820984
👺,goblin,creature | face | fairy tale | fantasy | goblin | monster,Smileys & Emotion,face-costume,98,U+1F47A,POSITIVE,0.9939836859703064
👻,ghost,creature | face | fairy tale | fantasy | ghost | monster,Smileys & Emotion,face-costume,99,U+1F47B,POSITIVE,0.9945355653762817
👽,alien,alien | creature | extraterrestrial | face | fantasy | ufo,Smileys & Emotion,face-costume,100,U+1F47D,POSITIVE,0.9417964220046997
👾,alien monster,alien | creature | extraterrestrial | face | monster | ufo,Smileys & Emotion,face-costume,101,U+1F47E,NEGATIVE,0.8485350608825684
🤖,robot,face | monster | robot,Smileys & Emotion,face-costume,102,U+1F916,NEGATIVE,0.6587245464324951
😺,grinning cat,cat | face | grinning | mouth | open | smile,Smileys & Emotion,cat-face,103,U+1F63A,POSITIVE,0.9997441172599792
😸,grinning cat with smiling eyes,cat | eye | face | grin | grinning cat with smiling eyes | smile,Smileys & Emotion,cat-face,104,U+1F638,POSITIVE,0.9996848106384277
😹,cat with tears of joy,cat | cat with tears of joy | face | joy | tear,Smileys & Emotion,cat-face,105,U+1F639,POSITIVE,0.9994122982025146
😻,smiling cat with heart-eyes,cat | eye | face | heart | love | smile | smiling cat with heart-eyes,Smileys & Emotion,cat-face,106,U+1F63B,POSITIVE,0.9995614886283875
😼,cat with wry smile,cat | cat with wry smile | face | ironic | smile | wry,Smileys & Emotion,cat-face,107,U+1F63C,POSITIVE,0.9998717308044434
😽,kissing cat,cat | eye | face | kiss | kissing cat,Smileys & Emotion,cat-face,108,U+1F63D,POSITIVE,0.9998231530189514
🙀,weary cat,cat | face | oh | surprised | weary,Smileys & Emotion,cat-face,109,U+1F640,NEGATIVE,0.9997467398643494
😿,crying cat,cat | cry | crying cat | face | sad | tear,Smileys & Emotion,cat-face,110,U+1F63F,NEGATIVE,0.9306023716926575
😾,pouting cat,cat | face | pouting,Smileys & Emotion,cat-face,111,U+1F63E,NEGATIVE,0.9985322952270508
🙈,see-no-evil monkey,evil | face | forbidden | monkey | see | see-no-evil monkey,Smileys & Emotion,monkey-face,112,U+1F648,NEGATIVE,0.9909870028495789
🙉,hear-no-evil monkey,evil | face | forbidden | hear | hear-no-evil monkey | monkey,Smileys & Emotion,monkey-face,113,U+1F649,NEGATIVE,0.9842450022697449
🙊,speak-no-evil monkey,evil | face | forbidden | monkey | speak | speak-no-evil monkey,Smileys & Emotion,monkey-face,114,U+1F64A,NEGATIVE,0.9798731803894043
💋,kiss mark,kiss | kiss mark | lips,Smileys & Emotion,emotion,115,U+1F48B,POSITIVE,0.9997501969337463
💌,love letter,heart | letter | love | mail,Smileys & Emotion,emotion,116,U+1F48C,POSITIVE,0.9960048794746399
💘,heart with arrow,arrow | cupid | heart with arrow,Smileys & Emotion,emotion,117,U+1F498,POSITIVE,0.997788667678833
💝,heart with ribbon,heart with ribbon | ribbon | valentine,Smileys & Emotion,emotion,118,U+1F49D,POSITIVE,0.9958515167236328
💖,sparkling heart,excited | sparkle | sparkling heart,Smileys & Emotion,emotion,119,U+1F496,POSITIVE,0.9995947480201721
💗,growing heart,excited | growing | growing heart | nervous | pulse,Smileys & Emotion,emotion,120,U+1F497,POSITIVE,0.9998076558113098
💓,beating heart,beating | beating heart | heartbeat | pulsating,Smileys & Emotion,emotion,121,U+1F493,POSITIVE,0.9997292160987854
💞,revolving hearts,revolving | revolving hearts,Smileys & Emotion,emotion,122,U+1F49E,POSITIVE,0.9993670582771301
💕,two hearts,love | two hearts,Smileys & Emotion,emotion,123,U+1F495,POSITIVE,0.9982978701591492
💟,heart decoration,heart | heart decoration,Smileys & Emotion,emotion,124,U+1F49F,POSITIVE,0.9992333650588989
❣,heart exclamation,exclamation | heart exclamation | mark | punctuation,Smileys & Emotion,emotion,125,U+2763,POSITIVE,0.9985328912734985
💔,broken heart,break | broken | broken heart,Smileys & Emotion,emotion,126,U+1F494,NEGATIVE,0.9533001184463501
❤,red heart,heart | red heart,Smileys & Emotion,emotion,127,U+2764,POSITIVE,0.9990359544754028
🧡,orange heart,orange | orange heart,Smileys & Emotion,emotion,128,U+1F9E1,NEGATIVE,0.8707366585731506
💛,yellow heart,yellow | yellow heart,Smileys & Emotion,emotion,129,U+1F49B,NEGATIVE,0.9997801184654236
💚,green heart,green | green heart,Smileys & Emotion,emotion,130,U+1F49A,POSITIVE,0.9767453074455261
💙,blue heart,blue | blue heart,Smileys & Emotion,emotion,131,U+1F499,POSITIVE,0.9992121458053589
💜,purple heart,purple | purple heart,Smileys & Emotion,emotion,132,U+1F49C,POSITIVE,0.9950674772262573
🤎,brown heart,brown | heart,Smileys & Emotion,emotion,133,U+1F90E,POSITIVE,0.9985186457633972
🖤,black heart,black | black heart | evil | wicked,Smileys & Emotion,emotion,134,U+1F5A4,POSITIVE,0.9932770133018494
🤍,white heart,heart | white,Smileys & Emotion,emotion,135,U+1F90D,POSITIVE,0.9990516304969788
💯,hundred points,100 | full | hundred | hundred points | score,Smileys & Emotion,emotion,136,U+1F4AF,POSITIVE,0.9996682405471802
💢,anger symbol,anger symbol | angry | comic | mad,Smileys & Emotion,emotion,137,U+1F4A2,POSITIVE,0.9640215635299683
💥,collision,boom | collision | comic,Smileys & Emotion,emotion,138,U+1F4A5,POSITIVE,0.9887416958808899
💫,dizzy,comic | dizzy | star,Smileys & Emotion,emotion,139,U+1F4AB,POSITIVE,0.9997157454490662
💦,sweat droplets,comic | splashing | sweat | sweat droplets,Smileys & Emotion,emotion,140,U+1F4A6,POSITIVE,0.9993274211883545
💨,dashing away,comic | dash | dashing away | running,Smileys & Emotion,emotion,141,U+1F4A8,POSITIVE,0.9973642230033875
🕳,hole,hole,Smileys & Emotion,emotion,142,U+1F573,NEGATIVE,0.9997089505195618
💣,bomb,bomb | comic,Smileys & Emotion,emotion,143,U+1F4A3,POSITIVE,0.9916493892669678
💬,speech balloon,balloon | bubble | comic | dialog | speech,Smileys & Emotion,emotion,144,U+1F4AC,POSITIVE,0.9915368556976318
👁️‍🗨️,eye in speech bubble,eye | eye in speech bubble | speech bubble | witness,Smileys & Emotion,emotion,145,U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F,POSITIVE,0.9877448678016663
🗨,left speech bubble,dialog | left speech bubble | speech,Smileys & Emotion,emotion,146,U+1F5E8,NEGATIVE,0.9928500652313232
🗯,right anger bubble,angry | balloon | bubble | mad | right anger bubble,Smileys & Emotion,emotion,147,U+1F5EF,NEGATIVE,0.7996350526809692
💭,thought balloon,balloon | bubble | comic | thought,Smileys & Emotion,emotion,148,U+1F4AD,POSITIVE,0.9995319843292236
💤,zzz,comic | sleep | zzz,Smileys & Emotion,emotion,149,U+1F4A4,POSITIVE,0.9939029812812805
👋,waving hand,hand | wave | waving,People & Body,hand-fingers-open,150,U+1F44B,POSITIVE,0.9942303895950317
🤚,raised back of hand,backhand | raised | raised back of hand,People & Body,hand-fingers-open,151,U+1F91A,NEGATIVE,0.9939755797386169
🖐,hand with fingers splayed,finger | hand | hand with fingers splayed | splayed,People & Body,hand-fingers-open,152,U+1F590,POSITIVE,0.5103815197944641
✋,raised hand,hand | raised hand,People & Body,hand-fingers-open,153,U+270B,NEGATIVE,0.9096325039863586
🖖,vulcan salute,finger | hand | spock | vulcan | vulcan salute,People & Body,hand-fingers-open,154,U+1F596,POSITIVE,0.9958012700080872
👌,OK hand,hand | OK,People & Body,hand-fingers-partial,155,U+1F44C,POSITIVE,0.5837888717651367
🤏,pinching hand,pinching hand | small amount,People & Body,hand-fingers-partial,156,U+1F90F,NEGATIVE,0.9934630393981934
✌,victory hand,hand | v | victory,People & Body,hand-fingers-partial,157,U+270C,POSITIVE,0.9985862970352173
🤞,crossed fingers,cross | crossed fingers | finger | hand | luck,People & Body,hand-fingers-partial,158,U+1F91E,POSITIVE,0.9980306029319763
🤟,love-you gesture,hand | ILY | love-you gesture,People & Body,hand-fingers-partial,159,U+1F91F,POSITIVE,0.999208390712738
🤘,sign of the horns,finger | hand | horns | rock-on | sign of the horns,People & Body,hand-fingers-partial,160,U+1F918,POSITIVE,0.8384689092636108
🤙,call me hand,call | call me hand | hand,People & Body,hand-fingers-partial,161,U+1F919,NEGATIVE,0.7208406329154968
👈,backhand index pointing left,backhand | backhand index pointing left | finger | hand | index | point,People & Body,hand-single-finger,162,U+1F448,POSITIVE,0.8559777140617371
👉,backhand index pointing right,backhand | backhand index pointing right | finger | hand | index | point,People & Body,hand-single-finger,163,U+1F449,POSITIVE,0.9493288993835449
👆,backhand index pointing up,backhand | backhand index pointing up | finger | hand | point | up,People & Body,hand-single-finger,164,U+1F446,POSITIVE,0.7428371906280518
🖕,middle finger,finger | hand | middle finger,People & Body,hand-single-finger,165,U+1F595,NEGATIVE,0.5416098833084106
👇,backhand index pointing down,backhand | backhand index pointing down | down | finger | hand | point,People & Body,hand-single-finger,166,U+1F447,NEGATIVE,0.8330217599868774
☝,index pointing up,finger | hand | index | index pointing up | point | up,People & Body,hand-single-finger,167,U+261D,NEGATIVE,0.6503100395202637
👍,thumbs up,+1 | hand | thumb | thumbs up | up,People & Body,hand-fingers-closed,168,U+1F44D,POSITIVE,0.9990946054458618
👎,thumbs down,-1 | down | hand | thumb | thumbs down,People & Body,hand-fingers-closed,169,U+1F44E,NEGATIVE,0.9999285936355591
✊,raised fist,clenched | fist | hand | punch | raised fist,People & Body,hand-fingers-closed,170,U+270A,NEGATIVE,0.8596488237380981
👊,oncoming fist,clenched | fist | hand | oncoming fist | punch,People & Body,hand-fingers-closed,171,U+1F44A,NEGATIVE,0.9915711879730225
🤛,left-facing fist,fist | left-facing fist | leftwards,People & Body,hand-fingers-closed,172,U+1F91B,NEGATIVE,0.9356539249420166
🤜,right-facing fist,fist | right-facing fist | rightwards,People & Body,hand-fingers-closed,173,U+1F91C,NEGATIVE,0.8418972492218018
👏,clapping hands,clap | clapping hands | hand,People & Body,hands,174,U+1F44F,POSITIVE,0.9968558549880981
🙌,raising hands,celebration | gesture | hand | hooray | raised | raising hands,People & Body,hands,175,U+1F64C,POSITIVE,0.9988481998443604
👐,open hands,hand | open | open hands,People & Body,hands,176,U+1F450,POSITIVE,0.963944137096405
🤲,palms up together,palms up together | prayer | cupped hands,People & Body,hands,177,U+1F932,POSITIVE,0.99837327003479
🤝,handshake,agreement | hand | handshake | meeting | shake,People & Body,hands,178,U+1F91D,POSITIVE,0.9989789724349976
🙏,folded hands,ask | folded hands | hand | please | pray | thanks,People & Body,hands,179,U+1F64F,POSITIVE,0.9594135284423828
✍,writing hand,hand | write | writing hand,People & Body,hand-prop,180,U+270D,POSITIVE,0.872591495513916
💅,nail polish,care | cosmetics | manicure | nail | polish,People & Body,hand-prop,181,U+1F485,POSITIVE,0.9997255206108093
🤳,selfie,camera | phone | selfie,People & Body,hand-prop,182,U+1F933,POSITIVE,0.5877044796943665
💪,flexed biceps,biceps | comic | flex | flexed biceps | muscle,People & Body,body-parts,183,U+1F4AA,POSITIVE,0.9996904134750366
🦾,mechanical arm,accessibility | mechanical arm | prosthetic,People & Body,body-parts,184,U+1F9BE,POSITIVE,0.9965272545814514
🦿,mechanical leg,accessibility | mechanical leg | prosthetic,People & Body,body-parts,185,U+1F9BF,POSITIVE,0.9937059283256531
🦵,leg,kick | leg | limb,People & Body,body-parts,186,U+1F9B5,NEGATIVE,0.5359559059143066
🦶,foot,foot | kick | stomp,People & Body,body-parts,187,U+1F9B6,NEGATIVE,0.9738379716873169
👂,ear,body | ear,People & Body,body-parts,188,U+1F442,POSITIVE,0.9695489406585693
🦻,ear with hearing aid,accessibility | ear with hearing aid | hard of hearing,People & Body,body-parts,189,U+1F9BB,POSITIVE,0.6456263661384583
👃,nose,body | nose,People & Body,body-parts,190,U+1F443,NEGATIVE,0.5482705235481262
🧠,brain,brain | intelligent,People & Body,body-parts,191,U+1F9E0,POSITIVE,0.9992272853851318
🦷,tooth,dentist | tooth,People & Body,body-parts,192,U+1F9B7,NEGATIVE,0.5638496279716492
🦴,bone,bone | skeleton,People & Body,body-parts,193,U+1F9B4,POSITIVE,0.6104989051818848
👀,eyes,eye | eyes | face,People & Body,body-parts,194,U+1F440,POSITIVE,0.9996875524520874
👁,eye,body | eye,People & Body,body-parts,195,U+1F441,POSITIVE,0.9992672801017761
👅,tongue,body | tongue,People & Body,body-parts,196,U+1F445,POSITIVE,0.9814742207527161
👄,mouth,lips | mouth,People & Body,body-parts,197,U+1F444,POSITIVE,0.9618985056877136
👶,baby,baby | young,People & Body,person,198,U+1F476,POSITIVE,0.9918095469474792
🧒,child,child | gender-neutral | unspecified gender | young,People & Body,person,199,U+1F9D2,NEGATIVE,0.992583155632019
👦,boy,boy | young,People & Body,person,200,U+1F466,POSITIVE,0.8404504060745239
👧,girl,girl | Virgo | young | zodiac,People & Body,person,201,U+1F467,POSITIVE,0.9983600974082947
🧑,person,adult | gender-neutral | person | unspecified gender,People & Body,person,202,U+1F9D1,NEGATIVE,0.9918367266654968
👱,person: blond hair,blond | blond-haired person | hair | person: blond hair,People & Body,person,203,U+1F471,POSITIVE,0.9388993978500366
👨,man,adult | man,People & Body,person,204,U+1F468,POSITIVE,0.9138456583023071
🧔,man: beard,beard | man | man: beard | person | bewhiskered,People & Body,person,205,U+1F9D4,NEGATIVE,0.9805575609207153
👨‍🦰,man: red hair,adult | man | red hair,People & Body,person,206,U+1F468 U+200D U+1F9B0,POSITIVE,0.5292788743972778
👨‍🦱,man: curly hair,adult | curly hair | man,People & Body,person,207,U+1F468 U+200D U+1F9B1,POSITIVE,0.9910759925842285
👨‍🦳,man: white hair,adult | man | white hair,People & Body,person,208,U+1F468 U+200D U+1F9B3,POSITIVE,0.747582733631134
👨‍🦲,man: bald,adult | bald | man,People & Body,person,209,U+1F468 U+200D U+1F9B2,NEGATIVE,0.9995025396347046
👩,woman,adult | woman,People & Body,person,210,U+1F469,POSITIVE,0.9114576578140259
👩‍🦰,woman: red hair,adult | red hair | woman,People & Body,person,211,U+1F469 U+200D U+1F9B0,POSITIVE,0.8748441934585571
🧑‍🦰,⊛ person: red hair,adult | gender-neutral | person | red hair | unspecified gender,People & Body,person,212,U+1F9D1 U+200D U+1F9B0,NEGATIVE,0.9957008957862854
👩‍🦱,woman: curly hair,adult | curly hair | woman,People & Body,person,213,U+1F469 U+200D U+1F9B1,POSITIVE,0.9902740120887756
🧑‍🦱,⊛ person: curly hair,adult | curly hair | gender-neutral | person | unspecified gender,People & Body,person,214,U+1F9D1 U+200D U+1F9B1,NEGATIVE,0.9848464727401733
