Fecha,NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
feb-21,5,Barrio del Pilar,"62,3","60,2","50,8","60,3",68,"63,3",58,"40,1","36,5"
feb-21,6,Gregorio Marañón,"69,8","69,1","61,5","68,2","75,9","71,4","64,7","49,8","41,1"
feb-21,8,Escuelas Aguirre,"66,1","65,2","58,9","64,6","71,7","67,6","62,5","48,7",41
feb-21,10,Cuatro Caminos,"65,5","64,6","56,6","63,8","72,4","67,2","59,2","47,5","46,3"
feb-21,11,Ramón y Cajal,"68,3","67,3","58,4","66,5","73,3","69,8",64,"42,3","37,6"
feb-21,12,Plaza Manuel Becerra,64,"62,5","54,8","62,2","70,2",64,"59,3","46,8","41,6"
feb-21,13,Vallecas,"57,3","57,4","49,2","55,9","64,3","58,8","51,9","39,2","36,5"
feb-21,14,Glorieta Fdez. Ladreda,"65,4","64,8","58,4","63,9","70,2","65,9","62,5",51,"43,5"
feb-21,16,Arturo Soria,"62,5","61,3","53,8","60,7","67,7","64,4","57,8","37,8","34,7"
feb-21,17,Villaverde,"57,7","57,4","47,8","56,1","65,3","58,8","51,8",38,"35,1"
feb-21,18,Farolillo,"58,6","56,9","49,2","56,8","66,8","58,3","50,8","42,8","41,5"
feb-21,19,Alto Extremadura,"60,9",60,"51,6","59,2","67,4","61,7","55,1","39,3",33
feb-21,20,Avda de Moratalaz,"61,4","60,6",52,"59,7","67,8","62,1","55,9","42,6",41
feb-21,24,Casa de Campo,"50,7","46,3","42,6","48,5","57,2","50,2","43,9","38,4","37,1"
feb-21,25,Santa Eugenia,"68,7","67,7",62,"67,2","71,6","69,7","67,1","54,6","44,5"
feb-21,26,Embajada,"63,2","59,1","54,7","61,1","69,6","63,8","56,1","46,7","41,3"
feb-21,27,Barajas Pueblo,"57,5",56,52,56,66,"59,4","49,3",40,"35,4"
feb-21,28,Cuatro Vientos,"68,8","66,2","58,9","66,7",75,71,"61,7","40,1","37,4"
feb-21,29,El Pardo,"59,4","57,4","49,2","57,5","66,6","61,4",51,"34,8","33,3"
feb-21,30,Campo de las Naciones,"60,4","58,2","56,6","59,1","67,5","61,9","56,1","43,9","39,9"
feb-21,31,Sanchinarro,"63,4","62,7","50,2","61,6","72,1","66,3","53,2","41,1","38,4"
feb-21,47,Méndez Álvaro,"56,3","54,4","48,8","54,6","65,7","55,4","48,4","38,1","35,9"
feb-21,48,Castellana,"61,6","61,5","55,2","60,3","67,8","63,1","58,3","44,8","38,7"
feb-21,50,Pza de Castilla,"66,1","65,7","58,2","64,5","70,7","66,7","62,4","49,6","44,7"
feb-21,54,Ensanche de Vallecas,"61,5","60,7","51,1","59,8","66,9","63,3","57,9","40,1","36,9"
feb-21,55,Urbanización Embajada II,"55,7","54,3","48,4","54,1","62,8","56,1","49,7","41,5","38,5"
feb-21,86,Tres Olivos,"56,7","55,1","47,7",55,"63,7","58,2","50,4","37,8","35,8"
mar-21,1,Paseo de Recoletos,"68,6","67,2","61,4",67,"73,5","69,9","62,3","48,9","40,2"
mar-21,2,Carlos V,"68,9","68,4","63,2","67,6","74,2","69,7","65,7","55,3","48,9"
mar-21,3,Plaza del Carmen,"61,8","61,8","56,5","60,7","69,3","63,4","56,7","42,5","39,1"
mar-21,4,Plaza de España,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
mar-21,5,Barrio del Pilar,"61,6","60,3","50,9","59,8","67,2","62,6","57,5","40,1","35,8"
mar-21,6,Gregorio Marañón,"69,3","68,8","61,6","67,8","75,5","70,8","64,4","49,6","40,6"
mar-21,8,Escuelas Aguirre,"65,9","64,7","59,2","64,3","71,7","67,2",62,"48,5","40,2"
mar-21,10,Cuatro Caminos,"65,1","64,1","56,9","63,4",72,"66,8","58,7","45,9","44,7"
mar-21,11,Ramón y Cajal,"67,8","66,9","59,2","66,1","72,7","69,3","63,8","41,9","37,3"
mar-21,12,Plaza Manuel Becerra,"63,1","62,7","55,3","61,6","69,3","63,6","59,2","46,3","39,1"
mar-21,13,Vallecas,"57,1","57,3","49,7","55,8",64,"58,4","51,7","38,5","36,1"
mar-21,14,Glorieta Fdez. Ladreda,"64,5","64,3",58,"63,2","69,7","65,3","61,9","50,7","42,4"
mar-21,16,Arturo Soria,"61,8","60,4","53,5",60,"67,4","63,4","57,1","36,6","33,7"
mar-21,17,Villaverde,"58,1","58,3","48,9","56,7","65,4","58,8",52,"37,9","34,9"
mar-21,18,Farolillo,"57,8","57,1","51,6","56,4","66,5","58,1","50,7","39,1","37,5"
mar-21,19,Alto Extremadura,"61,4","59,3","51,6","59,5","68,7","61,6","54,5","38,9","31,8"
mar-21,20,Avda de Moratalaz,62,"60,2","54,7","60,3","68,9","62,1","55,5","41,7","39,8"
mar-21,24,Casa de Campo,"49,5","46,7","42,6","47,7","56,5","50,7","44,1","38,1","36,9"
mar-21,25,Santa Eugenia,"67,6","67,1","61,5","66,2","70,4","68,6","66,3","54,9","44,9"
mar-21,26,Embajada,"60,7",59,56,"59,3","67,3","62,7","55,1","45,7","39,9"
mar-21,27,Barajas Pueblo,"57,6","55,9","51,5",56,"65,7","59,5","50,3","39,7","34,9"
mar-21,28,Cuatro Vientos,"67,9","65,9","58,8",66,"74,5","70,2","60,5","36,9",33
mar-21,29,El Pardo,"57,5","56,9","48,2","55,9","64,8",60,"50,7","34,4","33,2"
mar-21,30,Campo de las Naciones,"59,8","58,3","51,2","58,1","65,7","61,4","55,8","42,1","38,5"
mar-21,31,Sanchinarro,"62,8","62,3","50,4","61,1","71,4","65,6","52,5","39,7","37,1"
mar-21,47,Méndez Álvaro,"55,6",55,49,"54,2","65,6",55,"48,4","37,5","34,7"
mar-21,48,Castellana,"61,1","61,5","54,4","59,9","67,5","62,2","57,5","44,7","38,3"
mar-21,50,Pza de Castilla,"65,6","65,2","58,9","64,2","70,2","66,1",62,"49,4","44,1"
mar-21,54,Ensanche de Vallecas,"61,1","60,1",51,"59,3","66,3","62,7","57,5","40,3","37,4"
mar-21,55,Urbanización Embajada II,"55,6","53,6","47,5","53,8","62,5","55,8","49,5","40,8","37,9"
mar-21,86,Tres Olivos,"56,5","54,5","46,6","54,6","63,7","57,8","49,7","36,9","35,4"
abr-21,1,Paseo de Recoletos,"71,7",67,"61,3","69,3","75,5","69,7",62,"48,2","39,7"
abr-21,2,Carlos V,"68,9","68,6","63,4","67,7","74,1","69,9","65,8","55,5","49,1"
abr-21,3,Plaza del Carmen,"61,7","63,2","55,6","60,8","69,4","63,5","56,7",43,"38,9"
abr-21,4,Plaza de España,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
abr-21,5,Barrio del Pilar,"60,9","63,7","51,5","60,2",67,"62,3",57,"39,5","35,1"
abr-21,6,Gregorio Marañón,"69,6","69,1","62,6","68,1","75,9","71,2","64,6","49,8","40,8"
abr-21,8,Escuelas Aguirre,"65,5",65,"59,5","64,2","71,8","67,3","62,1","48,5","40,3"
abr-21,10,Cuatro Caminos,"64,9","64,3","57,7","63,4","72,2","66,9","58,7","47,3","46,1"
abr-21,11,Ramón y Cajal,68,"67,4","59,4","66,4","73,2","69,7","64,2","42,4","37,4"
abr-21,12,Plaza Manuel Becerra,"63,1","63,2",56,"61,8","69,7","63,9","59,4","47,8","42,1"
abr-21,13,Vallecas,"57,5","60,6","50,3","57,1","65,4","59,3","52,2","38,6",36
abr-21,14,Glorieta Fdez. Ladreda,"64,9","64,7","58,4","63,5","70,2","65,6","61,9",51,"42,8"
abr-21,16,Arturo Soria,"62,2","60,8","53,5","60,4","67,5","63,6","57,3","36,2",33
abr-21,17,Villaverde,58,"60,1","48,6","57,1","65,7","59,4","52,6","36,8","33,9"
abr-21,18,Farolillo,"58,5","57,7","49,7","56,9","66,6",58,"50,8","39,5","37,2"
abr-21,19,Alto Extremadura,"60,5","59,9","52,6","58,9","67,3","61,6","54,9","38,1","30,9"
abr-21,20,Avda de Moratalaz,"63,2","61,3","53,3","61,3","69,9","63,2","56,3","39,4","36,6"
abr-21,24,Casa de Campo,"49,1","47,4","41,3","47,3","55,5","50,2",44,"37,6","36,5"
abr-21,25,Santa Eugenia,"68,7","68,2","62,6","67,3","71,6","69,7","67,1","55,6","44,7"
abr-21,26,Embajada,61,"58,7",54,"59,2","67,4","62,7","55,1","45,7","39,8"
abr-21,27,Barajas Pueblo,"57,8","56,3","51,6","56,3","66,4","59,8","50,1","38,6","33,3"
abr-21,28,Cuatro Vientos,"67,3","65,8","59,2","65,6","74,1","69,9","59,8","36,5","31,6"
abr-21,29,El Pardo,"58,8","57,4","48,7","56,9","65,5","60,5","50,9","34,7","33,4"
abr-21,30,Campo de las Naciones,"60,2","59,2","51,6","58,5","66,1","61,7","56,3","42,4","38,2"
abr-21,31,Sanchinarro,"62,8","62,6","50,5","61,1","71,7","65,9",52,"39,4","36,5"
abr-21,47,Méndez Álvaro,"56,2","55,3","49,2","54,6","65,8","55,9",49,"36,3",34
abr-21,48,Castellana,"60,9","61,3","54,5","59,7","67,5","62,5","57,7","45,3","38,2"
abr-21,50,Pza de Castilla,"65,6","65,5","58,9","64,3","70,5","66,4","62,1","49,7",44
abr-21,54,Ensanche de Vallecas,"60,9","60,5","51,2","59,3","66,2","62,7","57,5","39,6","36,5"
abr-21,55,Urbanización Embajada II,"55,6",54,"48,4","53,9","62,6","56,1","49,6","42,1","39,7"
abr-21,86,Tres Olivos,57,"55,8","48,1","55,2","64,4","58,3","50,5","36,7",35
may-21,1,Paseo de Recoletos,"65,7","66,6","61,5","64,9","71,9","68,2","61,5","49,8","40,6"
may-21,2,Carlos V,"68,7","69,7","64,6","67,9",75,"69,5","65,4","56,7","50,5"
may-21,3,Plaza del Carmen,"61,5","63,3","57,6",61,"69,4","63,7","57,8","44,8","39,7"
may-21,4,Plaza de España,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
may-21,5,Barrio del Pilar,"60,8","61,1","51,5","59,4","66,7","61,7","56,7","41,6","35,8"
may-21,6,Gregorio Marañón,"69,1","69,4",63,"67,9","76,1","70,5","64,1","51,7",43
may-21,8,Escuelas Aguirre,"64,9","64,9","60,2","63,8",71,"66,8","61,8","51,3","43,5"
may-21,10,Cuatro Caminos,"64,5","63,6","58,6","63,1","71,5","66,3","58,6","47,4","45,3"
may-21,11,Ramón y Cajal,"67,7","66,9","59,7","66,1","72,5","69,1",64,"45,1",38
may-21,12,Plaza Manuel Becerra,"63,1","63,5","56,4","61,8","69,9","63,5","59,2","48,9","43,8"
may-21,13,Vallecas,"57,7","58,1",51,"56,5","65,1","58,6","52,3","40,9","36,5"
may-21,14,Glorieta Fdez. Ladreda,"64,8","64,5",59,"63,5","70,3","65,1","61,5","52,4","44,8"
may-21,16,Arturo Soria,"60,9",60,"53,9","59,4","66,4","62,6","56,7","38,8",34
may-21,17,Villaverde,"57,1","60,4","50,4","56,7","65,1","59,1","52,9","39,7","35,3"
may-21,18,Farolillo,"57,9",58,51,"56,6","66,1","57,6",51,"40,2","37,7"
may-21,19,Alto Extremadura,"60,8","60,2","52,5","59,2","67,6",61,"54,3",40,"32,9"
may-21,20,Avda de Moratalaz,"62,9",61,"56,5","61,2",69,"62,4","56,3","41,6","37,6"
may-21,24,Casa de Campo,"51,6","47,9","41,3","49,4","57,7","51,1","44,3","37,7","36,3"
may-21,25,Santa Eugenia,"67,1",67,"62,1",66,"70,3","68,3","65,8","56,6",46
may-21,26,Embajada,"59,8","58,5","53,5","58,2","66,6","61,9","54,8","45,6","39,3"
may-21,27,Barajas Pueblo,"57,8","56,5",52,"56,3","66,1","59,7","50,6","40,5","34,2"
may-21,28,Cuatro Vientos,"66,8","65,2","58,7",65,"73,6","69,2","59,4","38,4","32,8"
may-21,29,El Pardo,"57,4","57,4","50,7","56,1","64,6","59,5","51,2","37,5","34,1"
may-21,30,Campo de las Naciones,"59,6",59,"53,5","58,2","65,9","61,1","55,6","42,5","38,1"
may-21,31,Sanchinarro,"62,2","62,2","51,7","60,7",71,"65,3","52,3","41,4","37,7"
may-21,47,Méndez Álvaro,"56,3","56,3","50,4","55,1","66,5","55,6","49,9","39,4","35,6"
may-21,48,Castellana,"60,1","60,8","55,6","59,2","67,1","61,7","57,3","47,7","41,1"
may-21,50,Pza de Castilla,"65,3","65,1","59,3",64,"70,5","65,6","61,6","51,1",45
may-21,54,Ensanche de Vallecas,60,"59,9","52,1","58,5","65,4","61,8","56,8","41,2","36,9"
may-21,55,Urbanización Embajada II,"55,6","54,7","49,8","54,2","62,4",56,"50,6","46,3","44,9"
may-21,86,Tres Olivos,"56,1","55,4","49,4","54,6","63,4","57,9","50,5","38,5","35,7"
jun-21,1,Paseo de Recoletos,"65,6","65,7","61,8","64,6","71,4","67,7","61,9","51,9","43,4"
jun-21,2,Carlos V,"68,1","68,4","64,4","67,2","73,9","68,8","65,2","57,8","51,7"
jun-21,3,Plaza del Carmen,"61,7","63,5",59,"61,4","69,4",64,"58,5","48,3","41,9"
jun-21,4,Plaza de España,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
jun-21,5,Barrio del Pilar,"61,5","61,7","53,1","60,1","67,1","62,3","57,4","43,7","37,5"
jun-21,6,Gregorio Marañón,"69,1","68,7","63,7","67,9","75,6","70,5","64,5","54,1","45,3"
jun-21,8,Escuelas Aguirre,"65,5","64,8","60,9","64,3","71,8","66,7","61,9","53,2","46,9"
jun-21,10,Cuatro Caminos,"64,7","63,9","58,7","63,3","71,5","66,3","58,8","49,6","47,7"
jun-21,11,Ramón y Cajal,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
jun-21,12,Plaza Manuel Becerra,"63,5","63,8","57,4","62,3","70,7","63,9","59,6","50,6","44,9"
jun-21,13,Vallecas,"59,6","59,3","52,5","58,2","66,4","60,5","53,5","43,6","38,1"
jun-21,14,Glorieta Fdez. Ladreda,"71,7","64,3",60,"69,1","73,4","67,3",62,"53,9","46,9"
jun-21,16,Arturo Soria,"61,2","60,4","54,6","59,7","66,7","62,7","57,1","40,6","34,8"
jun-21,17,Villaverde,"57,8","60,9","52,3","57,5","65,8",60,"53,9","42,5","36,7"
jun-21,18,Farolillo,"57,4","57,2","50,6",56,"65,7","58,1","51,3","41,6","38,3"
jun-21,19,Alto Extremadura,60,"60,3","53,2","58,8","67,7","61,3","54,6","42,3","34,5"
jun-21,20,Avda de Moratalaz,"60,3","60,9","55,4","59,4","67,2","61,6",56,"44,2","38,1"
jun-21,24,Casa de Campo,"49,5","49,3",44,"48,2","56,3","50,4","44,3","37,6","35,4"
jun-21,25,Santa Eugenia,"67,5","67,2","63,3","66,4","70,6","68,6","66,2","58,9","49,4"
jun-21,26,Embajada,61,"58,9","54,7","59,3","67,3","62,6","55,7","47,4","40,7"
jun-21,27,Barajas Pueblo,59,"57,1","53,7","57,5",67,"60,4","51,5","43,5","35,4"
jun-21,28,Cuatro Vientos,"67,4","66,3","59,4","65,8","73,9","69,8","61,3","40,8","34,1"
jun-21,29,El Pardo,"58,4","56,7","51,7","56,8","65,1","59,6","51,8","38,1","34,1"
jun-21,30,Campo de las Naciones,"59,7","59,4","52,3","58,2","65,7","61,2","56,3","42,6","39,1"
jun-21,31,Sanchinarro,62,"62,5",52,"60,6","70,9","65,4","52,2","42,3","38,3"
jun-21,47,Méndez Álvaro,"58,6","56,9",51,"56,9","66,8","56,7",51,"42,6","38,8"
jun-21,48,Castellana,"61,8","60,6","55,9","60,4","67,8","62,4","57,6","49,9","45,6"
jun-21,50,Pza de Castilla,"65,3","65,3","60,3","64,2","70,7","65,8","61,9","53,1","47,2"
jun-21,54,Ensanche de Vallecas,60,"60,2","52,8","58,7","65,7","61,7","56,8","44,2","38,2"
jun-21,55,Urbanización Embajada II,"55,6","59,4","50,8","55,8","62,6","56,5","50,9","45,2","41,8"
jun-21,86,Tres Olivos,"56,4","55,9","50,7","55,1","64,1","58,2","50,8","40,4","36,3"
jul-21,1,Paseo de Recoletos,"65,5","66,1","62,2","64,8","71,5",68,"61,6","52,4","44,1"
jul-21,2,Carlos V,"67,9","68,2","64,7","67,2","73,8","68,7","65,1","58,7","53,2"
jul-21,3,Plaza del Carmen,"61,3",63,"58,8",61,"69,4","63,6","57,7","49,1","43,4"
jul-21,4,Plaza de España,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
jul-21,5,Barrio del Pilar,"60,7","61,9","53,8","59,7","67,1","62,1",57,"44,7","38,4"
jul-21,6,Gregorio Marañón,"68,3","67,7","63,4","67,1","74,9","69,8","63,7","54,6","46,4"
jul-21,8,Escuelas Aguirre,"63,3","64,2","59,9","62,7","70,1",65,"60,6","53,4","48,5"
jul-21,10,Cuatro Caminos,"63,7","62,7","58,9","62,4","70,8","65,4","57,8","49,5","47,2"
jul-21,11,Ramón y Cajal,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
jul-21,12,Plaza Manuel Becerra,"62,8","62,9","56,9","61,6","69,7","63,1","58,7","50,3","44,1"
jul-21,13,Vallecas,"60,1","71,3","56,8","64,7",66,"59,1","52,3","43,8","37,3"
jul-21,14,Glorieta Fdez. Ladreda,"64,2","64,4","59,5","63,2","69,9","64,9","61,4","54,4","48,6"
jul-21,16,Arturo Soria,"59,7","58,9","54,4","58,4","65,5","61,8","55,8",41,"35,5"
jul-21,17,Villaverde,"56,7","60,4","54,2",57,"65,8","59,4","53,1","44,1","38,3"
jul-21,18,Farolillo,57,"56,7","50,2","55,6","65,5","57,5","50,3","41,9","39,2"
jul-21,19,Alto Extremadura,"59,4","59,8","54,3","58,4","67,3","60,8","54,1","44,8","38,6"
jul-21,20,Avda de Moratalaz,"59,2","59,7","53,4","58,1",66,"60,6","55,2",45,"38,8"
jul-21,24,Casa de Campo,"48,9","47,6","43,9","47,5","54,4",50,"45,7","40,4","37,5"
jul-21,25,Santa Eugenia,"66,9","66,2","62,7","65,7",70,"67,8","65,5",59,"50,3"
jul-21,26,Embajada,"59,6","58,7","54,8","58,4","66,2",62,"55,5","48,3",42
jul-21,27,Barajas Pueblo,"58,2",57,"54,3",57,"66,8",60,"51,4","47,2","40,2"
jul-21,28,Cuatro Vientos,"66,7","65,3","59,6","65,1","73,6","69,1","60,4","41,6","35,3"
jul-21,29,El Pardo,"58,3","56,4","52,3","56,7","65,2","59,7","51,9","38,7","34,1"
jul-21,30,Campo de las Naciones,"58,9","58,8","52,6","57,6","64,7","60,4","55,8","42,5","38,6"
jul-21,31,Sanchinarro,"61,4","61,7","51,9",60,"70,3","64,5","51,6","43,3","38,9"
jul-21,47,Méndez Álvaro,"56,1","54,6","50,9","54,7","65,2","55,4","50,2","41,6","38,7"
jul-21,48,Castellana,"59,6","58,7","55,6","58,5","65,9","60,7","56,6","50,1","46,6"
jul-21,50,Pza de Castilla,"64,8","64,5","60,3","63,7","69,9","65,1","61,3","53,4","48,1"
jul-21,54,Ensanche de Vallecas,"58,9","59,2","53,1","57,7","64,6","60,8",56,"46,5",38
jul-21,55,Urbanización Embajada II,"64,9","54,5","49,8","62,1","67,2","58,5","50,9","45,2","41,1"
jul-21,86,Tres Olivos,"55,2","54,5","48,9","53,8",63,"56,8","49,1","40,9","36,2"
ago-21,1,Paseo de Recoletos,"63,4",63,"61,3","62,7","70,2","65,2",59,"50,9","44,1"
ago-21,2,Carlos V,"67,3","67,3","64,2","66,5","72,9","68,3","64,4",58,"52,9"
ago-21,3,Plaza del Carmen,"60,6","60,7",57,"59,7","68,5","61,5","55,7","47,9","42,9"
ago-21,4,Plaza de España,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
ago-21,5,Barrio del Pilar,"59,3","61,2","52,9","58,5","65,7","61,2","55,9","44,8","38,7"
ago-21,6,Gregorio Marañón,"66,9","66,6","62,4","65,8","73,6","68,5","62,3","52,7","44,6"
ago-21,8,Escuelas Aguirre,"62,6","63,1",59,"61,8","69,2","64,4","59,7","52,5",48
ago-21,10,Cuatro Caminos,"61,6",61,"57,5","60,5","69,5","63,3","55,5","47,8","45,1"
ago-21,11,Ramón y Cajal,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
ago-21,12,Plaza Manuel Becerra,62,"61,9","56,1","60,7","68,4","62,4","57,7","49,1","43,1"
ago-21,13,Vallecas,"56,3","56,8",53,"55,6","64,1","57,7","51,7","44,3",38
ago-21,14,Glorieta Fdez. Ladreda,"63,4","63,5","59,4","62,5",69,"64,3","60,7","54,5",49
ago-21,16,Arturo Soria,"59,9","58,5","53,7","58,4","65,6","61,5","54,4","40,6","35,3"
ago-21,17,Villaverde,"55,7","59,5","51,5","55,8","64,7","58,4","51,9",44,"38,7"
ago-21,18,Farolillo,"58,6","56,1",49,"56,6","67,1","59,4","49,9","42,1","39,9"
ago-21,19,Alto Extremadura,"59,2","58,8",53,"57,9","66,9","60,2","52,8","43,8","39,5"
ago-21,20,Avda de Moratalaz,59,"58,8","52,1","57,6",66,"59,7","53,9","44,2","38,5"
ago-21,24,Casa de Campo,"47,6",47,"42,2","46,4","53,2","49,1","44,3","39,5","37,7"
ago-21,25,Santa Eugenia,"66,5","65,9","62,2","65,3","69,5","67,5","65,2","58,4","49,5"
ago-21,26,Embajada,"58,7","57,7","54,5","57,5","65,9","61,2","54,7","48,5","42,1"
ago-21,27,Barajas Pueblo,"63,9","56,8",54,"61,7","67,6","60,8","51,7","47,7","43,8"
ago-21,28,Cuatro Vientos,"65,8","64,4","57,5","64,1","73,1","68,2","58,7","40,6","35,2"
ago-21,29,El Pardo,"56,6","55,4",51,"55,2",64,"58,5","49,8","37,7","33,5"
ago-21,30,Campo de las Naciones,"58,7","58,4",52,"57,3","64,4","59,2","54,7","42,4","39,3"
ago-21,31,Sanchinarro,"59,9","60,4","50,4","58,5","69,6","62,6","50,1","43,2","38,7"
ago-21,47,Méndez Álvaro,54,"54,1","49,7",53,"63,7","53,9","49,2","41,2","38,7"
ago-21,48,Castellana,58,"56,9","53,3","56,7","63,7","58,8","55,2","48,6","45,6"
ago-21,50,Pza de Castilla,"64,1","63,3","59,3","62,8","69,3","64,4","60,1","52,5","47,6"
ago-21,54,Ensanche de Vallecas,"58,1","58,2","52,2","56,9",64,60,"54,9","46,2","37,4"
ago-21,55,Urbanización Embajada II,"68,1","52,9","48,6","64,8","64,4","55,2","49,1","44,2","39,1"
ago-21,86,Tres Olivos,"53,7","53,6","47,2","52,4","62,1","55,3","47,6","40,8","36,1"
sep-21,1,Paseo de Recoletos,"65,2",64,"60,2","63,8",71,"65,8","60,3","50,7","43,8"
sep-21,2,Carlos V,"69,2","68,6","65,7","68,2","74,9","69,9","66,2","59,4","54,2"
sep-21,3,Plaza del Carmen,"61,6","63,3","59,5","61,4","69,9","64,1","58,2","49,3",44
sep-21,4,Plaza de España,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
sep-21,5,Barrio del Pilar,"61,7","61,8","53,6","60,3","67,6","62,6","57,3","43,7","37,9"
sep-21,6,Gregorio Marañón,"73,7",69,"64,9","71,5","76,8","71,6","64,9","56,1","48,1"
sep-21,8,Escuelas Aguirre,"64,8",65,61,"63,9","71,2","66,4","61,9","54,3","47,9"
sep-21,10,Cuatro Caminos,"64,4","63,6","59,5","63,2","71,6","66,3","58,7",50,"47,7"
sep-21,11,Ramón y Cajal,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
sep-21,12,Plaza Manuel Becerra,"63,9","63,5","57,6","62,5","70,7",64,"59,6","50,9","45,2"
sep-21,13,Vallecas,"58,1","58,7",52,57,"65,5","59,2","52,9","42,5","37,9"
sep-21,14,Glorieta Fdez. Ladreda,"64,5","64,7","60,6","63,6","70,1","65,2","61,8","54,5","48,4"
sep-21,16,Arturo Soria,"58,1","56,8","51,6","56,5","64,5","58,1",52,"39,4","35,4"
sep-21,17,Villaverde,"56,5","59,3","50,7","56,1","65,1","58,6","52,1","41,8",37
sep-21,18,Farolillo,"60,3",57,"50,6","58,1","67,4","59,2","50,9","41,3","38,5"
